n	replication	root_seed	truth	method	estimate	se	z	covered	coefficient_x	coefficient_y	error
160	0	2026090701	0.19347511885804566	complete_kde	0.27050902944463345	0.1349108483363122	0.5709986375191562	1	-0.1306208528510022	-0.1448838411770635	
160	0	2026090701	0.19347511885804566	direct_only_ablation	0.2705090294446334	0.1353907541559481	0.5689746767926059	1	-0.1306208528510022	-0.1448838411770635	
160	0	2026090701	0.19347511885804566	oracle_fixed_reference	0.2738144253494207	0.13398588789876367	0.5996102108311389	1	-0.1306208528510022	-0.1448838411770635	
160	1	2026090701	0.19347511885804566	complete_kde	0.021735404803497768	0.07984182418192812	-2.150999376757984	0	-0.1654546468832777	-0.045699158151734795	
160	1	2026090701	0.19347511885804566	direct_only_ablation	0.02173540480349792	0.07940272875467326	-2.1628943582677564	0	-0.1654546468832777	-0.045699158151734795	
160	1	2026090701	0.19347511885804566	oracle_fixed_reference	0.028871507723333086	0.08095583449791385	-2.0332519843144135	0	-0.1654546468832777	-0.045699158151734795	
160	2	2026090701	0.19347511885804566	complete_kde	-0.029087829715483134	0.06138086705742758	-3.6259336050971744	0	-0.32479470903064184	-0.3521670113120807	
160	2	2026090701	0.19347511885804566	direct_only_ablation	-0.029087829715483113	0.05149427031165674	-4.32209151089082	0	-0.32479470903064184	-0.3521670113120807	
160	2	2026090701	0.19347511885804566	oracle_fixed_reference	-0.016055472106575777	0.051449723876719027	-4.072530913220973	0	-0.32479470903064184	-0.3521670113120807	
160	3	2026090701	0.19347511885804566	complete_kde	0.3011371077704702	0.08852736049632755	1.2161436680007054	1	-0.22994677045936276	-0.06802834921846038	
160	3	2026090701	0.19347511885804566	direct_only_ablation	0.3011371077704703	0.08782168070558972	1.2259158336236682	1	-0.22994677045936276	-0.06802834921846038	
160	3	2026090701	0.19347511885804566	oracle_fixed_reference	0.2924779237046096	0.08716290342653636	1.1358364734833166	1	-0.22994677045936276	-0.06802834921846038	
160	4	2026090701	0.19347511885804566	complete_kde	0.08419712457134416	0.11540220872002169	-0.946931566551051	1	-0.0904092155883963	0.011027722936810674	
160	4	2026090701	0.19347511885804566	direct_only_ablation	0.08419712457134398	0.11566729884109635	-0.9447613576316648	1	-0.0904092155883963	0.011027722936810674	
160	4	2026090701	0.19347511885804566	oracle_fixed_reference	0.08392545420037016	0.11359843616044828	-0.9643589151433897	1	-0.0904092155883963	0.011027722936810674	
160	5	2026090701	0.19347511885804566	complete_kde	0.2632419398650926	0.13852230258513526	0.5036504570386311	1	-0.09384212541982737	-0.32578256766693875	
160	5	2026090701	0.19347511885804566	direct_only_ablation	0.26324193986509276	0.13848165943327098	0.5037982740282301	1	-0.09384212541982737	-0.32578256766693875	
160	5	2026090701	0.19347511885804566	oracle_fixed_reference	0.28104354850179036	0.13445897999581294	0.651265015147903	1	-0.09384212541982737	-0.32578256766693875	
160	6	2026090701	0.19347511885804566	complete_kde	0.12827889179080773	0.11416864689908061	-0.5710519379709225	1	-0.17566133525803335	-0.16839968653927115	
