scenario	method	repetitions	reject_count	rejection_rate	wilson_low	wilson_high
correlated_building_centers	cv_frozen	2000	78	0.039	0.03136143254939691	0.04840608504391829
correlated_building_centers	cv_retrained	2000	88	0.044	0.03585182041641652	0.05389652670408614
correlated_building_centers	mantel	2000	92	0.046	0.03765702335931109	0.05608365557206656
correlated_building_centers	naive_selected	2000	92	0.046	0.03765702335931109	0.05608365557206656
correlated_building_centers	nested_max	2000	76	0.038	0.030467599928741894	0.04730375175913581
correlated_building_centers	profile	2000	78	0.039	0.03136143254939691	0.04840608504391829
dyad_dominant_independent_null	cv_frozen	2000	91	0.0455	0.03720527135020145	0.05553732462845745
dyad_dominant_independent_null	cv_retrained	2000	89	0.0445	0.03630266512840682	0.054443764944814586
dyad_dominant_independent_null	mantel	2000	84	0.042	0.0340516147420547	0.05170440056757297
dyad_dominant_independent_null	naive_selected	2000	91	0.0455	0.03720527135020145	0.05553732462845745
dyad_dominant_independent_null	nested_max	2000	90	0.045	0.03675381704471326	0.05499069598122689
dyad_dominant_independent_null	profile	2000	90	0.045	0.03675381704471326	0.05499069598122689
few_buildings_correlated_centers	cv_frozen	2000	79	0.0395	0.03180890787160705	0.0489566926744269
few_buildings_correlated_centers	cv_retrained	2000	86	0.043	0.03495107254461269	0.05280110867045247
few_buildings_correlated_centers	mantel	2000	90	0.045	0.03675381704471326	0.05499069598122689
few_buildings_correlated_centers	naive_selected	2000	112	0.056	0.04674833393876454	0.06695400404698805
few_buildings_correlated_centers	nested_max	2000	97	0.0485	0.03992009344287708	0.05881100025209431
few_buildings_correlated_centers	profile	2000	102	0.051	0.04218996991731548	0.06153153854124964
high_magnitude_heterogeneity	cv_frozen	2000	88	0.044	0.03585182041641652	0.05389652670408614
high_magnitude_heterogeneity	cv_retrained	2000	90	0.045	0.03675381704471326	0.05499069598122689
high_magnitude_heterogeneity	mantel	2000	88	0.044	0.03585182041641652	0.05389652670408614
high_magnitude_heterogeneity	naive_selected	2000	85	0.0425	0.03450117971009799	0.05225291855224844
high_magnitude_heterogeneity	nested_max	2000	84	0.042	0.0340516147420547	0.05170440056757297
high_magnitude_heterogeneity	profile	2000	84	0.042	0.0340516147420547	0.05170440056757297
