positive_probability	sign_agreement	magnitude_sigma	center_sd	method	repetitions	reject_count	rejection_rate	wilson_low	wilson_high
0.5	0.5	0.35	0.0	cv_frozen	800	269	0.33625	0.3043646617003492	0.3697004202570097
0.5	0.5	0.35	0.0	cv_retrained	800	288	0.36	0.32748017863459755	0.3938579067029918
0.5	0.5	0.35	0.0	mantel	800	243	0.30375	0.2728830641631252	0.3364926447476027
0.5	0.5	0.35	0.0	naive_selected	800	280	0.35	0.31773641020716853	0.3836972526545343
0.5	0.5	0.35	0.0	nested_max	800	280	0.35	0.31773641020716853	0.3836972526545343
0.5	0.5	0.35	0.0	profile	800	280	0.35	0.31773641020716853	0.3836972526545343
0.5	0.5	0.35	1.0	cv_frozen	800	171	0.21375	0.18674518976163515	0.24349071686611443
0.5	0.5	0.35	1.0	cv_retrained	800	166	0.2075	0.18082986396501166	0.23696577861530888
0.5	0.5	0.35	1.0	mantel	800	144	0.18	0.1549265957030899	0.20813188506854283
0.5	0.5	0.35	1.0	naive_selected	800	154	0.1925	0.16667470856525288	0.22126430030123792
0.5	0.5	0.35	1.0	nested_max	800	144	0.18	0.1549265957030899	0.20813188506854283
0.5	0.5	0.35	1.0	profile	800	142	0.1775	0.15258251570494116	0.2054998594477199
0.5	0.5	0.85	0.0	cv_frozen	800	494	0.6175	0.5833370535908218	0.6505399105008445
0.5	0.5	0.85	0.0	cv_retrained	800	507	0.63375	0.5997995962610649	0.6664220543539168
0.5	0.5	0.85	0.0	mantel	800	464	0.58	0.5454961365286989	0.6137392432783929
0.5	0.5	0.85	0.0	naive_selected	800	508	0.635	0.6010676131832754	0.667642090241192
0.5	0.5	0.85	0.0	nested_max	800	508	0.635	0.6010676131832754	0.667642090241192
0.5	0.5	0.85	0.0	profile	800	508	0.635	0.6010676131832754	0.667642090241192
0.5	0.5	0.85	1.0	cv_frozen	800	435	0.54375	0.5091081534905834	0.5779736948414199
0.5	0.5	0.85	1.0	cv_retrained	800	412	0.515	0.4803790919344114	0.5494775417794183
