method	factor	low_level	high_level	average_power_low	average_power_high	average_power_main_effect
cv_frozen	positive_probability	0.5	0.7	0.6453125	0.530625	-0.11468749999999994
cv_frozen	sign_agreement	0.5	0.75	0.34578125	0.83015625	0.48437500000000006
cv_frozen	magnitude_sigma	0.35	0.85	0.50125	0.6746875	0.17343750000000002
cv_frozen	center_sd	0.0	1.0	0.60828125	0.56765625	-0.04062500000000002
cv_retrained	positive_probability	0.5	0.7	0.635625	0.52265625	-0.11296874999999995
cv_retrained	sign_agreement	0.5	0.75	0.34421875	0.8140625	0.46984375
cv_retrained	magnitude_sigma	0.35	0.85	0.49234375	0.6659375000000001	0.17359375000000005
cv_retrained	center_sd	0.0	1.0	0.60859375	0.5496875	-0.05890625000000005
mantel	positive_probability	0.5	0.7	0.62390625	0.52828125	-0.09562499999999996
mantel	sign_agreement	0.5	0.75	0.31390625	0.83828125	0.524375
mantel	magnitude_sigma	0.35	0.85	0.5246875	0.6275	0.10281249999999997
mantel	center_sd	0.0	1.0	0.6046875	0.5475	-0.05718750000000006
naive_selected	positive_probability	0.5	0.7	0.595	0.50046875	-0.09453124999999996
naive_selected	sign_agreement	0.5	0.75	0.3365625	0.75890625	0.42234375
naive_selected	magnitude_sigma	0.35	0.85	0.47421875	0.62125	0.14703124999999995
naive_selected	center_sd	0.0	1.0	0.57609375	0.519375	-0.05671874999999993
nested_max	positive_probability	0.5	0.7	0.5734375	0.48265625	-0.09078125000000004
nested_max	sign_agreement	0.5	0.75	0.33046875	0.725625	0.39515625
nested_max	magnitude_sigma	0.35	0.85	0.45203125	0.6040625	0.15203124999999995
nested_max	center_sd	0.0	1.0	0.5678124999999999	0.48828125	-0.07953124999999994
profile	positive_probability	0.5	0.7	0.56546875	0.47546875	-0.08999999999999997
profile	sign_agreement	0.5	0.75	0.32984375	0.71109375	0.38125
profile	magnitude_sigma	0.35	0.85	0.44203125	0.59890625	0.156875
profile	center_sd	0.0	1.0	0.565625	0.4753125	-0.09031250000000002
