kind	scale_design	df_label	n	k_extremes	magnitude	repetition	n_perm	c_delta	divergence_correlation	p_value	rejected	x_max_is_background	y_max_is_background	either_max_is_background	both_max_are_background	background_topk_index_overlap	background_max_over_planted_mean_x	background_max_over_planted_mean_y	either_background_max_exceeds_planted_mean	planted_product_to_background_product	planted_product_to_random_pairing	mechanism_contrast	background_max_product_exceeds_planted_mean_product
l2	common_scale_parameter	normal	80	2	8.0	0	299	1.22583784	0.89207978	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.33130142	0.39642132	0.0	19.01173136	4.05045612	12.10207131	0.0
l2	common_scale_parameter	normal	80	2	8.0	1	299	1.25148706	0.92487585	0.00333333	1.0	0.0	0.0	0.0	0.0	0.5	0.42403255	0.3164941	0.0	20.02780243	4.24510625	12.98384712	0.0
l2	common_scale_parameter	normal	80	2	8.0	2	299	1.23431266	0.92064243	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.3493266	0.365139	0.0	18.88325259	3.96873427	12.04837158	0.0
l2	common_scale_parameter	normal	80	2	8.0	3	299	1.24455367	0.91882562	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.36572967	0.30166881	0.0	19.96532849	4.32071749	12.95476142	0.0
l2	common_scale_parameter	normal	80	2	8.0	4	299	1.22856722	0.88657868	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.3528798	0.49416565	0.0	18.9062384	3.95503357	11.988116	0.0
l2	common_scale_parameter	normal	80	2	8.0	5	299	1.2557717	0.9445536	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.40786472	0.36117034	0.0	19.77242966	4.18943459	12.86516503	0.0
l2	common_scale_parameter	normal	80	2	8.0	6	299	1.20781142	0.89694172	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.39933924	0.33319654	0.0	17.41882321	3.95493343	11.14454734	0.0
l2	common_scale_parameter	normal	80	2	8.0	7	299	1.23439947	0.91690711	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.45294791	0.34809852	0.0	18.68307247	4.08115	12.07385387	0.0
l2	common_scale_parameter	normal	80	2	8.0	8	299	1.22517453	0.896869	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.47352691	0.40850882	0.0	18.21292733	3.80538233	11.50104483	0.0
l2	common_scale_parameter	normal	80	2	8.0	9	299	1.22187688	0.88924034	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.4150457	0.32978401	0.0	18.42064706	4.17389117	11.92271462	0.0
l2	common_scale_parameter	normal	80	2	8.0	10	299	1.25788975	0.92376063	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.33154261	0.35488426	0.0	20.66583283	4.08998006	13.16631563	0.0
l2	common_scale_parameter	normal	80	2	8.0	11	299	1.2375152	0.92877942	0.00333333	1.0	0.0	0.0	0.0	0.0	0.5	0.3604761	0.45896036	0.0	18.48851295	3.80902657	11.74014027	0.0
l2	common_scale_parameter	normal	80	2	8.0	12	299	1.24631792	0.91391835	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.34348857	0.40795584	0.0	19.93033625	3.79658961	12.41937166	0.0
l2	common_scale_parameter	normal	80	2	8.0	13	299	1.23069232	0.88303278	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.3732643	0.51342389	0.0	18.94705401	3.92243337	11.99247596	0.0
l2	common_scale_parameter	normal	80	2	8.0	14	299	1.21977303	0.89334746	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.39391229	0.37321214	0.0	18.17723177	3.72824012	11.35069236	0.0
l2	common_scale_parameter	normal	80	2	8.0	15	299	1.22727784	0.89408286	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.4102144	0.40906366	0.0	18.43162327	3.98811094	11.80442572	0.0
l2	common_scale_parameter	normal	80	2	8.0	16	299	1.23604958	0.89399758	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.3646078	0.39219003	0.0	19.41351873	4.04060224	12.36517554	0.0
l2	common_scale_parameter	normal	80	2	8.0	17	299	1.21231629	0.87608846	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.37715619	0.40479303	0.0	17.82523679	3.80822323	11.21706449	0.0
l2	common_scale_parameter	normal	80	2	8.0	18	299	1.23996764	0.90720651	0.00333333	1.0	0.0	0.0	0.0	0.0	0.0	0.39482286	0.39401414	0.0	19.53242442	3.97188155	12.38412104	0.0
