kind	scale_design	df_label	n	k_extremes	magnitude	repetitions	n_perm	rejection_rate	wilson_low	wilson_high	prob_either_max_is_background	prob_both_max_are_background	mean_background_topk_index_overlap	prob_background_max_exceeds_planted_mean	prob_background_product_masks_planted_mean	median_planted_to_background_product	median_planted_to_random_pairing	median_mechanism_contrast	masking_probability_when_rejected	masking_probability_when_not_rejected	rejection_rate_when_masking	rejection_rate_without_masking
l1	common_mad	normal	80	2	8.0	500	299	1.0	0.9924	1.0	0.0	0.0	0.031	0.0	0.0	36.9303	5.4132	23.7037	0.0	nan	nan	1.0
l1	common_mad	t2	80	2	8.0	500	299	0.744	0.704	0.7803	0.83	0.328	0.028	0.83	0.112	17.3199	3.8479	10.8262	0.0511	0.2891	0.3393	0.795
l1	common_mad	t2.2	80	2	8.0	500	299	0.856	0.8225	0.8841	0.694	0.216	0.03	0.694	0.05	19.3757	4.1119	12.4198	0.035	0.1389	0.6	0.8695
l1	common_mad	t2.5	80	2	8.0	500	299	0.908	0.8795	0.9303	0.566	0.134	0.018	0.566	0.024	21.7814	4.2686	13.8714	0.0154	0.1087	0.5833	0.916
l1	common_mad	t3	80	2	8.0	500	299	0.986	0.9714	0.9932	0.34	0.034	0.025	0.34	0.006	24.4511	4.4828	15.6855	0.0061	0.0	1.0	0.9859
l1	common_mad	t4	80	2	8.0	500	299	0.998	0.9888	0.9996	0.114	0.006	0.024	0.114	0.0	27.7059	4.7606	17.8591	0.0	0.0	nan	0.998
l1	common_mad	t5	80	2	8.0	500	299	1.0	0.9924	1.0	0.046	0.0	0.022	0.046	0.0	30.114	4.9177	19.357	0.0	nan	nan	1.0
l1	common_scale_parameter	normal	80	2	8.0	500	299	1.0	0.9924	1.0	0.0	0.0	0.028	0.0	0.0	36.3715	5.3441	23.3178	0.0	nan	nan	1.0
l1	common_scale_parameter	t2	80	2	8.0	500	299	0.546	0.5022	0.5891	0.912	0.49	0.029	0.912	0.192	12.4597	3.3746	7.629	0.1209	0.2775	0.3438	0.5941
l1	common_scale_parameter	t2.2	80	2	8.0	500	299	0.714	0.6729	0.7519	0.86	0.384	0.026	0.86	0.132	14.1865	3.5109	8.8892	0.0644	0.3007	0.3485	0.7696
l1	common_scale_parameter	t2.5	80	2	8.0	500	299	0.854	0.8204	0.8823	0.738	0.206	0.026	0.738	0.05	16.4073	3.7509	10.3798	0.0187	0.2329	0.32	0.8821
l1	common_scale_parameter	t3	80	2	8.0	500	299	0.978	0.961	0.9877	0.46	0.072	0.022	0.46	0.01	19.8673	4.1238	12.5793	0.0082	0.0909	0.8	0.9798
l1	common_scale_parameter	t4	80	2	8.0	500	299	0.998	0.9888	0.9996	0.22	0.01	0.022	0.22	0.0	23.6201	4.4149	15.1979	0.0	0.0	nan	0.998
l1	common_scale_parameter	t5	80	2	8.0	500	299	1.0	0.9924	1.0	0.092	0.002	0.029	0.092	0.0	26.2406	4.6512	16.9893	0.0	nan	nan	1.0
l2	common_mad	normal	80	2	8.0	500	299	1.0	0.9924	1.0	0.0	0.0	0.022	0.0	0.0	18.4322	3.9801	11.774	0.0	nan	nan	1.0
l2	common_mad	t2	80	2	8.0	500	299	0.694	0.6523	0.7328	0.84	0.326	0.024	0.84	0.162	8.9398	2.8992	5.2266	0.0519	0.4118	0.2222	0.7852
l2	common_mad	t2.2	80	2	8.0	500	299	0.822	0.7861	0.853	0.722	0.198	0.016	0.722	0.086	10.1708	3.0848	6.0774	0.0243	0.3708	0.2326	0.8775
l2	common_mad	t2.5	80	2	8.0	500	299	0.938	0.9133	0.956	0.594	0.11	0.022	0.594	0.044	11.5374	3.2707	7.0093	0.0256	0.3226	0.5455	0.9561
l2	common_mad	t3	80	2	8.0	500	299	0.972	0.9536	0.9832	0.35	0.044	0.03	0.35	0.006	13.0768	3.4126	8.1113	0.0021	0.1429	0.3333	0.9759
l2	common_mad	t4	80	2	8.0	500	299	0.998	0.9888	0.9996	0.124	0.0	0.032	0.124	0.002	14.7137	3.6131	9.2605	0.0	1.0	0.0	1.0
l2	common_mad	t5	80	2	8.0	500	299	1.0	0.9924	1.0	0.054	0.0	0.029	0.054	0.0	15.5533	3.6933	9.8575	0.0	nan	nan	1.0
l2	common_scale_parameter	normal	80	2	8.0	500	299	1.0	0.9924	1.0	0.0	0.0	0.029	0.0	0.0	18.4666	3.9772	11.8017	0.0	nan	nan	1.0
l2	common_scale_parameter	t2	80	2	8.0	500	299	0.548	0.5042	0.5911	0.904	0.498	0.024	0.904	0.248	6.9563	2.564	3.8823	0.0876	0.4425	0.1935	0.6649
l2	common_scale_parameter	t2.2	80	2	8.0	500	299	0.656	0.6133	0.6963	0.862	0.394	0.027	0.862	0.16	7.7714	2.7035	4.4433	0.0518	0.3663	0.2125	0.7405
l2	common_scale_parameter	t2.5	80	2	8.0	500	299	0.836	0.801	0.8659	0.708	0.232	0.033	0.708	0.082	9.389	2.9409	5.5576	0.0383	0.3049	0.3902	0.8758
l2	common_scale_parameter	t3	80	2	8.0	500	299	0.916	0.8884	0.9373	0.54	0.09	0.015	0.54	0.036	10.9182	3.1696	6.6317	0.0131	0.2857	0.3333	0.9378
l2	common_scale_parameter	t4	80	2	8.0	500	299	0.992	0.9796	0.9969	0.22	0.006	0.027	0.22	0.004	13.0694	3.4159	8.1281	0.0	0.5	0.0	0.996
l2	common_scale_parameter	t5	80	2	8.0	500	299	1.0	0.9924	1.0	0.092	0.002	0.027	0.092	0.002	14.2969	3.5563	8.973	0.002	nan	1.0	1.0
