kind	n	background	k	magnitude_mad	overlap	overlap_fraction	binary_theory_correlation	mean_divergence_correlation	attenuation_from_binary_theory	repetitions	n_perm	rejection_rate	wilson_low	wilson_high
l2	80	normal	4	4.0	0	0.0	-0.0526	-0.0179	0.0347	200	199	0.02	0.0078	0.0503
l2	80	normal	4	4.0	1	0.25	0.2105	0.0765	-0.134	200	199	0.11	0.0738	0.1609
l2	80	normal	4	4.0	2	0.5	0.4737	0.2036	-0.2701	200	199	0.52	0.451	0.5882
l2	80	normal	4	4.0	3	0.75	0.7368	0.3043	-0.4326	200	199	0.89	0.8391	0.9262
l2	80	normal	4	4.0	4	1.0	1.0	0.3905	-0.6095	200	199	0.915	0.8681	0.9463
l2	80	normal	4	6.0	0	0.0	-0.0526	-0.0327	0.0199	200	199	0.0	0.0	0.0188
l2	80	normal	4	6.0	1	0.25	0.2105	0.1462	-0.0643	200	199	0.18	0.1329	0.2391
l2	80	normal	4	6.0	2	0.5	0.4737	0.3421	-0.1316	200	199	0.95	0.9104	0.9726
l2	80	normal	4	6.0	3	0.75	0.7368	0.5265	-0.2104	200	199	1.0	0.9812	1.0
l2	80	normal	4	6.0	4	1.0	1.0	0.704	-0.296	200	199	1.0	0.9812	1.0
l2	80	normal	4	8.0	0	0.0	-0.0526	-0.0451	0.0075	200	199	0.005	0.0009	0.0278
l2	80	normal	4	8.0	1	0.25	0.2105	0.1782	-0.0323	200	199	0.185	0.1373	0.2446
l2	80	normal	4	8.0	2	0.5	0.4737	0.4047	-0.0689	200	199	1.0	0.9812	1.0
l2	80	normal	4	8.0	3	0.75	0.7368	0.6337	-0.1032	200	199	1.0	0.9812	1.0
l2	80	normal	4	8.0	4	1.0	1.0	0.8493	-0.1507	200	199	1.0	0.9812	1.0
l2	80	normal	4	12.0	0	0.0	-0.0526	-0.0522	0.0005	200	199	0.0	0.0	0.0188
l2	80	normal	4	12.0	1	0.25	0.2105	0.1985	-0.012	200	199	0.16	0.1157	0.2171
l2	80	normal	4	12.0	2	0.5	0.4737	0.4497	-0.024	200	199	1.0	0.9812	1.0
l2	80	normal	4	12.0	3	0.75	0.7368	0.7018	-0.035	200	199	1.0	0.9812	1.0
l2	80	normal	4	12.0	4	1.0	1.0	0.953	-0.047	200	199	1.0	0.9812	1.0
