phase	scenario	n	repetitions	n_bootstrap	median_scaled_spread	correlation_with_b399	median_absolute_error_vs_b399	q90_absolute_error_vs_b399	warning_agreement_at_2
pilot	independent_strong_skew	80	100	39	1.3838968709039772	0.47470353048554464	0.1300723401748134	0.2881301764364392	1.0
pilot	independent_strong_skew	80	100	79	1.3448200477784114	0.647946069644755	0.08514431903188524	0.24731612608093992	1.0
pilot	independent_strong_skew	80	100	199	1.3453541195131415	0.7836874094079054	0.06350386701699196	0.14173093984415033	1.0
pilot	independent_strong_skew	80	100	399	1.3331458753332015	1.0	0.0	0.0	1.0
pilot	radial_0p1	80	100	39	3.720490532602126	0.8918269027401018	0.3784092789158744	1.1278362579525698	0.89
pilot	radial_0p1	80	100	79	3.5669227129338497	0.9616418867357408	0.18047050005962428	0.6371998160041784	0.95
pilot	radial_0p1	80	100	199	3.3262692914002816	0.9848493286601461	0.08755527918997508	0.34090058680959595	0.96
pilot	radial_0p1	80	100	399	3.2748836802672345	1.0	0.0	0.0	1.0
pilot	radial_0p2	80	100	39	1.7219585805866324	0.7394331579561041	0.18747552162294057	0.51974288441055	0.8
pilot	radial_0p2	80	100	79	1.7042838990839089	0.8462886275655076	0.14110101472748293	0.313158709815793	0.9
pilot	radial_0p2	80	100	199	1.693642331665333	0.9380372373715715	0.07651111308175351	0.22726404241947584	0.95
pilot	radial_0p2	80	100	399	1.7340305304325194	1.0	0.0	0.0	1.0
pilot	independent_strong_skew	320	100	39	1.339675495321984	0.3815181782415615	0.13837882957987646	0.3445634804778996	1.0
pilot	independent_strong_skew	320	100	79	1.3127813802528554	0.5328507869312958	0.09498652358931947	0.23927181764999206	1.0
pilot	independent_strong_skew	320	100	199	1.3111054058808047	0.8416286602056448	0.050493306426675155	0.11252160224721867	1.0
pilot	independent_strong_skew	320	100	399	1.3258429575849227	1.0	0.0	0.0	1.0
pilot	radial_0p1	320	100	39	4.505689388268161	0.8634239930931384	0.3788758684695872	1.270004495219958	0.96
pilot	radial_0p1	320	100	79	4.535060507433434	0.9058325786205748	0.31910199211341794	1.0712481988546088	0.94
pilot	radial_0p1	320	100	199	4.456353519132652	0.964838092323718	0.14928833389804708	0.5291282583315793	0.98
pilot	radial_0p1	320	100	399	4.427097372193913	1.0	0.0	0.0	1.0
pilot	radial_0p2	320	100	39	1.0235865310891574	0.9157800071839901	0.1391992538561193	0.41235776332981144	0.93
pilot	radial_0p2	320	100	79	1.0403171445147972	0.9606199485104726	0.10894710111863831	0.26338855226459174	0.99
pilot	radial_0p2	320	100	199	0.9830798889624236	0.9896595560194557	0.039446219672928995	0.1231569197908004	0.99
pilot	radial_0p2	320	100	399	0.9908100688750539	1.0	0.0	0.0	1.0
