scenario	permutation_scheme	method	n	n_blocks	rooms_per_block	repetitions	n_perm	rejection_rate	wilson_low	wilson_high	mean_statistic	median_p_value	mean_huber_cv_product	maximum_huber_cdelta_pearson_p_difference
conditional_null	unrestricted	original_l2_cdelta	48	4	12	800	399	0.20625	0.17964799291675396	0.23565959685408075	1.0159713666567731	0.1775	nan	0.0
conditional_null	unrestricted	huber_cdelta_star	48	4	12	800	399	0.22875	0.2009810661641428	0.2591114741774365	1.104820547836194	0.17875	0.727025460021631	0.0
conditional_null	unrestricted	huber_profile_pearson	48	4	12	800	399	0.22875	0.2009810661641428	0.2591114741774365	0.1433095906991725	0.17875	0.727025460021631	0.0
conditional_null	unrestricted	huber_cap6_cdelta_star	48	4	12	800	399	0.22875	0.2009810661641428	0.2591114741774365	1.1047978262722302	0.18	nan	0.0
conditional_null	unrestricted	mantel	48	4	12	800	399	0.21	0.1831948079697225	0.23957694022956963	0.08306661839194131	0.18125	nan	0.0
conditional_null	within_building	original_l2_cdelta	48	4	12	800	399	0.05375	0.040147072441390756	0.07161807457217512	1.0159713666567731	0.505	nan	0.0
conditional_null	within_building	huber_cdelta_star	48	4	12	800	399	0.0475	0.03480005831285475	0.06452482465328206	1.104820547836194	0.52625	0.727025460021631	0.0
conditional_null	within_building	huber_profile_pearson	48	4	12	800	399	0.0475	0.03480005831285475	0.06452482465328206	0.1433095906991725	0.52625	0.727025460021631	0.0
conditional_null	within_building	huber_cap6_cdelta_star	48	4	12	800	399	0.04625	0.033738403716588684	0.06309842644006232	1.1047978262722302	0.5275000000000001	nan	0.0
conditional_null	within_building	mantel	48	4	12	800	399	0.04875	0.03586441780162572	0.06594851797399691	0.08306661839194131	0.5075	nan	0.0
node_salience_sign_rewired	within_building	original_l2_cdelta	48	4	12	800	399	0.77125	0.7408885258225635	0.7990189338358573	1.052169867045621	0.0025	nan	0.0
node_salience_sign_rewired	within_building	huber_cdelta_star	48	4	12	800	399	0.8425	0.815628219454525	0.8660982503445871	1.2895357409395745	0.0025	0.4406409064712217	0.0
node_salience_sign_rewired	within_building	huber_profile_pearson	48	4	12	800	399	0.8425	0.815628219454525	0.8660982503445871	0.6338333684074913	0.0025	0.4406409064712217	0.0
node_salience_sign_rewired	within_building	huber_cap6_cdelta_star	48	4	12	800	399	0.84375	0.8169532116264817	0.8672613109821161	1.288050750913956	0.0025	nan	0.0
node_salience_sign_rewired	within_building	mantel	48	4	12	800	399	0.7275	0.6956140340752877	0.7572115772511299	0.2834502818422058	0.01	nan	0.0
shared_dyadic_geometry	within_building	original_l2_cdelta	48	4	12	800	399	0.72375	0.6917515744996428	0.7536098783983172	1.0608708068679626	0.01	nan	0.0
shared_dyadic_geometry	within_building	huber_cdelta_star	48	4	12	800	399	0.79625	0.7669539819740379	0.8227145338740991	1.3891381041155169	0.0075	0.7316894213232736	0.0
shared_dyadic_geometry	within_building	huber_profile_pearson	48	4	12	800	399	0.79625	0.7669539819740379	0.8227145338740991	0.5172202686757797	0.0075	0.7316894213232736	0.0
shared_dyadic_geometry	within_building	huber_cap6_cdelta_star	48	4	12	800	399	0.79625	0.7669539819740379	0.8227145338740991	1.3877182832254642	0.0075	nan	0.0
shared_dyadic_geometry	within_building	mantel	48	4	12	800	399	0.96	0.9440779676513313	0.9715254662394468	0.483007822086096	0.0025	nan	0.0
matched_structural_extreme	within_building	original_l2_cdelta	48	4	12	800	399	1.0	0.995221123794324	1.0	1.241376566583051	0.0025	nan	0.0
matched_structural_extreme	within_building	huber_cdelta_star	48	4	12	800	399	1.0	0.995221123794324	1.0	3.0367528955064604	0.0025	2.280034932249859	0.0
matched_structural_extreme	within_building	huber_profile_pearson	48	4	12	800	399	1.0	0.995221123794324	1.0	0.8913695976225695	0.0025	2.280034932249859	0.0
matched_structural_extreme	within_building	huber_cap6_cdelta_star	48	4	12	800	399	1.0	0.995221123794324	1.0	2.250215135815196	0.0025	nan	0.0
matched_structural_extreme	within_building	mantel	48	4	12	800	399	1.0	0.995221123794324	1.0	0.8587156010764132	0.0025	nan	0.0
unmatched_extreme_negative_control	within_building	original_l2_cdelta	48	4	12	800	399	0.0	4.336808689942018e-19	0.004778876205676033	0.988387778845734	0.645	nan	0.0
unmatched_extreme_negative_control	within_building	huber_cdelta_star	48	4	12	800	399	0.0	4.336808689942018e-19	0.004778876205676033	0.9366775632803322	0.63375	2.2890210715495254	0.0
unmatched_extreme_negative_control	within_building	huber_profile_pearson	48	4	12	800	399	0.0	4.336808689942018e-19	0.004778876205676033	-0.026453415880020193	0.63375	2.2890210715495254	0.0
unmatched_extreme_negative_control	within_building	huber_cap6_cdelta_star	48	4	12	800	399	0.00125	0.0002206897828266447	0.007046239232335199	0.9572527085961372	0.6325	nan	0.0
unmatched_extreme_negative_control	within_building	mantel	48	4	12	800	399	0.0	4.336808689942018e-19	0.004778876205676033	-0.033921382487112094	0.645	nan	0.0
