background	kind	n	k_extremes	scenario	target_reference	target_corr	selected_magnitude	calibrated_mean_corr	calibrated_mean_norm	alpha	calibration_repetitions	evaluation_repetitions	n_perm	reject_count	rejection_rate	wilson_low	wilson_high	mean_raw	mean_norm	mean_corr	mean_p	p05	p50	p95	mean_index_overlap
normal	l2	40	1	matched	k=1, magnitude=8.0	0.9035	8.0	0.9035	0.9819	0.05	120	250	499	250	1.0	0.9849	1.0	49.1269	0.9813	0.899	0.0141	0.002	0.014	0.028	1.0
normal	l2	40	1	negative_control	k=1, magnitude=8.0	0.9035	8.0	0.9035	0.9819	0.05	120	250	499	7	0.028	0.0136	0.0567	39.8201	0.7953	-0.0181	0.4946	0.068	0.485	0.954	0.0
normal	l2	40	1	independent_null	k=1, magnitude=8.0	0.9035	8.0	0.9035	0.9819	0.05	120	250	499	10	0.04	0.0219	0.0721	40.0067	0.7987	0.0008	0.4908	0.0547	0.485	0.944	0.024
normal	l2	40	2	matched	k=1, magnitude=8.0	0.9035	7.0	0.9179	0.9861	0.05	120	250	499	250	1.0	0.9849	1.0	48.3982	0.9867	0.9209	0.0025	0.002	0.002	0.004	2.0
normal	l2	40	2	negative_control	k=1, magnitude=8.0	0.9035	7.0	0.9179	0.9861	0.05	120	250	499	0	0.0	0.0	0.0151	39.5837	0.8073	-0.046	0.5357	0.1509	0.512	0.9484	0.0
normal	l2	40	2	independent_null	k=1, magnitude=8.0	0.9035	7.0	0.9179	0.9861	0.05	120	250	499	11	0.044	0.0247	0.0771	39.9941	0.815	-0.0	0.4927	0.0578	0.482	0.9282	0.1
normal	l2	40	3	matched	k=1, magnitude=8.0	0.9035	6.0	0.9043	0.9861	0.05	120	250	499	250	1.0	0.9849	1.0	46.8188	0.9864	0.9058	0.002	0.002	0.002	0.002	3.0
normal	l2	40	3	negative_control	k=1, magnitude=8.0	0.9035	6.0	0.9043	0.9861	0.05	120	250	499	0	0.0	0.0	0.0151	39.4441	0.8305	-0.0733	0.6065	0.248	0.622	0.9531	0.0
normal	l2	40	3	independent_null	k=1, magnitude=8.0	0.9035	6.0	0.9043	0.9861	0.05	120	250	499	11	0.044	0.0247	0.0771	40.0074	0.8432	0.0007	0.4903	0.0583	0.481	0.944	0.216
t3	l2	40	1	matched	k=1, magnitude=8.0	0.5804	8.0	0.5804	0.9337	0.05	120	250	499	218	0.872	0.8249	0.9079	45.0069	0.9371	0.5982	0.0269	0.002	0.018	0.0791	1.0
t3	l2	40	1	negative_control	k=1, magnitude=8.0	0.5804	8.0	0.5804	0.9337	0.05	120	250	499	9	0.036	0.0191	0.067	39.9261	0.8301	-0.0088	0.5046	0.0716	0.506	0.9322	0.0
t3	l2	40	1	independent_null	k=1, magnitude=8.0	0.5804	8.0	0.5804	0.9337	0.05	120	250	499	13	0.052	0.0306	0.0869	39.9969	0.8342	-0.0006	0.4902	0.0478	0.486	0.9471	0.02
t3	l2	40	2	matched	k=1, magnitude=8.0	0.5804	6.0	0.5736	0.9437	0.05	120	250	499	204	0.816	0.7633	0.8591	43.6938	0.9387	0.5397	0.0236	0.002	0.006	0.1022	2.0
t3	l2	40	2	negative_control	k=1, magnitude=8.0	0.5804	6.0	0.5736	0.9437	0.05	120	250	499	3	0.012	0.0041	0.0347	39.7747	0.8537	-0.0317	0.5452	0.1305	0.57	0.962	0.0
t3	l2	40	2	independent_null	k=1, magnitude=8.0	0.5804	6.0	0.5736	0.9437	0.05	120	250	499	11	0.044	0.0247	0.0771	39.9804	0.8576	-0.0035	0.5093	0.052	0.526	0.9631	0.112
t3	l2	40	3	matched	k=1, magnitude=8.0	0.5804	6.0	0.5984	0.949	0.05	120	250	499	225	0.9	0.8565	0.9313	43.87	0.9499	0.6005	0.015	0.002	0.002	0.08	3.0
t3	l2	40	3	negative_control	k=1, magnitude=8.0	0.5804	6.0	0.5984	0.949	0.05	120	250	499	3	0.012	0.0041	0.0347	39.6618	0.8594	-0.0501	0.5777	0.2008	0.557	0.9442	0.0
t3	l2	40	3	independent_null	k=1, magnitude=8.0	0.5804	6.0	0.5984	0.949	0.05	120	250	499	8	0.032	0.0163	0.0619	39.9647	0.8666	-0.006	0.5159	0.066	0.509	0.9462	0.216
