seed	n	scenario	method	repetitions	n_perm	rejections	rejection_rate	wilson_low	wilson_high
20260823	20	null_clean	uncapped	5000	999	244	0.0488	0.043166788231898734	0.05512598600332083
20260823	20	null_clean	cap_6	5000	999	245	0.049	0.04335507170094735	0.055337395453494184
20260823	20	null_contam_p10	uncapped	5000	999	250	0.05	0.044296896700570555	0.05639403504998087
20260823	20	null_contam_p10	cap_6	5000	999	262	0.0524	0.046559956706276516	0.05892729007493864
20260823	20	matched_p01_m8	uncapped	5000	999	4676	0.9352	0.9280369064172753	0.9416948858097471
20260823	20	matched_p01_m8	cap_6	5000	999	4619	0.9238	0.9161161747785276	0.930833121052842
20260823	20	t2_matched	uncapped	5000	999	2367	0.4734	0.4595863069468051	0.4872545347966721
20260823	20	t2_matched	cap_6	5000	999	2255	0.451	0.43725053471032227	0.4648247000802934
20260823	20	diffuse_aligned	uncapped	5000	999	2985	0.597	0.5833348109286483	0.6105162548940106
20260823	20	diffuse_aligned	cap_6	5000	999	2982	0.5964	0.5827319970725081	0.6099199899924849
20260823	20	bimodal_aligned	uncapped	5000	999	4176	0.8352	0.8246599889650017	0.8452253436510322
20260823	20	bimodal_aligned	cap_6	5000	999	4176	0.8352	0.8246599889650017	0.8452253436510322
20260823	20	unmatched_masking	uncapped	5000	999	8	0.0016	0.0008109751397282834	0.0031542701591046594
20260823	20	unmatched_masking	cap_6	5000	999	721	0.1442	0.13473590476740951	0.15421039193669314
20260823	40	null_clean	uncapped	5000	999	257	0.0514	0.04561656542843631	0.057872216756668954
20260823	40	null_clean	cap_6	5000	999	257	0.0514	0.04561656542843631	0.057872216756668954
20260823	40	null_contam_p10	uncapped	5000	999	239	0.0478	0.042225787297577644	0.05406852234153203
20260823	40	null_contam_p10	cap_6	5000	999	244	0.0488	0.043166788231898734	0.05512598600332083
20260823	40	matched_p01_m8	uncapped	5000	999	5000	1.0	0.9992322980549431	1.0000000000000002
20260823	40	matched_p01_m8	cap_6	5000	999	4992	0.9984	0.9968457298408953	0.9991890248602717
20260823	40	t2_matched	uncapped	5000	999	3336	0.6672	0.6540148332074195	0.6801284472621535
20260823	40	t2_matched	cap_6	5000	999	4184	0.8368	0.826298945422259	0.8467839305475505
20260823	40	diffuse_aligned	uncapped	5000	999	4536	0.9072	0.8988419496987319	0.9149328338372138
20260823	40	diffuse_aligned	cap_6	5000	999	4536	0.9072	0.8988419496987319	0.9149328338372138
20260823	40	bimodal_aligned	uncapped	5000	999	4421	0.8842	0.8750341822881343	0.8927759155372837
20260823	40	bimodal_aligned	cap_6	5000	999	4421	0.8842	0.8750341822881343	0.8927759155372837
20260823	40	unmatched_masking	uncapped	5000	999	154	0.0308	0.026359508374236958	0.035960903131004654
20260823	40	unmatched_masking	cap_6	5000	999	2206	0.4412	0.42748747971594925	0.45500280203278953
20260823	80	null_clean	uncapped	5000	999	246	0.0492	0.04354338255549715	0.05554877751816637
20260823	80	null_clean	cap_6	5000	999	246	0.0492	0.04354338255549715	0.05554877751816637
20260823	80	null_contam_p10	uncapped	5000	999	247	0.0494	0.04373172063796704	0.055760132354918446
20260823	80	null_contam_p10	cap_6	5000	999	263	0.0526	0.046748710224978236	0.05913822947545889
20260823	80	matched_p01_m8	uncapped	5000	999	5000	1.0	0.9992322980549431	1.0000000000000002
20260823	80	matched_p01_m8	cap_6	5000	999	4997	0.9994	0.9982372939514713	0.9997959253458056
20260823	80	t2_matched	uncapped	5000	999	3917	0.7834	0.7717668995573551	0.7945979669801865
20260823	80	t2_matched	cap_6	5000	999	4956	0.9912	0.9882078470491492	0.9934379625600268
20260823	80	diffuse_aligned	uncapped	5000	999	4981	0.9962	0.994072271440611	0.9975658611491144
20260823	80	diffuse_aligned	cap_6	5000	999	4981	0.9962	0.994072271440611	0.9975658611491144
20260823	80	bimodal_aligned	uncapped	5000	999	4519	0.9038	0.895314161061183	0.9116658428479891
20260823	80	bimodal_aligned	cap_6	5000	999	4519	0.9038	0.895314161061183	0.9116658428479891
20260823	80	unmatched_masking	uncapped	5000	999	358	0.0716	0.06477766308959115	0.0790801039369338
20260823	80	unmatched_masking	cap_6	5000	999	2976	0.5952	0.5815264326407924	0.6087273969088686
20260823	160	null_clean	uncapped	5000	999	257	0.0514	0.04561656542843631	0.057872216756668954
20260823	160	null_clean	cap_6	5000	999	257	0.0514	0.04561656542843631	0.057872216756668954
20260823	160	null_contam_p10	uncapped	5000	999	274	0.0548	0.04882660544300012	0.061456956368878754
20260823	160	null_contam_p10	cap_6	5000	999	278	0.0556	0.049582913854809285	0.06229941963395749
20260823	160	matched_p01_m8	uncapped	5000	999	5000	1.0	0.9992322980549431	1.0000000000000002
20260823	160	matched_p01_m8	cap_6	5000	999	5000	1.0	0.9992322980549431	1.0000000000000002
20260823	160	t2_matched	uncapped	5000	999	4393	0.8786	0.8692556673483528	0.8873630287388502
20260823	160	t2_matched	cap_6	5000	999	5000	1.0	0.9992322980549431	1.0000000000000002
20260823	160	diffuse_aligned	uncapped	5000	999	5000	1.0	0.9992322980549431	1.0000000000000002
20260823	160	diffuse_aligned	cap_6	5000	999	5000	1.0	0.9992322980549431	1.0000000000000002
20260823	160	bimodal_aligned	uncapped	5000	999	4445	0.889	0.8799924464600911	0.8974102814266546
20260823	160	bimodal_aligned	cap_6	5000	999	4445	0.889	0.8799924464600911	0.8974102814266546
20260823	160	unmatched_masking	uncapped	5000	999	695	0.139	0.1296878438750473	0.148866436929284
20260823	160	unmatched_masking	cap_6	5000	999	2900	0.58	0.5662632057596738	0.5936139619291171
