seed	n	scenario	method	repetitions	n_perm	rejections	rejection_rate	wilson_low	wilson_high
20260820	20	null_clean	uncapped	1200	499	43	0.035833333333333335	0.026710684549926922	0.047918294342945325
20260820	20	null_clean	cap_4.5	1200	499	41	0.034166666666666665	0.02528441842514967	0.04602186380306503
20260820	20	null_clean	cap_5	1200	499	42	0.035	0.025996787429477218	0.04697084313106626
20260820	20	null_clean	cap_5.5	1200	499	42	0.035	0.025996787429477218	0.04697084313106626
20260820	20	null_clean	cap_6	1200	499	43	0.035833333333333335	0.026710684549926922	0.047918294342945325
20260820	20	null_clean	cap_6.5	1200	499	43	0.035833333333333335	0.026710684549926922	0.047918294342945325
20260820	20	null_clean	cap_7	1200	499	43	0.035833333333333335	0.026710684549926922	0.047918294342945325
20260820	20	null_clean	cap_8	1200	499	43	0.035833333333333335	0.026710684549926922	0.047918294342945325
20260820	20	null_contam_p10	uncapped	1200	499	58	0.04833333333333333	0.037574011009416555	0.06197519286838732
20260820	20	null_contam_p10	cap_4.5	1200	499	53	0.04416666666666667	0.03392392584061023	0.05731853637554976
20260820	20	null_contam_p10	cap_5	1200	499	54	0.045	0.034651851044372725	0.058251959504116047
20260820	20	null_contam_p10	cap_5.5	1200	499	53	0.04416666666666667	0.03392392584061023	0.05731853637554976
20260820	20	null_contam_p10	cap_6	1200	499	53	0.04416666666666667	0.03392392584061023	0.05731853637554976
20260820	20	null_contam_p10	cap_6.5	1200	499	52	0.043333333333333335	0.03319710174469772	0.0563840121391335
20260820	20	null_contam_p10	cap_7	1200	499	52	0.043333333333333335	0.03319710174469772	0.0563840121391335
20260820	20	null_contam_p10	cap_8	1200	499	51	0.0425	0.032471408616991965	0.05544835693451049
20260820	20	matched_p01_m8	uncapped	1200	499	1088	0.9066666666666666	0.8888852581100046	0.9218527280664375
20260820	20	matched_p01_m8	cap_4.5	1200	499	1010	0.8416666666666667	0.8199261341958092	0.8612266820589886
20260820	20	matched_p01_m8	cap_5	1200	499	1039	0.8658333333333333	0.8453774014485663	0.883954516443766
20260820	20	matched_p01_m8	cap_5.5	1200	499	1064	0.8866666666666667	0.8674833702221277	0.903382255978424
20260820	20	matched_p01_m8	cap_6	1200	499	1075	0.8958333333333334	0.8772680106788403	0.911872447177328
20260820	20	matched_p01_m8	cap_6.5	1200	499	1082	0.9016666666666666	0.8835157653786112	0.9172541308038582
20260820	20	matched_p01_m8	cap_7	1200	499	1085	0.9041666666666667	0.886198802158356	0.9195551390210999
20260820	20	matched_p01_m8	cap_8	1200	499	1088	0.9066666666666666	0.8888852581100046	0.9218527280664375
20260820	20	t2_matched	uncapped	1200	499	557	0.46416666666666667	0.43610893439854803	0.49245308731131454
20260820	20	t2_matched	cap_4.5	1200	499	432	0.36	0.333328367795967	0.38756511237279867
20260820	20	t2_matched	cap_5	1200	499	473	0.39416666666666667	0.366897809598573	0.4221109521956725
20260820	20	t2_matched	cap_5.5	1200	499	512	0.4266666666666667	0.39896065874449904	0.45484068801056865
20260820	20	t2_matched	cap_6	1200	499	534	0.445	0.417101884392465	0.4732491256738358
20260820	20	t2_matched	cap_6.5	1200	499	556	0.4633333333333333	0.4352816711641747	0.4916190022133591
20260820	20	t2_matched	cap_7	1200	499	565	0.4708333333333333	0.44272987520669216	0.49912293316180056
20260820	20	t2_matched	cap_8	1200	499	578	0.4816666666666667	0.45349962951211514	0.5099507071766517
20260820	20	diffuse_aligned	uncapped	1200	499	710	0.5916666666666667	0.5636068673967671	0.6191414491593981
20260820	20	diffuse_aligned	cap_4.5	1200	499	706	0.5883333333333334	0.5602498261622809	0.6158530970645694
20260820	20	diffuse_aligned	cap_5	1200	499	707	0.5891666666666666	0.5610889632772454	0.6166753082819333
20260820	20	diffuse_aligned	cap_5.5	1200	499	708	0.59	0.5619281824706762	0.6174974374208314
20260820	20	diffuse_aligned	cap_6	1200	499	709	0.5908333333333333	0.5627674838183252	0.6183194844055113
20260820	20	diffuse_aligned	cap_6.5	1200	499	709	0.5908333333333333	0.5627674838183252	0.6183194844055113
20260820	20	diffuse_aligned	cap_7	1200	499	709	0.5908333333333333	0.5627674838183252	0.6183194844055113
20260820	20	diffuse_aligned	cap_8	1200	499	710	0.5916666666666667	0.5636068673967671	0.6191414491593981
20260820	20	bimodal_aligned	uncapped	1200	499	1003	0.8358333333333333	0.8138092506402783	0.855714127288218
20260820	20	bimodal_aligned	cap_4.5	1200	499	1003	0.8358333333333333	0.8138092506402783	0.855714127288218
20260820	20	bimodal_aligned	cap_5	1200	499	1003	0.8358333333333333	0.8138092506402783	0.855714127288218
20260820	20	bimodal_aligned	cap_5.5	1200	499	1003	0.8358333333333333	0.8138092506402783	0.855714127288218
20260820	20	bimodal_aligned	cap_6	1200	499	1003	0.8358333333333333	0.8138092506402783	0.855714127288218
20260820	20	bimodal_aligned	cap_6.5	1200	499	1003	0.8358333333333333	0.8138092506402783	0.855714127288218
20260820	20	bimodal_aligned	cap_7	1200	499	1003	0.8358333333333333	0.8138092506402783	0.855714127288218
20260820	20	bimodal_aligned	cap_8	1200	499	1003	0.8358333333333333	0.8138092506402783	0.855714127288218
20260820	20	unmatched_masking	uncapped	1200	499	2	0.0016666666666666668	0.00045717916470629574	0.006056518102686179
20260820	20	unmatched_masking	cap_4.5	1200	499	353	0.2941666666666667	0.2690749415647551	0.3205720203500374
20260820	20	unmatched_masking	cap_5	1200	499	281	0.23416666666666666	0.21107814655240437	0.25895173543471633
20260820	20	unmatched_masking	cap_5.5	1200	499	210	0.175	0.1545480957649856	0.1975260546267921
20260820	20	unmatched_masking	cap_6	1200	499	155	0.12916666666666668	0.11136757163483746	0.14933242047885764
20260820	20	unmatched_masking	cap_6.5	1200	499	111	0.0925	0.07738218966866613	0.11021847582256282
20260820	20	unmatched_masking	cap_7	1200	499	83	0.06916666666666667	0.056142321206953394	0.08494059097906986
20260820	20	unmatched_masking	cap_8	1200	499	38	0.03166666666666667	0.023157025725483955	0.04316521150574442
20260820	40	null_clean	uncapped	1200	499	54	0.045	0.034651851044372725	0.058251959504116047
20260820	40	null_clean	cap_4.5	1200	499	54	0.045	0.034651851044372725	0.058251959504116047
20260820	40	null_clean	cap_5	1200	499	54	0.045	0.034651851044372725	0.058251959504116047
20260820	40	null_clean	cap_5.5	1200	499	54	0.045	0.034651851044372725	0.058251959504116047
20260820	40	null_clean	cap_6	1200	499	54	0.045	0.034651851044372725	0.058251959504116047
20260820	40	null_clean	cap_6.5	1200	499	54	0.045	0.034651851044372725	0.058251959504116047
20260820	40	null_clean	cap_7	1200	499	54	0.045	0.034651851044372725	0.058251959504116047
20260820	40	null_clean	cap_8	1200	499	54	0.045	0.034651851044372725	0.058251959504116047
20260820	40	null_contam_p10	uncapped	1200	499	58	0.04833333333333333	0.037574011009416555	0.06197519286838732
20260820	40	null_contam_p10	cap_4.5	1200	499	61	0.050833333333333335	0.0397759124281339	0.0647573364466563
20260820	40	null_contam_p10	cap_5	1200	499	61	0.050833333333333335	0.0397759124281339	0.0647573364466563
20260820	40	null_contam_p10	cap_5.5	1200	499	60	0.05	0.039041012521836546	0.06383088802062488
20260820	40	null_contam_p10	cap_6	1200	499	60	0.05	0.039041012521836546	0.06383088802062488
20260820	40	null_contam_p10	cap_6.5	1200	499	61	0.050833333333333335	0.0397759124281339	0.0647573364466563
20260820	40	null_contam_p10	cap_7	1200	499	60	0.05	0.039041012521836546	0.06383088802062488
20260820	40	null_contam_p10	cap_8	1200	499	61	0.050833333333333335	0.0397759124281339	0.0647573364466563
20260820	40	matched_p01_m8	uncapped	1200	499	1200	1.0	0.9968089993972651	1.0
20260820	40	matched_p01_m8	cap_4.5	1200	499	1129	0.9408333333333333	0.9260248073759692	0.9528284604259527
20260820	40	matched_p01_m8	cap_5	1200	499	1169	0.9741666666666666	0.9635654763400676	0.9817417247550053
20260820	40	matched_p01_m8	cap_5.5	1200	499	1191	0.9925	0.9858076084338075	0.9960492559724986
20260820	40	matched_p01_m8	cap_6	1200	499	1196	0.9966666666666667	0.9914606145760569	0.998702991491893
20260820	40	matched_p01_m8	cap_6.5	1200	499	1199	0.9991666666666666	0.9952947700098665	0.9998528810550694
20260820	40	matched_p01_m8	cap_7	1200	499	1200	1.0	0.9968089993972651	1.0
20260820	40	matched_p01_m8	cap_8	1200	499	1200	1.0	0.9968089993972651	1.0
20260820	40	t2_matched	uncapped	1200	499	758	0.6316666666666667	0.6039956992870544	0.6584973372208921
20260820	40	t2_matched	cap_4.5	1200	499	870	0.725	0.6990486891065892	0.74951536062218
20260820	40	t2_matched	cap_5	1200	499	943	0.7858333333333334	0.7617291045184298	0.8081133734703401
20260820	40	t2_matched	cap_5.5	1200	499	989	0.8241666666666667	0.8016032708379772	0.8446612304379164
20260820	40	t2_matched	cap_6	1200	499	1000	0.8333333333333334	0.8111906267494204	0.8533487061820897
20260820	40	t2_matched	cap_6.5	1200	499	999	0.8325	0.8103181299204654	0.8525598546787159
20260820	40	t2_matched	cap_7	1200	499	990	0.825	0.8024739453732078	0.8454519042350143
20260820	40	t2_matched	cap_8	1200	499	963	0.8025	0.7790250485576263	0.824044396077719
20260820	40	diffuse_aligned	uncapped	1200	499	1078	0.8983333333333333	0.8799435041873784	0.9141809986657761
20260820	40	diffuse_aligned	cap_4.5	1200	499	1078	0.8983333333333333	0.8799435041873784	0.9141809986657761
20260820	40	diffuse_aligned	cap_5	1200	499	1078	0.8983333333333333	0.8799435041873784	0.9141809986657761
20260820	40	diffuse_aligned	cap_5.5	1200	499	1078	0.8983333333333333	0.8799435041873784	0.9141809986657761
20260820	40	diffuse_aligned	cap_6	1200	499	1078	0.8983333333333333	0.8799435041873784	0.9141809986657761
20260820	40	diffuse_aligned	cap_6.5	1200	499	1078	0.8983333333333333	0.8799435041873784	0.9141809986657761
20260820	40	diffuse_aligned	cap_7	1200	499	1078	0.8983333333333333	0.8799435041873784	0.9141809986657761
20260820	40	diffuse_aligned	cap_8	1200	499	1078	0.8983333333333333	0.8799435041873784	0.9141809986657761
20260820	40	bimodal_aligned	uncapped	1200	499	1070	0.8916666666666667	0.8728156133744084	0.9080181028201159
20260820	40	bimodal_aligned	cap_4.5	1200	499	1070	0.8916666666666667	0.8728156133744084	0.9080181028201159
20260820	40	bimodal_aligned	cap_5	1200	499	1070	0.8916666666666667	0.8728156133744084	0.9080181028201159
20260820	40	bimodal_aligned	cap_5.5	1200	499	1070	0.8916666666666667	0.8728156133744084	0.9080181028201159
20260820	40	bimodal_aligned	cap_6	1200	499	1070	0.8916666666666667	0.8728156133744084	0.9080181028201159
20260820	40	bimodal_aligned	cap_6.5	1200	499	1070	0.8916666666666667	0.8728156133744084	0.9080181028201159
20260820	40	bimodal_aligned	cap_7	1200	499	1070	0.8916666666666667	0.8728156133744084	0.9080181028201159
20260820	40	bimodal_aligned	cap_8	1200	499	1070	0.8916666666666667	0.8728156133744084	0.9080181028201159
20260820	40	unmatched_masking	uncapped	1200	499	31	0.025833333333333333	0.01825827524499464	0.03643452365993231
20260820	40	unmatched_masking	cap_4.5	1200	499	668	0.5566666666666666	0.5284227680884507	0.5845489185099059
20260820	40	unmatched_masking	cap_5	1200	499	650	0.5416666666666666	0.5133871650567499	0.5696802515596888
20260820	40	unmatched_masking	cap_5.5	1200	499	585	0.4875	0.4593042159580064	0.5157755590570618
20260820	40	unmatched_masking	cap_6	1200	499	517	0.43083333333333335	0.4030802523943794	0.4590278360223322
20260820	40	unmatched_masking	cap_6.5	1200	499	443	0.36916666666666664	0.3423205732728703	0.39684773855151184
20260820	40	unmatched_masking	cap_7	1200	499	366	0.305	0.27960687385839056	0.331637616376676
20260820	40	unmatched_masking	cap_8	1200	499	240	0.2	0.1783414535224752	0.22357314683916574
20260820	80	null_clean	uncapped	1200	499	55	0.04583333333333333	0.035380848837991884	0.05918431004282566
