n	scenario	method	repetitions	n_perm	rejection_rate	wilson_low	wilson_high	mean_profile_correlation
20	null_clean	huber_uncapped	5000	999	0.0422	0.03696993196904638	0.04813297593184793	-0.004823896863925508
20	null_clean	huber_cap5	5000	999	0.0426	0.03734452469569485	0.04855776904364341	-0.004836572467834739
20	null_contam_p10	huber_uncapped	5000	999	0.0468	0.04128549558366106	0.053010349459338725	0.0009520558171175004
20	null_contam_p10	huber_cap5	5000	999	0.051	0.04523938710267117	0.05745000924399013	-4.434925220223658e-05
20	matched_p01_m8	huber_uncapped	5000	999	0.9356	0.9284561911432091	0.9420749869222572	0.8775192625526761
20	matched_p01_m8	huber_cap5	5000	999	0.8928	0.8839213682108477	0.9010755251411157	0.711313927369366
20	t2_matched	huber_uncapped	5000	999	0.4704	0.4565932853444528	0.48425216261069465	0.46979910120107987
20	t2_matched	huber_cap5	5000	999	0.4044	0.39087506269359157	0.4180717219183034	0.415073464781833
20	unmatched_masking	huber_uncapped	5000	999	0.0024	0.0013734655564128324	0.004190551419308018	0.006608034567021553
20	unmatched_masking	huber_cap5	5000	999	0.2298	0.2183489554450348	0.24166591068607413	0.29522116384615926
40	null_clean	huber_uncapped	5000	999	0.0474	0.04184958432057469	0.05364533948009102	-0.0006895875860212236
40	null_clean	huber_cap5	5000	999	0.0474	0.04184958432057469	0.05364533948009102	-0.0007143092697219174
40	null_contam_p10	huber_uncapped	5000	999	0.0428	0.03753187129513541	0.048770115363424835	5.3900392167933567e-05
40	null_contam_p10	huber_cap5	5000	999	0.0442	0.03884421475711896	0.05025562233599513	-0.0005237951522199451
40	matched_p01_m8	huber_uncapped	5000	999	1.0	0.9992322980549431	1.0000000000000002	0.7787344478938518
40	matched_p01_m8	huber_cap5	5000	999	0.9794	0.9750792015143168	0.9829847258607627	0.5558192617816834
40	t2_matched	huber_uncapped	5000	999	0.6648	0.6515932898671808	0.6777536755717284	0.41483292378834924
40	t2_matched	huber_cap5	5000	999	0.805	0.793785648785521	0.8157460530279943	0.4064459175312935
40	unmatched_masking	huber_uncapped	5000	999	0.025	0.021023493755648905	0.02970582309215537	0.05738852694467982
40	unmatched_masking	huber_cap5	5000	999	0.5528	0.5389831487347887	0.5665357819398131	0.3094391124720685
80	null_clean	huber_uncapped	5000	999	0.0428	0.03753187129513541	0.048770115363424835	-0.0034971384209803
80	null_clean	huber_cap5	5000	999	0.0428	0.03753187129513541	0.048770115363424835	-0.0034975942065460664
80	null_contam_p10	huber_uncapped	5000	999	0.0472	0.041661525804974855	0.053433705076468885	0.0003226825655256535
80	null_contam_p10	huber_cap5	5000	999	0.0456	0.04015811220817567	0.05173957531949226	0.00039808589112046643
80	matched_p01_m8	huber_uncapped	5000	999	0.9998	0.9988679109191605	0.9999646942165608	0.6362878629983171
80	matched_p01_m8	huber_cap5	5000	999	0.9756	0.9709444054164321	0.9795253564934298	0.3824722471542092
80	t2_matched	huber_uncapped	5000	999	0.772	0.7601648602330703	0.7834175099088186	0.3631765457522164
80	t2_matched	huber_cap5	5000	999	0.9828	0.9788079262492988	0.9860507807525543	0.40117138904446564
80	unmatched_masking	huber_uncapped	5000	999	0.0676	0.06096785843452043	0.07489605020756496	0.07002706706304856
80	unmatched_masking	huber_cap5	5000	999	0.6182	0.6046479065716337	0.6315706086885549	0.23563118677580014
160	null_clean	huber_uncapped	5000	999	0.0548	0.04882660544300012	0.061456956368878754	0.000657058677489468
160	null_clean	huber_cap5	5000	999	0.0548	0.04882660544300012	0.061456956368878754	0.0006563931688952141
160	null_contam_p10	huber_uncapped	5000	999	0.0522	0.046371228094227626	0.058716325767765545	0.0012705868885483876
160	null_contam_p10	huber_cap5	5000	999	0.052	0.04618252452365877	0.058505336419112416	0.0017953204592628751
160	matched_p01_m8	huber_uncapped	5000	999	1.0	0.9992322980549431	1.0000000000000002	0.6352969826455497
160	matched_p01_m8	huber_cap5	5000	999	1.0	0.9992322980549431	1.0000000000000002	0.3867239286828455
160	t2_matched	huber_uncapped	5000	999	0.8716	0.8620412356048395	0.8805882083095942	0.32655811129400264
160	t2_matched	huber_cap5	5000	999	1.0	0.9992322980549431	1.0000000000000002	0.3996555171550337
160	unmatched_masking	huber_uncapped	5000	999	0.1372	0.127941479593388	0.14701556493794546	0.06685430708727533
160	unmatched_masking	huber_cap5	5000	999	0.5586	0.5447966969132375	0.5723133284188017	0.15186328675446192
