n	scenario	method	repetitions	n_perm	rejection_rate	wilson_low	wilson_high	mean_profile_correlation
40	null_clean	huber_uncapped	1500	499	0.05533333333333333	0.04485824885472669	0.06808015819908805	0.0021168450691705872
40	null_clean	huber_cap3	1500	499	0.056	0.04545839056668995	0.06880994391283121	0.0022512300360395475
40	null_clean	huber_cap4	1500	499	0.05533333333333333	0.04485824885472669	0.06808015819908805	0.002213045605795099
40	null_clean	huber_cap5	1500	499	0.05533333333333333	0.04485824885472669	0.06808015819908805	0.0021504998982401916
40	null_clean	huber_cap6	1500	499	0.05533333333333333	0.04485824885472669	0.06808015819908805	0.0021293599348828096
40	null_clean	huber_cap8	1500	499	0.05533333333333333	0.04485824885472669	0.06808015819908805	0.0021168450691705872
40	null_contam_p10	huber_uncapped	1500	499	0.06066666666666667	0.04967170257629275	0.0739061238831734	0.011322637169710426
40	null_contam_p10	huber_cap3	1500	499	0.058	0.047261512311441406	0.07099660444519904	0.005036784010833148
40	null_contam_p10	huber_cap4	1500	499	0.05733333333333333	0.04666002962225208	0.07026815970868193	0.0070213745150562515
40	null_contam_p10	huber_cap5	1500	499	0.06	0.04906852936100265	0.07317936967275707	0.008185649322236126
40	null_contam_p10	huber_cap6	1500	499	0.06133333333333333	0.05027528227407119	0.07463247161110136	0.008897368596732116
40	null_contam_p10	huber_cap8	1500	499	0.06266666666666666	0.05148363681474642	0.07608397192183898	0.009677382847309894
40	matched_p01_m8	huber_uncapped	1500	499	1.0	0.9974455692798185	1.0	0.7785257680393916
40	matched_p01_m8	huber_cap3	1500	499	0.4686666666666667	0.4435255595476355	0.49396785144416255	0.26989338573275024
40	matched_p01_m8	huber_cap4	1500	499	0.846	0.826851922864597	0.8633804110770373	0.4274689307388885
40	matched_p01_m8	huber_cap5	1500	499	0.9833333333333333	0.9755116878776833	0.9886856957594745	0.5561294652182017
40	matched_p01_m8	huber_cap6	1500	499	0.9946666666666667	0.9895110786364689	0.9972950712376982	0.6498356773009197
40	matched_p01_m8	huber_cap8	1500	499	1.0	0.9974455692798185	1.0	0.7454004480526109
40	t2_matched	huber_uncapped	1500	499	0.672	0.6478281614195585	0.6952931144126993	0.4192353871538961
40	t2_matched	huber_cap3	1500	499	0.418	0.3932800517181987	0.443138874919911	0.2534389499786354
40	t2_matched	huber_cap4	1500	499	0.6733333333333333	0.6491828182603432	0.6965983124233273	0.34430644858080445
40	t2_matched	huber_cap5	1500	499	0.822	0.8018272630918543	0.8405276835243488	0.4105336313794578
40	t2_matched	huber_cap6	1500	499	0.8533333333333334	0.8345278121782179	0.8703337234461873	0.44771247918751955
40	t2_matched	huber_cap8	1500	499	0.8133333333333334	0.7928235571796592	0.8322423329023604	0.46284428803012484
40	unmatched_masking	huber_uncapped	1500	499	0.027333333333333334	0.02021183428351895	0.03686962089062596	0.05892020682218216
40	unmatched_masking	huber_cap3	1500	499	0.402	0.3774685345457889	0.42703213387536676	0.24747849978231273
40	unmatched_masking	huber_cap4	1500	499	0.5426666666666666	0.5173789294518997	0.5677364257933114	0.30316602424652744
40	unmatched_masking	huber_cap5	1500	499	0.5353333333333333	0.5100354041109946	0.560450749451446	0.31012917930726847
40	unmatched_masking	huber_cap6	1500	499	0.4266666666666667	0.40185587945924867	0.4518521037130447	0.28599674334239994
40	unmatched_masking	huber_cap8	1500	499	0.178	0.15947231647565113	0.19817273690814569	0.21745234395655358
80	null_clean	huber_uncapped	1500	499	0.04533333333333334	0.03591646328500114	0.05707303238321723	-0.0008029890870453244
80	null_clean	huber_cap3	1500	499	0.04733333333333333	0.03769502441859292	0.059284253526744726	-0.0007322021579932448
80	null_clean	huber_cap4	1500	499	0.046	0.03650872245690122	0.05781070063702358	-0.0007330792436099399
80	null_clean	huber_cap5	1500	499	0.04533333333333334	0.03591646328500114	0.05707303238321723	-0.0008029722786630164
80	null_clean	huber_cap6	1500	499	0.04533333333333334	0.03591646328500114	0.05707303238321723	-0.0008029890870453244
80	null_clean	huber_cap8	1500	499	0.04533333333333334	0.03591646328500114	0.05707303238321723	-0.0008029890870453244
80	null_contam_p10	huber_uncapped	1500	499	0.044	0.03473379071821657	0.055595850098588945	-0.001305788588041895
80	null_contam_p10	huber_cap3	1500	499	0.05266666666666667	0.042462382108623964	0.06515631524236508	-0.0007944951419563555
80	null_contam_p10	huber_cap4	1500	499	0.05533333333333333	0.04485824885472669	0.06808015819908805	-0.0011314519544844994
80	null_contam_p10	huber_cap5	1500	499	0.050666666666666665	0.040670651803700913	0.06295826327016886	-0.001302079073110353
80	null_contam_p10	huber_cap6	1500	499	0.04933333333333333	0.03947876255528736	0.061490297667169555	-0.001396640909892546
80	null_contam_p10	huber_cap8	1500	499	0.04666666666666667	0.03710158016621855	0.05854777035341267	-0.0014861568851692057
80	matched_p01_m8	huber_uncapped	1500	499	1.0	0.9974455692798185	1.0	0.6407547760704977
80	matched_p01_m8	huber_cap3	1500	499	0.3406666666666667	0.31711696756709534	0.36503037768906915	0.15292273978937063
80	matched_p01_m8	huber_cap4	1500	499	0.7786666666666666	0.7569607902637278	0.7989488736815576	0.270549406573846
80	matched_p01_m8	huber_cap5	1500	499	0.974	0.9646556618268805	0.9809227378503875	0.3865171119196306
80	matched_p01_m8	huber_cap6	1500	499	1.0	0.9974455692798185	1.0	0.48644057369281335
