n	scenario	repetitions	x_trigger_rate	y_trigger_rate	either_margin_trigger_rate_upper_bound
12	null_clean	2500	0.0128	0.0104	0.0232
12	null_contam_p10	2500	1.0	1.0	1.0
12	matched_p01_m8	2500	0.7588	0.7672	1.0
12	t2_matched	2500	0.554	0.5528	1.0
12	bimodal_aligned	2500	0.5292	0.7032	1.0
12	unmatched_masking	2500	0.9316	0.942	1.0
12	diffuse_noise_0.15	2500	0.072	0.0736	0.1456
12	diffuse_noise_0.30	2500	0.0752	0.0432	0.1184
12	diffuse_noise_0.50	2500	0.0868	0.0232	0.11
20	null_clean	2500	0.006	0.0052	0.0112
20	null_contam_p10	2500	1.0	1.0	1.0
20	matched_p01_m8	2500	0.8312	0.826	1.0
20	t2_matched	2500	0.638	0.642	1.0
20	bimodal_aligned	2500	0.42	0.6292	1.0
20	unmatched_masking	2500	0.9984	0.998	1.0
20	diffuse_noise_0.15	2500	0.0232	0.0288	0.052
20	diffuse_noise_0.30	2500	0.02	0.01	0.03
20	diffuse_noise_0.50	2500	0.0208	0.002	0.0228
40	null_clean	2500	0.0008	0.0016	0.0024
40	null_contam_p10	2500	1.0	1.0	1.0
40	matched_p01_m8	2500	0.8888	0.8888	1.0
40	t2_matched	2500	0.8028	0.8068	1.0
40	bimodal_aligned	2500	0.2656	0.52	0.7856
40	unmatched_masking	2500	0.9996	1.0	1.0
40	diffuse_noise_0.15	2500	0.0016	0.0016	0.0032
40	diffuse_noise_0.30	2500	0.0008	0.0	0.0008
40	diffuse_noise_0.50	2500	0.0012	0.0	0.0012
80	null_clean	2500	0.0004	0.0	0.0004
80	null_contam_p10	2500	1.0	1.0	1.0
80	matched_p01_m8	2500	0.9308	0.9404	1.0
80	t2_matched	2500	0.934	0.95	1.0
80	bimodal_aligned	2500	0.1348	0.3852	0.52
80	unmatched_masking	2500	0.9996	0.9996	1.0
80	diffuse_noise_0.15	2500	0.0	0.0	0.0
80	diffuse_noise_0.30	2500	0.0	0.0	0.0
80	diffuse_noise_0.50	2500	0.0	0.0	0.0
