n	scenario	method	repetitions	n_perm	rejection_rate	wilson_low	wilson_high
12	null_clean	huber_c1.345	2500	499	0.0448	0.03736561825945768	0.053631141147189074
12	null_clean	huber_c2	2500	499	0.0444	0.03700061596252835	0.05319737082496784
12	null_clean	huber_c3	2500	499	0.0464	0.03882735351427952	0.05536449636896952
12	null_clean	huber_c4	2500	499	0.0456	0.03809614497738621	0.05449815966756169
12	null_clean	adaptive_c1.345_or_4	2500	499	0.0456	0.03809614497738621	0.05449815966756169
12	null_contam_p10	huber_c1.345	2500	499	0.0496	0.04175868435429812	0.05882334648215551
12	null_contam_p10	huber_c2	2500	499	0.0484	0.04065825069539145	0.05752746228361046
12	null_contam_p10	huber_c3	2500	499	0.048	0.04029175041492176	0.05709518994492959
12	null_contam_p10	huber_c4	2500	499	0.0492	0.04139171945681181	0.05839153876049125
12	null_contam_p10	adaptive_c1.345_or_4	2500	499	0.0496	0.04175868435429812	0.05882334648215551
12	matched_p01_m8	huber_c1.345	2500	499	0.5708	0.5513038088318247	0.5900789447578267
12	matched_p01_m8	huber_c2	2500	499	0.5648	0.5452808982518172	0.5841202660505757
12	matched_p01_m8	huber_c3	2500	499	0.5744	0.5549189474967255	0.5936527596652812
12	matched_p01_m8	huber_c4	2500	499	0.5744	0.5549189474967255	0.5936527596652812
12	matched_p01_m8	adaptive_c1.345_or_4	2500	499	0.5744	0.5549189474967255	0.5936527596652812
12	t2_matched	huber_c1.345	2500	499	0.378	0.35919359431007647	0.39718075684899845
12	t2_matched	huber_c2	2500	499	0.3764	0.35761190221231837	0.3955673584701543
12	t2_matched	huber_c3	2500	499	0.38	0.3611710180677605	0.39919719618706734
12	t2_matched	huber_c4	2500	499	0.3772	0.3584027207870862	0.3963740851336876
12	t2_matched	adaptive_c1.345_or_4	2500	499	0.3772	0.3584027207870862	0.3963740851336876
12	bimodal_aligned	huber_c1.345	2500	499	0.7908	0.7744160211964196	0.8062916729260475
12	bimodal_aligned	huber_c2	2500	499	0.7908	0.7744160211964196	0.8062916729260475
12	bimodal_aligned	huber_c3	2500	499	0.7896	0.7731844260766942	0.8051269501883214
12	bimodal_aligned	huber_c4	2500	499	0.7872	0.7707218575939628	0.8027968829561493
12	bimodal_aligned	adaptive_c1.345_or_4	2500	499	0.788	0.7715426220884672	0.8035736636999461
12	unmatched_masking	huber_c1.345	2500	499	0.0008	0.00021941627657414732	0.0029123550235094615
12	unmatched_masking	huber_c2	2500	499	0.0004	7.061331195866894e-05	0.0022623853689743663
12	unmatched_masking	huber_c3	2500	499	0.0	0.0	0.001534226061782461
12	unmatched_masking	huber_c4	2500	499	0.0	0.0	0.001534226061782461
12	unmatched_masking	adaptive_c1.345_or_4	2500	499	0.0008	0.00021941627657414732	0.0029123550235094615
12	diffuse_noise_0.15	huber_c1.345	2500	499	0.346	0.3276022526193165	0.36487028900771246
