magnitude	method	adaptive_triggered	ordinary_mean_score	remote_score
4.0	huber_c1.345		0.6588398843198137	2.5366837294813385
4.0	huber_c2		0.6592295333382417	2.520708119725783
4.0	huber_c3		0.6595319190059291	2.5083103073506035
4.0	huber_c4		0.6595319190059291	2.5083103073506035
4.0	adaptive_c1.345_or_4	0	0.6595319190059291	2.5083103073506035
8.0	huber_c1.345		0.6588398843198191	5.1061723370109995
8.0	huber_c2		0.6592295333382604	5.090196727254907
8.0	huber_c3		0.6602601986294695	5.065806483352795
8.0	huber_c4		0.6620448506223514	5.041416239450074
8.0	adaptive_c1.345_or_4	0	0.6620448506223514	5.041416239450074
16.0	huber_c1.345		0.6588398843198175	10.245149552070837
16.0	huber_c2		0.6592295333382597	10.229173942314707
16.0	huber_c3		0.6602601986294939	10.204783698412234
16.0	huber_c4		0.6620448506223522	10.180393454509838
16.0	adaptive_c1.345_or_4	1	0.6588398843198175	10.245149552070837
64.0	huber_c1.345		0.6588398843198192	41.0790128424294
64.0	huber_c2		0.6592295333382598	41.06303723267334
64.0	huber_c3		0.6602601986294944	41.038646988770864
64.0	huber_c4		0.6620448506223553	41.01425674486843
64.0	adaptive_c1.345_or_4	1	0.6588398843198192	41.0790128424294
256.0	huber_c1.345		0.6588398843198191	164.41446600386396
256.0	huber_c2		0.6592295333382607	164.39849039410785
256.0	huber_c3		0.6602601986294941	164.3741001502054
256.0	huber_c4		0.6620448506223552	164.349709906303
256.0	adaptive_c1.345_or_4	1	0.6588398843198191	164.41446600386396
1024.0	huber_c1.345		0.6588398843198192	657.7562786496022
1024.0	huber_c2		0.6592295333382605	657.740303039846
1024.0	huber_c3		0.6602601986294943	657.7159127959436
1024.0	huber_c4		0.6620448506223556	657.6915225520412
1024.0	adaptive_c1.345_or_4	1	0.6588398843198192	657.7562786496022
