n	sigma	latent_correlation	population_cdelta	method	repetitions	coverage_rate	coverage_wilson_low	coverage_wilson_high	mean_standard_error	empirical_estimate_sd	se_over_empirical_sd	mean_interval_width	mean_estimate_bias
40	0.6	0.4	1.2223616132626904	oracle	2500	0.9588	0.9502793627023157	0.9659128314633926	0.35303679475026245	0.3051794096665557	1.1568172149490574	1.473604484716107	-0.0175552592408581
40	0.6	0.4	1.2223616132626904	kde_hc0	2500	0.7976	0.7813990474345015	0.8128877812135255	0.1985218246230118	0.3051794096665557	0.6505085806408767	0.7987145041986303	-0.0175552592408581
40	0.6	0.4	1.2223616132626904	kde_sample	2500	0.8032	0.7871549916149804	0.8183146537011549	0.2010508670210036	0.3051794096665557	0.6587956482407357	0.809429297765178	-0.0175552592408581
40	0.6	0.4	1.2223616132626904	kde_hc1	2500	0.8508	0.8362960016969416	0.8642275852981118	0.22550563930191975	0.3051794096665557	0.7389280933084938	0.9141547888240138	-0.0175552592408581
40	0.6	0.4	1.2223616132626904	kde_hc3	2500	0.8976	0.8850992670737592	0.9088807163619113	0.25615719306195067	0.3051794096665557	0.8393659105043569	1.0485709032428954	-0.0175552592408581
40	0.6	0.4	1.2223616132626904	crossfit_sample	2500	0.8036	0.7875663151053438	0.8187021028299419	0.20107147930532285	0.3051794096665557	0.6588631897709515	0.8095250093158282	-0.0175552592408581
40	0.6	0.4	1.2223616132626904	analytic_sample	2500	0.8056	0.7896233074559169	0.8206389735751216	0.20144013466856137	0.3051794096665557	0.6600711853026334	0.8110231788008266	-0.0175552592408581
40	0.6	0.4	1.2223616132626904	analytic_hc1	2500	0.854	0.8396153371926149	0.8672984307556431	0.2259422554231171	0.3051794096665557	0.7403587800041475	0.9159624370935316	-0.0175552592408581
80	0.6	0.4	1.2223616132626904	oracle	2500	0.9568	0.9481050113726649	0.9640933196972906	0.24963471157627382	0.22746281174847843	1.0974748340502904	1.0081593110123281	-0.018002667270041073
80	0.6	0.4	1.2223616132626904	kde_hc0	2500	0.8088	0.7929158091002464	0.8237366528839967	0.16560328708716196	0.22746281174847843	0.7280455464969857	0.6629220672057714	-0.018002667270041073
80	0.6	0.4	1.2223616132626904	kde_sample	2500	0.8124	0.7966218402901465	0.8272195752664518	0.166648113143387	0.22746281174847843	0.7326389393606085	0.6672822057503635	-0.018002667270041073
80	0.6	0.4	1.2223616132626904	kde_hc1	2500	0.83	0.8147717615218527	0.8442156492773708	0.17578619758367636	0.22746281174847843	0.7728129105255916	0.7055639577324884	-0.018002667270041073
80	0.6	0.4	1.2223616132626904	kde_hc3	2500	0.8544	0.8400304124081582	0.8676821281592505	0.18659525305595717	0.22746281174847843	0.8203330101374489	0.7512038471411993	-0.018002667270041073
80	0.6	0.4	1.2223616132626904	crossfit_sample	2500	0.8124	0.7966218402901465	0.8272195752664518	0.16664135795364318	0.22746281174847843	0.7326092413642992	0.6672564332828975	-0.018002667270041073
80	0.6	0.4	1.2223616132626904	analytic_sample	2500	0.8132	0.7974456899374721	0.8279932708574275	0.16681885197561824	0.22746281174847843	0.7333895624225446	0.6679692500480293	-0.018002667270041073
80	0.6	0.4	1.2223616132626904	analytic_hc1	2500	0.8316	0.8164244836836394	0.8457580175921864	0.17596629881333728	0.22746281174847843	0.7736046937110561	0.706290796447999	-0.018002667270041073
160	0.6	0.4	1.2223616132626904	oracle	2500	0.956	0.9472365765032937	0.9633642093283605	0.17651839737513123	0.1680557669942659	1.05035608436546	0.7018585147964302	-0.01067648861758741
160	0.6	0.4	1.2223616132626904	kde_hc0	2500	0.8544	0.8400304124081582	0.8676821281592505	0.13371276566062332	0.1680557669942659	0.7956452078504729	0.5315162041132558	-0.01067648861758741
160	0.6	0.4	1.2223616132626904	kde_sample	2500	0.8552	0.8408606696739838	0.8684494161317258	0.13413258699398287	0.1680557669942659	0.7981433151208641	0.5332320175545976	-0.01067648861758741
160	0.6	0.4	1.2223616132626904	kde_hc1	2500	0.8628	0.848755402487869	0.8757313630817016	0.13763991297234024	0.1680557669942659	0.8190133277427877	0.5475841473537728	-0.01067648861758741
160	0.6	0.4	1.2223616132626904	kde_hc3	2500	0.8712	0.8574973044634262	0.8837636861083065	0.14168240069999824	0.1680557669942659	0.843067769907786	0.5641661345998628	-0.01067648861758741
160	0.6	0.4	1.2223616132626904	crossfit_sample	2500	0.8552	0.8408606696739838	0.8684494161317258	0.13412633954404343	0.1680557669942659	0.798106140258905	0.5332072595546801	-0.01067648861758741
160	0.6	0.4	1.2223616132626904	analytic_sample	2500	0.8552	0.8408606696739838	0.8684494161317258	0.13423032596801587	0.1680557669942659	0.7987249016726445	0.5336217531737742	-0.01067648861758741
160	0.6	0.4	1.2223616132626904	analytic_hc1	2500	0.8632	0.849171289710136	0.8761142484785851	0.1377402076448087	0.1680557669942659	0.8196101217371996	0.5479844340191906	-0.01067648861758741
