family	n	n_blocks	scale_ratio	signal_magnitude	permutation_scheme	method	repetitions	n_perm	rejection_rate	wilson_low	wilson_high	mean_observed_cdelta	mean_permutation_reference
conditional_null	40	2	2.0	0.0	unrestricted	original_l2	1500	499	0.19	0.17094863912175895	0.21063510792475354	1.0152014537261502	0.9999932672166748
conditional_null	40	2	2.0	0.0	unrestricted	huber_primary	1500	499	0.21666666666666667	0.19655613586822224	0.2382247082065473	1.1044490367082611	0.9999566604299382
conditional_null	40	2	2.0	0.0	unrestricted	huber_cap6	1500	499	0.216	0.19591431213651375	0.2375366045125493	1.1042784044525196	0.9999484788122982
conditional_null	40	2	2.0	0.0	within_block	original_l2	1500	499	0.04533333333333334	0.03591646328500114	0.05707303238321723	1.0152014537261502	1.0154620950646223
conditional_null	40	2	2.0	0.0	within_block	huber_primary	1500	499	0.048	0.03828904363175826	0.06002016173928581	1.1044490367082611	1.106201958677408
conditional_null	40	2	2.0	0.0	within_block	huber_cap6	1500	499	0.048666666666666664	0.03888362661591451	0.06075550618083598	1.1042784044525196	1.106088436153511
matched_within_block	40	2	2.0	4.0	unrestricted	original_l2	1500	499	0.9146666666666666	0.8994476527415375	0.9277672060478587	1.1053509184498602	1.0000337809078355
matched_within_block	40	2	2.0	4.0	unrestricted	huber_primary	1500	499	0.9206666666666666	0.9058906732506282	0.9332935323701257	1.6813367151206857	1.0002030073201977
matched_within_block	40	2	2.0	4.0	unrestricted	huber_cap6	1500	499	0.9193333333333333	0.9044570014901808	0.9320673492791604	1.5926999404378348	1.000216424616635
matched_within_block	40	2	2.0	4.0	within_block	original_l2	1500	499	0.876	0.8583543616679741	0.8917247064304494	1.1053509184498602	1.012808966456844
matched_within_block	40	2	2.0	4.0	within_block	huber_primary	1500	499	0.87	0.8520313650208635	0.8860783562462022	1.6813367151206857	1.1131418525411203
matched_within_block	40	2	2.0	4.0	within_block	huber_cap6	1500	499	0.8633333333333333	0.8450197171772774	0.879790729832724	1.5926999404378348	1.1072266920408738
matched_within_block	40	2	2.0	6.0	unrestricted	original_l2	1500	499	1.0	0.9974455692798185	1.0	1.1796137803346447	0.9999902468534089
matched_within_block	40	2	2.0	6.0	unrestricted	huber_primary	1500	499	0.9993333333333333	0.9962333345857864	0.9998823072683257	2.3340397528302015	1.0000527862557176
matched_within_block	40	2	2.0	6.0	unrestricted	huber_cap6	1500	499	0.9993333333333333	0.9962333345857864	0.9998823072683257	1.8586868805696921	1.0000717227951967
matched_within_block	40	2	2.0	6.0	within_block	original_l2	1500	499	0.9973333333333333	0.9931633478220959	0.9989625117548969	1.1796137803346447	1.0107658986415018
matched_within_block	40	2	2.0	6.0	within_block	huber_primary	1500	499	0.998	0.9941361954746901	0.9993195915280091	2.3340397528302015	1.1218854562898009
matched_within_block	40	2	2.0	6.0	within_block	huber_cap6	1500	499	0.9946666666666667	0.9895110786364689	0.9972950712376982	1.8586868805696921	1.0960958144280253
conditional_null	40	2	4.0	0.0	unrestricted	original_l2	1500	499	0.3973333333333333	0.37286197500744905	0.42232920143376146	1.0367351270667453	1.0000441946912535
conditional_null	40	2	4.0	0.0	unrestricted	huber_primary	1500	499	0.5686666666666667	0.5434594022848007	0.5935231225629609	1.3379576008895013	1.000361545275705
conditional_null	40	2	4.0	0.0	unrestricted	huber_cap6	1500	499	0.5846666666666667	0.559543702465477	0.609357080599239	1.335609083375917	1.000325125528847
conditional_null	40	2	4.0	0.0	within_block	original_l2	1500	499	0.052	0.04186463169739715	0.06442413822788547	1.0367351270667453	1.0368756656228122
conditional_null	40	2	4.0	0.0	within_block	huber_primary	1500	499	0.051333333333333335	0.041267385200304804	0.06369145729927139	1.3379576008895013	1.336736835563128
conditional_null	40	2	4.0	0.0	within_block	huber_cap6	1500	499	0.048666666666666664	0.03888362661591451	0.06075550618083598	1.335609083375917	1.3343855573975179
matched_within_block	40	2	4.0	4.0	unrestricted	original_l2	1500	499	0.85	0.8310369358943965	0.8671749626014764	1.1234261999791513	0.9999971075794671
matched_within_block	40	2	4.0	4.0	unrestricted	huber_primary	1500	499	0.8973333333333333	0.8809443624227629	0.9116923832982662	1.99223086761274	0.9999830325155743
matched_within_block	40	2	4.0	4.0	unrestricted	huber_cap6	1500	499	0.89	0.8731585444191344	0.9048489996191241	1.6258148042998628	1.000031782040337
matched_within_block	40	2	4.0	4.0	within_block	original_l2	1500	499	0.6646666666666666	0.6403813992921241	0.6881106748573627	1.1234261999791513	1.0301559581072564
matched_within_block	40	2	4.0	4.0	within_block	huber_primary	1500	499	0.6786666666666666	0.6546036233642627	0.7018169267250591	1.99223086761274	1.3398879230317944
matched_within_block	40	2	4.0	4.0	within_block	huber_cap6	1500	499	0.49533333333333335	0.4700756637418152	0.5206148442782399	1.6258148042998628	1.3142169116860536
matched_within_block	40	2	4.0	6.0	unrestricted	original_l2	1500	499	0.898	0.8816533254589297	0.9123133476878059	1.1899678848771948	0.9998488551325219
matched_within_block	40	2	4.0	6.0	unrestricted	huber_primary	1500	499	0.9466666666666667	0.9341120027548854	0.9569393724684191	2.7115691379691933	0.9985867229745002
matched_within_block	40	2	4.0	6.0	unrestricted	huber_cap6	1500	499	0.9493333333333334	0.9370417367298313	0.9593293481962991	1.6786126029213642	0.9994889509897409
matched_within_block	40	2	4.0	6.0	within_block	original_l2	1500	499	0.8266666666666667	0.8066823409159694	0.8449820976801787	1.1899678848771948	1.0234012157190577
matched_within_block	40	2	4.0	6.0	within_block	huber_primary	1500	499	0.858	0.839420352998207	0.874750674606143	2.7115691379691933	1.3378561459964502
matched_within_block	40	2	4.0	6.0	within_block	huber_cap6	1500	499	0.7046666666666667	0.6810813387845329	0.7272063809073395	1.6786126029213642	1.2799763560713593
conditional_null	40	4	2.0	0.0	unrestricted	original_l2	1500	499	0.136	0.1195798739017336	0.1542797516625585	1.0103229407002439	1.0000380769196788
conditional_null	40	4	2.0	0.0	unrestricted	huber_primary	1500	499	0.14666666666666667	0.1296662765538127	0.1654721878217822	1.0658336480304245	1.0002378472086955
conditional_null	40	4	2.0	0.0	unrestricted	huber_cap6	1500	499	0.14666666666666667	0.1296662765538127	0.1654721878217822	1.0657356741686517	1.0002388331737433
conditional_null	40	4	2.0	0.0	within_block	original_l2	1500	499	0.051333333333333335	0.041267385200304804	0.06369145729927139	1.0103229407002439	1.0096043846980194
conditional_null	40	4	2.0	0.0	within_block	huber_primary	1500	499	0.04933333333333333	0.03947876255528736	0.061490297667169555	1.0658336480304245	1.0615440455138916
conditional_null	40	4	2.0	0.0	within_block	huber_cap6	1500	499	0.04933333333333333	0.03947876255528736	0.061490297667169555	1.0657356741686517	1.0614979822788049
matched_within_block	40	4	2.0	4.0	unrestricted	original_l2	1500	499	0.946	0.9333808071332246	0.9563406406643735	1.0974287223089796	0.9999938753751837
matched_within_block	40	4	2.0	4.0	unrestricted	huber_primary	1500	499	0.9386666666666666	0.9253675283888986	0.9497247177259288	1.600428473287261	0.9999724798254491
matched_within_block	40	4	2.0	4.0	unrestricted	huber_cap6	1500	499	0.9373333333333334	0.9239160280781611	0.9485163631852536	1.5537378380363915	0.9999866972879203
