n	noise	positive_probability	contamination_fraction	magnitude_family	method	repetitions	n_perm	rejection_rate	wilson_low	wilson_high
12	0.15	0.5	0.0	uniform	original_l2	1500	499	0.48	0.4548005734156236	0.5053016038131837
12	0.15	0.5	0.0	uniform	original_l1	1500	499	0.29933333333333334	0.2766940136115323	0.32299783125083387
12	0.15	0.5	0.0	uniform	huber_primary	1500	499	0.3506666666666667	0.32692784116097257	0.37516841548078833
12	0.15	0.5	0.0	uniform	huber_cap6	1500	499	0.352	0.328236838799257	0.3765192726939166
12	0.15	0.5	0.0	lognormal	original_l2	1500	499	0.6066666666666667	0.5817037469911872	0.6310846411218407
12	0.15	0.5	0.0	lognormal	original_l1	1500	499	0.4693333333333333	0.4441884355466058	0.4946349028708986
12	0.15	0.5	0.0	lognormal	huber_primary	1500	499	0.5033333333333333	0.4780546905475126	0.5285949465810195
12	0.15	0.5	0.0	lognormal	huber_cap6	1500	499	0.502	0.4767244046291361	0.5272653776479832
12	0.15	0.5	0.05	uniform	original_l2	1500	499	0.06133333333333333	0.05027528227407119	0.07463247161110136
12	0.15	0.5	0.05	uniform	original_l1	1500	499	0.07333333333333333	0.06120295070979578	0.08764349683809242
12	0.15	0.5	0.05	uniform	huber_primary	1500	499	0.072	0.05998329482631877	0.08620329787015658
12	0.15	0.5	0.05	uniform	huber_cap6	1500	499	0.072	0.05998329482631877	0.08620329787015658
12	0.15	0.5	0.05	lognormal	original_l2	1500	499	0.051333333333333335	0.041267385200304804	0.06369145729927139
12	0.15	0.5	0.05	lognormal	original_l1	1500	499	0.076	0.06364598808451702	0.09052016916619687
12	0.15	0.5	0.05	lognormal	huber_primary	1500	499	0.076	0.06364598808451702	0.09052016916619687
12	0.15	0.5	0.05	lognormal	huber_cap6	1500	499	0.082	0.06915993332947948	0.09697557075259225
12	0.15	0.65	0.0	uniform	original_l2	1500	499	0.2846666666666667	0.2624030130137565	0.30803042848306833
12	0.15	0.65	0.0	uniform	original_l1	1500	499	0.174	0.15565394194727064	0.19401154688228764
12	0.15	0.65	0.0	uniform	huber_primary	1500	499	0.2	0.18053525965222722	0.22099739877988167
12	0.15	0.65	0.0	uniform	huber_cap6	1500	499	0.198	0.17861632712892028	0.21892654902606934
12	0.15	0.65	0.0	lognormal	original_l2	1500	499	0.4166666666666667	0.3919613920794614	0.44179767970723555
12	0.15	0.65	0.0	lognormal	original_l1	1500	499	0.31266666666666665	0.2897103498360883	0.3365800435404063
12	0.15	0.65	0.0	lognormal	huber_primary	1500	499	0.32066666666666666	0.2975309929249367	0.344718529560035
12	0.15	0.65	0.0	lognormal	huber_cap6	1500	499	0.322	0.29883520859575796	0.3460741687406267
12	0.15	0.65	0.05	uniform	original_l2	1500	499	0.044	0.03473379071821657	0.055595850098588945
12	0.15	0.65	0.05	uniform	original_l1	1500	499	0.05466666666666667	0.0442585691503609	0.06734991047774742
12	0.15	0.65	0.05	uniform	huber_primary	1500	499	0.056	0.04545839056668995	0.06880994391283121
12	0.15	0.65	0.05	uniform	huber_cap6	1500	499	0.058666666666666666	0.04786342768227863	0.07172461650006824
12	0.15	0.65	0.05	lognormal	original_l2	1500	499	0.04	0.031201530510343935	0.05114854575222304
12	0.15	0.65	0.05	lognormal	original_l1	1500	499	0.062	0.050879262338555414	0.07535841897232357
12	0.15	0.65	0.05	lognormal	huber_primary	1500	499	0.06133333333333333	0.05027528227407119	0.07463247161110136
12	0.15	0.65	0.05	lognormal	huber_cap6	1500	499	0.066	0.0545112274826468	0.07970601838247074
12	0.5	0.5	0.0	uniform	original_l2	1500	499	0.24733333333333332	0.22616251452109296	0.26979499113617206
12	0.5	0.5	0.0	uniform	original_l1	1500	499	0.17	0.1518392582938526	0.18984666598146718
12	0.5	0.5	0.0	uniform	huber_primary	1500	499	0.20266666666666666	0.18309505753146907	0.22375731060346551
12	0.5	0.5	0.0	uniform	huber_cap6	1500	499	0.202	0.18245497819121384	0.22306746251801432
12	0.5	0.5	0.0	lognormal	original_l2	1500	499	0.42133333333333334	0.3965775171137021	0.44649104665293976
12	0.5	0.5	0.0	lognormal	original_l1	1500	499	0.3333333333333333	0.3099298350305162	0.3575883085428776
12	0.5	0.5	0.0	lognormal	huber_primary	1500	499	0.372	0.3478961915687377	0.39675774269562875
12	0.5	0.5	0.0	lognormal	huber_cap6	1500	499	0.37066666666666664	0.34658416236871314	0.39540991704424044
12	0.5	0.5	0.05	uniform	original_l2	1500	499	0.059333333333333335	0.04846576891093947	0.07245220269711383
12	0.5	0.5	0.05	uniform	original_l1	1500	499	0.082	0.06915993332947948	0.09697557075259225
12	0.5	0.5	0.05	uniform	huber_primary	1500	499	0.07933333333333334	0.06670646762987423	0.09410932674937181
12	0.5	0.5	0.05	uniform	huber_cap6	1500	499	0.07733333333333334	0.06486930993335295	0.09195670216877382
12	0.5	0.5	0.05	lognormal	original_l2	1500	499	0.04466666666666667	0.03532481507788357	0.05633475316462838
12	0.5	0.5	0.05	lognormal	original_l1	1500	499	0.07133333333333333	0.05937394629575595	0.08548271897501297
12	0.5	0.5	0.05	lognormal	huber_primary	1500	499	0.07333333333333333	0.06120295070979578	0.08764349683809242
12	0.5	0.5	0.05	lognormal	huber_cap6	1500	499	0.078	0.06548140922514466	0.09267453030268853
12	0.5	0.65	0.0	uniform	original_l2	1500	499	0.17266666666666666	0.15438196566895335	0.1926236683091921
12	0.5	0.65	0.0	uniform	original_l1	1500	499	0.11466666666666667	0.09951746454568376	0.1317844833960028
