n	noise	method	repetitions	n_perm	rejection_rate	wilson_low	wilson_high
12	0.15	original_l2	2500	499	0.4564	0.43695677981056025	0.4759770047020271
12	0.15	huber_radius	2500	499	0.3324	0.31420377364980706	0.3511104989261024
12	0.3	original_l2	2500	499	0.376	0.3572165135520945	0.39516397451122753
12	0.3	huber_radius	2500	499	0.2988	0.28117703487053336	0.3170403376967279
12	0.5	original_l2	2500	499	0.2608	0.243965012145603	0.27836896160235364
12	0.5	huber_radius	2500	499	0.2228	0.20692045076591864	0.2395301241627335
20	0.15	original_l2	2500	499	0.7636	0.7465488234898597	0.7798423325303684
20	0.15	huber_radius	2500	499	0.6032	0.5838781163014525	0.6222052194393956
20	0.3	original_l2	2500	499	0.6544	0.6355341686040433	0.6727920623880782
20	0.3	huber_radius	2500	499	0.5432	0.5236222459838128	0.5626451968844491
20	0.5	original_l2	2500	499	0.4904	0.4708337342618711	0.5099957228785152
20	0.5	huber_radius	2500	499	0.4288	0.4095239130350509	0.448294560756147
30	0.15	original_l2	2500	499	0.9276	0.9167721261603885	0.937115803711575
30	0.15	huber_radius	2500	499	0.7996	0.7834541920864223	0.8148264996573577
30	0.3	original_l2	2500	499	0.8696	0.8558308139069905	0.88223508618814
30	0.3	huber_radius	2500	499	0.7684	0.7514593708382151	0.78451705661182
30	0.5	original_l2	2500	499	0.702	0.6837722181113121	0.7196079545597277
30	0.5	huber_radius	2500	499	0.648	0.6290645838269283	0.6664812852587841
40	0.15	original_l2	2500	499	0.9692	0.961674486770785	0.9752857954928381
40	0.15	huber_radius	2500	499	0.9064	0.8943505975530754	0.9172023835039078
40	0.3	original_l2	2500	499	0.9528	0.9437698321688923	0.9604407727095574
40	0.3	huber_radius	2500	499	0.8828	0.8695999137152404	0.8948254828118589
40	0.5	original_l2	2500	499	0.8556	0.8412758519683883	0.868833006456472
40	0.5	huber_radius	2500	499	0.798	0.781810027975353	0.8132755732918246
60	0.15	original_l2	2500	499	0.9972	0.9942313508234155	0.9986430147807479
60	0.15	huber_radius	2500	499	0.9784	0.9719247553225535	0.9834072971815332
60	0.3	original_l2	2500	499	0.9912	0.9867113768217652	0.9941813994951396
60	0.3	huber_radius	2500	499	0.97	0.962558352481513	0.9759994750204114
60	0.5	original_l2	2500	499	0.964	0.955956642062873	0.9706195961517928
60	0.5	huber_radius	2500	499	0.928	0.9171973157572115	0.9374893867339027
80	0.15	original_l2	2500	499	1.0	0.9984657739382173	0.9999999999999999
80	0.15	huber_radius	2500	499	0.9968	0.9936979744672946	0.9983776185177183
80	0.3	original_l2	2500	499	0.9996	0.9977376146310255	0.9999293866880412
80	0.3	huber_radius	2500	499	0.992	0.9876750907113474	0.9948152308438587
80	0.5	original_l2	2500	499	0.9908	0.9862322896591932	0.9938617140385612
80	0.5	huber_radius	2500	499	0.9784	0.9719247553225535	0.9834072971815332
