n	scenario	rule	repetitions	n_perm	rejection_rate	wilson_low	wilson_high
40	null_clean	primary_only	4000	999	0.0405	0.03481892923505156	0.04706279914818412
40	null_clean	cap6_only	4000	999	0.0405	0.03481892923505156	0.04706279914818412
40	null_clean	unadjusted_union	4000	999	0.0405	0.03481892923505156	0.04706279914818412
40	null_clean	bonferroni_union	4000	999	0.01725	0.013653684826334197	0.021772657669872596
40	null_clean	intersection	4000	999	0.0405	0.03481892923505156	0.04706279914818412
40	null_contam_p10	primary_only	4000	999	0.05075	0.04436880356817323	0.05799325622762358
40	null_contam_p10	cap6_only	4000	999	0.05025	0.043900980762031014	0.057462038477055485
40	null_contam_p10	unadjusted_union	4000	999	0.0545	0.04788310299269288	0.061971760978431156
40	null_contam_p10	bonferroni_union	4000	999	0.033	0.02789670409220661	0.0389994159403746
40	null_contam_p10	intersection	4000	999	0.0465	0.04039837476372546	0.053471840300033796
40	matched_p01_m8	primary_only	4000	999	1.0	0.9990405567102987	1.0000000000000002
40	matched_p01_m8	cap6_only	4000	999	0.99875	0.9970769950881988	0.9994659602303242
40	matched_p01_m8	unadjusted_union	4000	999	1.0	0.9990405567102987	1.0000000000000002
40	matched_p01_m8	bonferroni_union	4000	999	0.89175	0.8817430326588235	0.9010052435236956
40	matched_p01_m8	intersection	4000	999	0.99875	0.9970769950881988	0.9994659602303242
40	t2_matched	primary_only	4000	999	0.66	0.6451726129731241	0.6745203651741716
40	t2_matched	cap6_only	4000	999	0.8435	0.8319115429411618	0.8544293195188134
40	t2_matched	unadjusted_union	4000	999	0.86125	0.8501902267557552	0.8716165754674355
40	t2_matched	bonferroni_union	4000	999	0.73825	0.7244033314501834	0.7516394938222737
40	t2_matched	intersection	4000	999	0.64225	0.6272654535098039	0.656961584874276
40	bimodal_aligned	primary_only	4000	999	0.87775	0.8672345235858301	0.8875406170088005
40	bimodal_aligned	cap6_only	4000	999	0.87775	0.8672345235858301	0.8875406170088005
40	bimodal_aligned	unadjusted_union	4000	999	0.87775	0.8672345235858301	0.8875406170088005
40	bimodal_aligned	bonferroni_union	4000	999	0.872	0.8612885417636634	0.8819976324287987
40	bimodal_aligned	intersection	4000	999	0.87775	0.8672345235858301	0.8875406170088005
40	unmatched_masking	primary_only	4000	999	0.02425	0.01991994927386036	0.02949296101629061
40	unmatched_masking	cap6_only	4000	999	0.4255	0.41025675418912905	0.4408862028610366
40	unmatched_masking	unadjusted_union	4000	999	0.4255	0.41025675418912905	0.4408862028610366
40	unmatched_masking	bonferroni_union	4000	999	0.24075	0.22775343580185806	0.2542440355438522
40	unmatched_masking	intersection	4000	999	0.02425	0.01991994927386036	0.02949296101629061
80	null_clean	primary_only	4000	999	0.04875	0.04249862921703139	0.055867268351924224
80	null_clean	cap6_only	4000	999	0.04875	0.04249862921703139	0.055867268351924224
80	null_clean	unadjusted_union	4000	999	0.04875	0.04249862921703139	0.055867268351924224
80	null_clean	bonferroni_union	4000	999	0.0275	0.02286760929030635	0.03303906461846156
80	null_clean	intersection	4000	999	0.04875	0.04249862921703139	0.055867268351924224
80	null_contam_p10	primary_only	4000	999	0.0505	0.044134869278676186	0.05772767023876546
80	null_contam_p10	cap6_only	4000	999	0.051	0.044602783312247256	0.05825879676190469
80	null_contam_p10	unadjusted_union	4000	999	0.0595	0.05258309617469653	0.06726217336353049
80	null_contam_p10	bonferroni_union	4000	999	0.031	0.026062660646782747	0.03683729715895726
80	null_contam_p10	intersection	4000	999	0.042	0.03621068080665751	0.048668169246709074
80	matched_p01_m8	primary_only	4000	999	1.0	0.9990405567102987	1.0000000000000002
80	matched_p01_m8	cap6_only	4000	999	1.0	0.9990405567102987	1.0000000000000002
80	matched_p01_m8	unadjusted_union	4000	999	1.0	0.9990405567102987	1.0000000000000002
80	matched_p01_m8	bonferroni_union	4000	999	0.99975	0.9985851689339011	0.9999558674980424
80	matched_p01_m8	intersection	4000	999	1.0	0.9990405567102987	1.0000000000000002
80	t2_matched	primary_only	4000	999	0.78475	0.7717433252747742	0.7972102717717408
80	t2_matched	cap6_only	4000	999	0.98975	0.9861250712336779	0.9924351540640596
80	t2_matched	unadjusted_union	4000	999	0.99175	0.9884369429537413	0.9941194445708373
80	t2_matched	bonferroni_union	4000	999	0.97575	0.9705070389837095	0.9800800507261397
80	t2_matched	intersection	4000	999	0.78275	0.7697025965470522	0.7952548382726216
80	bimodal_aligned	primary_only	4000	999	0.91	0.9007334581999223	0.9184797983025225
80	bimodal_aligned	cap6_only	4000	999	0.91	0.9007334581999223	0.9184797983025225
80	bimodal_aligned	unadjusted_union	4000	999	0.91	0.9007334581999223	0.9184797983025225
80	bimodal_aligned	bonferroni_union	4000	999	0.9015	0.891876558737595	0.9103530083007747
80	bimodal_aligned	intersection	4000	999	0.91	0.9007334581999223	0.9184797983025225
80	unmatched_masking	primary_only	4000	999	0.075	0.06723906403948043	0.08357646275676583
80	unmatched_masking	cap6_only	4000	999	0.58325	0.5678986588154243	0.5984415938768405
80	unmatched_masking	unadjusted_union	4000	999	0.5835	0.5681497272810323	0.5986900456895876
80	unmatched_masking	bonferroni_union	4000	999	0.3995	0.3844247562801918	0.41476809182103835
80	unmatched_masking	intersection	4000	999	0.07475	0.06700178457513849	0.08331422194275263
