target_corr	kind	background	n	k_extremes	scenario	selected_magnitude	calibrated_mean_corr	calibrated_mean_norm	alpha	evaluation_repetitions	n_perm	reject_count	rejection_rate	wilson_low	wilson_high	mean_norm	mean_corr	mean_p	p05	p50	p95	mean_index_overlap
0.25	l2	normal	40	1	matched	2.5	0.2287	0.9384	0.05	220	399	72	0.3273	0.2687	0.3918	0.9376	0.2195	0.1499	0.0075	0.0938	0.5152	1.0
0.25	l2	normal	40	1	independent_null	2.5	0.2287	0.9384	0.05	220	399	13	0.0591	0.0349	0.0985	0.9199	0.0081	0.4921	0.0445	0.4925	0.9452	0.0409
0.25	l2	normal	40	2	matched	2.5	0.3039	0.9433	0.05	220	399	156	0.7091	0.6459	0.7651	0.9483	0.3556	0.0543	0.0025	0.02	0.2326	2.0
0.25	l2	normal	40	2	independent_null	2.5	0.3039	0.9433	0.05	220	399	13	0.0591	0.0349	0.0985	0.9199	0.0221	0.4552	0.0399	0.435	0.9476	0.1455
0.25	l2	normal	40	3	matched	2.0	0.2283	0.9451	0.05	220	399	82	0.3727	0.3115	0.4383	0.9452	0.2303	0.1514	0.0049	0.0875	0.4865	3.0
0.25	l2	normal	40	3	independent_null	2.0	0.2283	0.9451	0.05	220	399	9	0.0409	0.0217	0.0759	0.93	0.017	0.467	0.0549	0.4513	0.9426	0.2455
0.25	l2	normal	80	1	matched	3.5	0.2971	0.936	0.05	220	399	181	0.8227	0.7669	0.8675	0.9355	0.2909	0.0312	0.0025	0.0163	0.1135	1.0
0.25	l2	normal	80	1	independent_null	3.5	0.2971	0.936	0.05	220	399	15	0.0682	0.0418	0.1094	0.9069	-0.0089	0.5306	0.0324	0.545	0.9652	0.0227
0.25	l2	normal	80	2	matched	2.5	0.2059	0.9341	0.05	220	399	106	0.4818	0.4167	0.5476	0.9342	0.2008	0.0905	0.0025	0.0525	0.2954	2.0
0.25	l2	normal	80	2	independent_null	2.5	0.2059	0.9341	0.05	220	399	11	0.05	0.0281	0.0873	0.9162	-0.0023	0.5141	0.0496	0.5188	0.94	0.0545
0.25	l2	normal	80	3	matched	2.5	0.2809	0.9407	0.05	220	399	163	0.7409	0.6792	0.7943	0.9395	0.2681	0.0411	0.0025	0.0163	0.1659	3.0
0.25	l2	normal	80	3	independent_null	2.5	0.2809	0.9407	0.05	220	399	11	0.05	0.0281	0.0873	0.9162	-0.0021	0.5097	0.0496	0.5	0.9629	0.1
0.25	l2	normal	160	1	matched	4.0	0.2507	0.931	0.05	220	399	198	0.9	0.8532	0.933	0.9292	0.2252	0.0203	0.0025	0.01	0.075	1.0
0.25	l2	normal	160	1	independent_null	4.0	0.2507	0.931	0.05	220	399	18	0.0818	0.0524	0.1256	0.9089	0.0092	0.4779	0.0343	0.4663	0.945	0.0182
0.25	l2	normal	160	2	matched	3.0	0.2196	0.9321	0.05	220	399	176	0.8	0.7422	0.8475	0.9298	0.198	0.0369	0.0025	0.0125	0.1379	2.0
0.25	l2	normal	160	2	independent_null	3.0	0.2196	0.9321	0.05	220	399	9	0.0409	0.0217	0.0759	0.9131	0.0083	0.4689	0.0524	0.465	0.9026	0.0273
0.25	l2	normal	160	3	matched	3.0	0.2784	0.9354	0.05	220	399	217	0.9864	0.9607	0.9954	0.9348	0.2676	0.0078	0.0025	0.005	0.0251	3.0
0.25	l2	normal	160	3	independent_null	3.0	0.2784	0.9354	0.05	220	399	14	0.0636	0.0383	0.104	0.9107	0.0029	0.4953	0.0375	0.5137	0.9551	0.0727
0.25	l2	t3	40	1	matched	4.5	0.2346	0.9022	0.05	220	399	70	0.3182	0.2602	0.3824	0.9092	0.2689	0.1186	0.005	0.0775	0.39	1.0
0.25	l2	t3	40	1	independent_null	4.5	0.2346	0.9022	0.05	220	399	12	0.0545	0.0315	0.0929	0.8723	0.0046	0.4965	0.0471	0.4962	0.9529	0.0318
0.25	l2	t3	40	2	matched	4.0	0.2542	0.9128	0.05	220	399	89	0.4045	0.3419	0.4705	0.9133	0.2684	0.1297	0.0025	0.0688	0.441	2.0
0.25	l2	t3	40	2	independent_null	4.0	0.2542	0.9128	0.05	220	399	4	0.0182	0.0071	0.0458	0.8814	-0.0184	0.5289	0.075	0.5413	0.9601	0.0909
0.25	l2	t3	40	3	matched	3.5	0.2627	0.9211	0.05	220	399	83	0.3773	0.3158	0.4429	0.9222	0.2526	0.1389	0.0025	0.0963	0.4686	3.0
0.25	l2	t3	40	3	independent_null	3.5	0.2627	0.9211	0.05	220	399	14	0.0636	0.0383	0.104	0.8939	0.0067	0.4974	0.0323	0.4875	0.9475	0.2727
0.25	l2	t3	80	1	matched	6.0	0.2549	0.8919	0.05	220	399	117	0.5318	0.4659	0.5966	0.89	0.2403	0.0804	0.005	0.045	0.2877	1.0
0.25	l2	t3	80	1	independent_null	6.0	0.2549	0.8919	0.05	220	399	11	0.05	0.0281	0.0873	0.8561	0.0084	0.474	0.0499	0.4325	0.9427	0.0227
0.25	l2	t3	80	2	matched	5.0	0.2815	0.9001	0.05	220	399	121	0.55	0.484	0.6143	0.896	0.254	0.069	0.0025	0.0375	0.2229	2.0
0.25	l2	t3	80	2	independent_null	5.0	0.2815	0.9001	0.05	220	399	6	0.0273	0.0126	0.0582	0.8601	-0.0103	0.5284	0.0675	0.525	0.9651	0.0545
0.25	l2	t3	80	3	matched	4.5	0.2424	0.897	0.05	220	399	138	0.6273	0.5617	0.6885	0.9023	0.2615	0.0596	0.0025	0.0325	0.2102	3.0
0.25	l2	t3	80	3	independent_null	4.5	0.2424	0.897	0.05	220	399	10	0.0455	0.0249	0.0816	0.8683	-0.0003	0.5009	0.0624	0.4988	0.945	0.1182
0.25	l2	t3	160	1	matched	8.0	0.225	0.8733	0.05	220	399	172	0.7818	0.7227	0.8313	0.8772	0.2333	0.0349	0.0025	0.0225	0.1051	1.0
0.25	l2	t3	160	1	independent_null	8.0	0.225	0.8733	0.05	220	399	4	0.0182	0.0071	0.0458	0.8361	-0.0049	0.5072	0.065	0.5375	0.9301	0.0045
0.25	l2	t3	160	2	matched	7.0	0.296	0.8859	0.05	220	399	181	0.8227	0.7669	0.8675	0.8808	0.2667	0.0259	0.0025	0.01	0.1084	2.0
0.25	l2	t3	160	2	independent_null	7.0	0.296	0.8859	0.05	220	399	14	0.0636	0.0383	0.104	0.84	0.0046	0.4807	0.0299	0.4925	0.9404	0.05
0.25	l2	t3	160	3	matched	5.5	0.2505	0.8885	0.05	220	399	167	0.7591	0.6984	0.8108	0.8864	0.2347	0.0336	0.0025	0.0138	0.1206	3.0
0.25	l2	t3	160	3	independent_null	5.5	0.2505	0.8885	0.05	220	399	6	0.0273	0.0126	0.0582	0.8504	0.0008	0.489	0.0824	0.47	0.945	0.0545
0.25	l2	t2	40	1	matched	7.0	0.2869	0.8847	0.05	220	399	64	0.2909	0.2349	0.3541	0.8787	0.2502	0.1347	0.01	0.095	0.3754	1.0
0.25	l2	t2	40	1	independent_null	7.0	0.2869	0.8847	0.05	220	399	13	0.0591	0.0349	0.0985	0.8407	0.0086	0.488	0.0374	0.4975	0.9531	0.0227
0.25	l2	t2	40	2	matched	5.0	0.2518	0.8953	0.05	220	399	52	0.2364	0.185	0.2967	0.8873	0.1846	0.1893	0.005	0.14	0.5352	2.0
0.25	l2	t2	40	2	independent_null	5.0	0.2518	0.8953	0.05	220	399	12	0.0545	0.0315	0.0929	0.8587	0.0067	0.4994	0.042	0.4975	0.9476	0.1
0.25	l2	t2	40	3	matched	5.0	0.2677	0.9056	0.05	220	399	80	0.3636	0.3029	0.429	0.9002	0.2429	0.163	0.0025	0.0988	0.5255	3.0
0.25	l2	t2	40	3	independent_null	5.0	0.2677	0.9056	0.05	220	399	6	0.0273	0.0126	0.0582	0.8673	-0.0148	0.5244	0.075	0.54	0.9652	0.2182
0.25	l2	t2	80	1	matched	10.0	0.2952	0.8659	0.05	220	399	110	0.5	0.4345	0.5655	0.8568	0.2567	0.0721	0.005	0.0488	0.2275	1.0
0.25	l2	t2	80	1	independent_null	10.0	0.2952	0.8659	0.05	220	399	13	0.0591	0.0349	0.0985	0.8075	0.0071	0.472	0.0473	0.4912	0.8901	0.0136
0.25	l2	t2	80	2	matched	7.0	0.2205	0.8634	0.05	220	399	82	0.3727	0.3115	0.4383	0.8571	0.1903	0.1159	0.0025	0.0875	0.3529	2.0
0.25	l2	t2	80	2	independent_null	7.0	0.2205	0.8634	0.05	220	399	14	0.0636	0.0383	0.104	0.8273	0.0049	0.5056	0.04	0.4713	0.9632	0.0545
0.25	l2	t2	80	3	matched	7.0	0.2275	0.871	0.05	220	399	114	0.5182	0.4524	0.5833	0.8766	0.2631	0.0834	0.0025	0.0437	0.3131	3.0
0.25	l2	t2	80	3	independent_null	7.0	0.2275	0.871	0.05	220	399	8	0.0364	0.0185	0.0701	0.8325	0.0029	0.4772	0.0693	0.4688	0.93	0.1227
0.25	l2	t2	160	1	matched	10.0	0.1339	0.8245	0.05	220	399	71	0.3227	0.2644	0.3871	0.823	0.1278	0.1084	0.0148	0.0813	0.2915	1.0
0.25	l2	t2	160	1	independent_null	10.0	0.1339	0.8245	0.05	220	399	12	0.0545	0.0315	0.0929	0.7935	0.0017	0.4984	0.0475	0.4812	0.9526	0.0
0.25	l2	t2	160	2	matched	10.0	0.1996	0.8352	0.05	220	399	137	0.6227	0.5571	0.6842	0.8391	0.2116	0.0557	0.0025	0.0312	0.2025	2.0
0.25	l2	t2	160	2	independent_null	10.0	0.1996	0.8352	0.05	220	399	13	0.0591	0.0349	0.0985	0.7895	-0.0001	0.5046	0.0374	0.5162	0.9426	0.0273
0.25	l2	t2	160	3	matched	10.0	0.2847	0.8576	0.05	220	399	166	0.7545	0.6936	0.8067	0.8495	0.2593	0.0398	0.0025	0.02	0.1501	3.0
0.25	l2	t2	160	3	independent_null	10.0	0.2847	0.8576	0.05	220	399	9	0.0409	0.0217	0.0759	0.7956	-0.0024	0.4999	0.0674	0.5262	0.9001	0.0545
0.25	l2	lognormal	40	1	matched	3.0	0.2651	0.9076	0.05	220	399	47	0.2136	0.1646	0.2725	0.907	0.2413	0.1097	0.0125	0.1087	0.2229	1.0
0.25	l2	lognormal	40	1	independent_null	3.0	0.2651	0.9076	0.05	220	399	6	0.0273	0.0126	0.0582	0.8755	-0.0044	0.5065	0.0699	0.5012	0.963	0.0409
0.25	l2	lognormal	40	2	matched	2.5	0.2404	0.9175	0.05	220	399	62	0.2818	0.2265	0.3446	0.9218	0.2689	0.099	0.0025	0.095	0.21	2.0
0.25	l2	lognormal	40	2	independent_null	2.5	0.2404	0.9175	0.05	220	399	7	0.0318	0.0155	0.0642	0.8918	0.0064	0.4781	0.0775	0.4513	0.9386	0.1455
