kind	df_label	magnitude	fixed_k	fixed_proportion	fixed_k_power_n40	fixed_k_power_n80	fixed_k_power_n160	fixed_k_change_n40_to_n160	fixed_prop_power_n40	fixed_prop_power_n80	fixed_prop_power_n160	fixed_prop_change_n40_to_n160	design_gap_at_n160
l2	normal	6.0	2	0.05	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0
l2	t5	6.0	2	0.05	0.9933	1.0	0.9933	0.0	0.9933	1.0	1.0	0.0067	0.0067
l2	t4	6.0	2	0.05	0.9433	0.9733	0.9667	0.0234	0.9433	0.9867	1.0	0.0567	0.0333
l2	t3	6.0	2	0.05	0.8067	0.8133	0.7067	-0.1	0.8067	0.9333	0.9633	0.1566	0.2566
l2	t2.5	6.0	2	0.05	0.6867	0.5767	0.3767	-0.31	0.6867	0.76	0.8833	0.1966	0.5066
l2	t2.2	6.0	2	0.05	0.55	0.34	0.18	-0.37	0.55	0.5467	0.6833	0.1333	0.5033
l2	t2	6.0	2	0.05	0.3833	0.2633	0.1233	-0.26	0.3833	0.4467	0.47	0.0867	0.3467
l1	normal	6.0	2	0.05	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0
l1	t5	6.0	2	0.05	0.9833	1.0	1.0	0.0167	0.9833	1.0	1.0	0.0167	0.0
l1	t4	6.0	2	0.05	0.98	0.9733	0.96	-0.02	0.98	0.9933	1.0	0.02	0.04
l1	t3	6.0	2	0.05	0.8633	0.7733	0.6633	-0.2	0.8633	0.9067	0.9633	0.1	0.3
l1	t2.5	6.0	2	0.05	0.6833	0.5833	0.3567	-0.3266	0.6833	0.7533	0.89	0.2067	0.5333
l1	t2.2	6.0	2	0.05	0.5267	0.3667	0.1867	-0.34	0.5267	0.6467	0.7233	0.1966	0.5366
l1	t2	6.0	2	0.05	0.39	0.24	0.1267	-0.2633	0.39	0.4767	0.53	0.14	0.4033
