kind	n	background	k	magnitude_mad	overlap	overlap_fraction	binary_theory_correlation	repetitions	n_perm	mean_divergence_correlation	q025_divergence_correlation	q975_divergence_correlation	rejection_rate	wilson_low	wilson_high
l2	80	normal	4	8.0	0	0.0	-0.0526	1000	199	-0.0423	-0.1377	0.0858	0.0	0.0	0.0038
l2	80	normal	4	8.0	1	0.25	0.2105	1000	199	0.179	0.0873	0.2927	0.175	0.1527	0.1998
l2	80	normal	4	8.0	2	0.5	0.4737	1000	199	0.4041	0.3119	0.5066	1.0	0.9962	1.0
l2	80	normal	4	8.0	3	0.75	0.7368	1000	199	0.6276	0.5246	0.7136	1.0	0.9962	1.0
l2	80	normal	4	8.0	4	1.0	1.0	1000	199	0.8558	0.7585	0.9249	1.0	0.9962	1.0
l2	80	t3	4	8.0	0	0.0	-0.0526	1000	199	-0.0275	-0.1601	0.2013	0.016	0.0099	0.0258
l2	80	t3	4	8.0	1	0.25	0.2105	1000	199	0.1151	-0.0368	0.3747	0.129	0.1096	0.1512
l2	80	t3	4	8.0	2	0.5	0.4737	1000	199	0.2543	0.0513	0.4463	0.604	0.5733	0.6339
l2	80	t3	4	8.0	3	0.75	0.7368	1000	199	0.3928	0.1025	0.6329	0.842	0.8181	0.8633
l2	80	t3	4	8.0	4	1.0	1.0	1000	199	0.521	0.1408	0.7856	0.924	0.9059	0.9389
l2	80	t2	4	8.0	0	0.0	-0.0526	1000	199	-0.0159	-0.1441	0.2433	0.03	0.0211	0.0425
l2	80	t2	4	8.0	1	0.25	0.2105	1000	199	0.0568	-0.0667	0.2882	0.066	0.0522	0.0831
l2	80	t2	4	8.0	2	0.5	0.4737	1000	199	0.1367	-0.0431	0.4126	0.224	0.1992	0.2509
l2	80	t2	4	8.0	3	0.75	0.7368	1000	199	0.2112	-0.032	0.5388	0.433	0.4026	0.4639
l2	80	t2	4	8.0	4	1.0	1.0	1000	199	0.2766	-0.024	0.664	0.54	0.509	0.5707
l1	80	normal	4	8.0	0	0.0	-0.0526	1000	199	-0.0423	-0.1487	0.0872	0.0	0.0	0.0038
l1	80	normal	4	8.0	1	0.25	0.2105	1000	199	0.1764	0.081	0.305	0.194	0.1707	0.2197
l1	80	normal	4	8.0	2	0.5	0.4737	1000	199	0.3985	0.3044	0.5019	1.0	0.9962	1.0
l1	80	normal	4	8.0	3	0.75	0.7368	1000	199	0.6146	0.5096	0.7061	1.0	0.9962	1.0
l1	80	normal	4	8.0	4	1.0	1.0	1000	199	0.8387	0.7328	0.9116	1.0	0.9962	1.0
l1	80	t3	4	8.0	0	0.0	-0.0526	1000	199	-0.0311	-0.1764	0.2049	0.017	0.0106	0.0271
l1	80	t3	4	8.0	1	0.25	0.2105	1000	199	0.1078	-0.0354	0.331	0.117	0.0985	0.1384
l1	80	t3	4	8.0	2	0.5	0.4737	1000	199	0.2432	0.0358	0.4594	0.565	0.5341	0.5954
l1	80	t3	4	8.0	3	0.75	0.7368	1000	199	0.3853	0.1079	0.6226	0.853	0.8297	0.8736
l1	80	t3	4	8.0	4	1.0	1.0	1000	199	0.52	0.1535	0.76	0.937	0.9202	0.9505
l1	80	t2	4	8.0	0	0.0	-0.0526	1000	199	-0.0176	-0.1592	0.2649	0.038	0.0278	0.0517
l1	80	t2	4	8.0	1	0.25	0.2105	1000	199	0.0584	-0.0797	0.3119	0.071	0.0567	0.0886
l1	80	t2	4	8.0	2	0.5	0.4737	1000	199	0.1325	-0.0322	0.4006	0.201	0.1773	0.227
l1	80	t2	4	8.0	3	0.75	0.7368	1000	199	0.211	-0.0115	0.4935	0.422	0.3917	0.4529
l1	80	t2	4	8.0	4	1.0	1.0	1000	199	0.2902	0.0111	0.6362	0.586	0.5552	0.6161
