Large-scale multi-extreme simulation
background	n	k_extremes	alignment	magnitude	alpha	repetitions	n_perm	resolution_floor_approx	mean_raw	mean_corr	rejection_rate
normal	100	1	matched	8.0	0.05	80	499	0.01	115.7204	0.7675	1.0
normal	100	1	mismatched	8.0	0.05	80	499	0.01	99.8339	-0.0085	0.0375
normal	100	2	matched	8.0	0.05	80	499	0.00020202	120.8907	0.8695	1.0
normal	100	2	mismatched	8.0	0.05	80	499	0.00020202	99.7515	-0.0102	0.0125
normal	100	3	matched	8.0	0.05	80	499	6.18e-06	123.4905	0.9168	1.0
normal	100	3	mismatched	8.0	0.05	80	499	6.18e-06	99.4525	-0.0214	0.0
normal	250	1	matched	8.0	0.05	80	499	0.004	270.0573	0.538	1.0
normal	250	1	mismatched	8.0	0.05	80	499	0.004	250.0231	0.0009	0.0875
normal	250	2	matched	8.0	0.05	80	499	3.213e-05	282.9546	0.7066	1.0
normal	250	2	mismatched	8.0	0.05	80	499	3.213e-05	249.4661	-0.0113	0.0125
normal	250	3	matched	8.0	0.05	80	499	3.9e-07	292.1049	0.7931	1.0
normal	250	3	mismatched	8.0	0.05	80	499	3.9e-07	249.5154	-0.0093	0.0375
normal	500	1	matched	8.0	0.05	80	499	0.002	522.0772	0.3605	1.0
normal	500	1	mismatched	8.0	0.05	80	499	0.002	499.4732	-0.0088	0.025
normal	500	2	matched	8.0	0.05	80	499	8.02e-06	540.0123	0.5386	1.0
normal	500	2	mismatched	8.0	0.05	80	499	8.02e-06	499.531	-0.0062	0.0375
normal	500	3	matched	8.0	0.05	80	499	5e-08	554.4703	0.6422	1.0
normal	500	3	mismatched	8.0	0.05	80	499	5e-08	499.5413	-0.0055	0.0375
t3	100	1	matched	8.0	0.05	80	499	0.01	106.4645	0.3338	0.85
t3	100	1	mismatched	8.0	0.05	80	499	0.01	99.7282	-0.0124	0.05
t3	100	2	matched	8.0	0.05	80	499	0.00020202	109.898	0.4718	0.9625
t3	100	2	mismatched	8.0	0.05	80	499	0.00020202	100.0191	0.0016	0.05
t3	100	3	matched	8.0	0.05	80	499	6.18e-06	112.0309	0.5684	0.975
t3	100	3	mismatched	8.0	0.05	80	499	6.18e-06	99.6096	-0.0174	0.0
t3	250	1	matched	8.0	0.05	80	499	0.004	257.6644	0.1608	0.6875
t3	250	1	mismatched	8.0	0.05	80	499	0.004	250.2683	0.0058	0.0625
t3	250	2	matched	8.0	0.05	80	499	3.213e-05	262.5624	0.2413	0.925
t3	250	2	mismatched	8.0	0.05	80	499	3.213e-05	249.5933	-0.0069	0.0
t3	250	3	matched	8.0	0.05	80	499	3.9e-07	267.2466	0.3214	0.9625
t3	250	3	mismatched	8.0	0.05	80	499	3.9e-07	250.1781	0.0011	0.0625
t3	500	1	matched	8.0	0.05	80	499	0.002	507.5035	0.0759	0.425
t3	500	1	mismatched	8.0	0.05	80	499	0.002	499.7805	-0.0022	0.0625
t3	500	2	matched	8.0	0.05	80	499	8.02e-06	515.0424	0.1479	0.9
t3	500	2	mismatched	8.0	0.05	80	499	8.02e-06	499.8762	-0.0015	0.0
t3	500	3	matched	8.0	0.05	80	499	5e-08	521.002	0.2018	0.975
t3	500	3	mismatched	8.0	0.05	80	499	5e-08	500.6935	0.0045	0.05
lognormal	100	1	matched	8.0	0.05	80	499	0.01	116.3001	0.6239	1.0
lognormal	100	1	mismatched	8.0	0.05	80	499	0.01	99.9355	-0.0023	0.05
lognormal	100	2	matched	8.0	0.05	80	499	0.00020202	122.1909	0.781	1.0
lognormal	100	2	mismatched	8.0	0.05	80	499	0.00020202	99.5991	-0.0147	0.0
lognormal	100	3	matched	8.0	0.05	80	499	6.18e-06	123.9575	0.8471	1.0
lognormal	100	3	mismatched	8.0	0.05	80	499	6.18e-06	99.2159	-0.0275	0.0
lognormal	250	1	matched	8.0	0.05	80	499	0.004	272.4769	0.3673	1.0
lognormal	250	1	mismatched	8.0	0.05	80	499	0.004	250.5961	0.01	0.0375
lognormal	250	2	matched	8.0	0.05	80	499	3.213e-05	286.1462	0.5368	1.0
lognormal	250	2	mismatched	8.0	0.05	80	499	3.213e-05	249.7346	-0.0039	0.0375
lognormal	250	3	matched	8.0	0.05	80	499	3.9e-07	295.1175	0.6428	1.0
lognormal	250	3	mismatched	8.0	0.05	80	499	3.9e-07	249.113	-0.0128	0.0125
lognormal	500	1	matched	8.0	0.05	80	499	0.002	525.0475	0.211	1.0
lognormal	500	1	mismatched	8.0	0.05	80	499	0.002	500.3411	0.0029	0.05
lognormal	500	2	matched	8.0	0.05	80	499	8.02e-06	544.7828	0.3514	1.0
lognormal	500	2	mismatched	8.0	0.05	80	499	8.02e-06	499.6636	-0.0024	0.0625
lognormal	500	3	matched	8.0	0.05	80	499	5e-08	560.463	0.4478	1.0
lognormal	500	3	mismatched	8.0	0.05	80	499	5e-08	499.2617	-0.0056	0.0375
