n	latent_correlation	contamination_fraction	method	repetitions	n_perm	rejection_rate	wilson_low	wilson_high	mean_cdelta_minus_one	mean_profile_correlation
20	0.0	0.0	original_l2	1200	499	0.055	0.043463582072856735	0.06937640846357733	0.0005753404842880894	0.006244217915887833
20	0.0	0.0	huber_primary	1200	499	0.050833333333333335	0.0397759124281339	0.0647573364466563	0.003265298633942759	0.006291062389610805
20	0.0	0.0	huber_cap6	1200	499	0.050833333333333335	0.0397759124281339	0.0647573364466563	0.003197230046236399	0.006065773941054655
20	0.0	0.05	original_l2	1200	499	0.049166666666666664	0.03830703804746354	0.06290351416266911	-0.0009516560456559464	-0.0027605274659680944
20	0.0	0.05	huber_primary	1200	499	0.045	0.034651851044372725	0.058251959504116047	-0.007941943697888365	-0.00203589987525337
20	0.0	0.05	huber_cap6	1200	499	0.0475	0.03684195434139706	0.06104590120407803	0.003664435284347123	0.0015533628336471803
20	0.1	0.0	original_l2	1200	499	0.06583333333333333	0.053141695581076766	0.08129582327563135	0.002983015748815543	0.05944755693855946
20	0.1	0.0	huber_primary	1200	499	0.07333333333333333	0.059906321808916176	0.08948333203875095	0.017535396647113233	0.0606261658610367
20	0.1	0.0	huber_cap6	1200	499	0.0725	0.05915239693022244	0.0885759085851159	0.01721838505153972	0.06018658973334368
20	0.1	0.05	original_l2	1200	499	0.0475	0.03684195434139706	0.06104590120407803	0.00010509279063874999	0.0004257919935126727
20	0.1	0.05	huber_primary	1200	499	0.05	0.039041012521836546	0.06383088802062488	-0.00028293913156063333	0.0004787481427723117
20	0.1	0.05	huber_cap6	1200	499	0.05	0.039041012521836546	0.06383088802062488	0.007194139871893768	0.004477914278174447
20	0.2	0.0	original_l2	1200	499	0.14166666666666666	0.12307880679953022	0.16254141029909644	0.007180976468903033	0.1424751140485896
20	0.2	0.0	huber_primary	1200	499	0.1525	0.13327057182576088	0.1739471735931399	0.03937615233792413	0.13942983185903246
20	0.2	0.0	huber_cap6	1200	499	0.15166666666666667	0.13248529214456123	0.17307110494201078	0.03923098216234666	0.1393498692365997
20	0.2	0.05	original_l2	1200	499	0.056666666666666664	0.044944448197728686	0.07121823900336294	0.003528685180994362	0.010152510415824606
20	0.2	0.05	huber_primary	1200	499	0.0575	0.04568605530313232	0.07213798023028808	0.049055044572972495	0.010816190680387628
20	0.2	0.05	huber_cap6	1200	499	0.0575	0.04568605530313232	0.07213798023028808	0.02618643043558988	0.018660198726956772
20	0.3	0.0	original_l2	1200	499	0.2025	0.1807286742040306	0.2261699711545967	0.01089074523697442	0.2132203444404813
20	0.3	0.0	huber_primary	1200	499	0.22583333333333333	0.2030722849940353	0.2503441136697977	0.06030064018459114	0.20876430257466985
20	0.3	0.0	huber_cap6	1200	499	0.22666666666666666	0.2038722790059714	0.2512054679901903	0.06013164692863815	0.2086956111735959
20	0.3	0.05	original_l2	1200	499	0.04583333333333333	0.035380848837991884	0.05918431004282566	2.224439598297323e-06	-0.00021279248124610759
