background	kind	n	k_extremes	scenario	target_reference	target_corr	selected_magnitude	calibrated_mean_corr	calibrated_mean_norm	alpha	calibration_repetitions	evaluation_repetitions	n_perm	reject_count	rejection_rate	wilson_low	wilson_high	mean_raw	mean_norm	mean_corr	mean_p	p05	p50	p95	mean_index_overlap
normal	l2	40	1	matched	explicit target_corr=0.35	0.35	3.0	0.3594	0.9443	0.05	180	500	499	319	0.638	0.595	0.6789	41.3903	0.9429	0.3459	0.057	0.004	0.034	0.2001	1.0
normal	l2	40	1	negative_control	explicit target_corr=0.35	0.35	3.0	0.3594	0.9443	0.05	180	500	499	21	0.042	0.0276	0.0634	39.9472	0.9099	-0.0132	0.5232	0.068	0.533	0.9541	0.0
normal	l2	40	1	independent_null	explicit target_corr=0.35	0.35	3.0	0.3594	0.9443	0.05	180	500	499	26	0.052	0.0357	0.0751	40.0067	0.9118	0.0009	0.5028	0.048	0.525	0.9382	0.024
normal	l2	40	2	matched	explicit target_corr=0.35	0.35	2.5	0.3314	0.9464	0.05	180	500	499	339	0.678	0.6358	0.7175	41.2549	0.9476	0.3433	0.056	0.002	0.024	0.226	2.0
normal	l2	40	2	negative_control	explicit target_corr=0.35	0.35	2.5	0.3314	0.9464	0.05	180	500	499	12	0.024	0.0138	0.0415	39.918	0.9164	-0.0223	0.5371	0.0719	0.547	0.9542	0.0
normal	l2	40	2	independent_null	explicit target_corr=0.35	0.35	2.5	0.3314	0.9464	0.05	180	500	499	21	0.042	0.0276	0.0634	40.0208	0.9185	0.0059	0.4885	0.056	0.456	0.948	0.136
normal	l2	40	3	matched	explicit target_corr=0.35	0.35	2.5	0.3825	0.9518	0.05	180	500	499	398	0.796	0.7585	0.829	41.4168	0.9527	0.3923	0.0317	0.002	0.014	0.1242	3.0
normal	l2	40	3	negative_control	explicit target_corr=0.35	0.35	2.5	0.3825	0.9518	0.05	180	500	499	11	0.022	0.0123	0.039	39.8932	0.9177	-0.0291	0.5519	0.0998	0.582	0.9501	0.0
normal	l2	40	3	independent_null	explicit target_corr=0.35	0.35	2.5	0.3825	0.9518	0.05	180	500	499	21	0.042	0.0276	0.0634	39.9755	0.9199	-0.0065	0.513	0.0619	0.52	0.946	0.204
t3	l2	40	1	matched	explicit target_corr=0.35	0.35	5.5	0.3534	0.9112	0.05	180	500	499	272	0.544	0.5002	0.5872	42.3356	0.9122	0.3593	0.0742	0.004	0.041	0.2421	1.0
t3	l2	40	1	negative_control	explicit target_corr=0.35	0.35	5.5	0.3534	0.9112	0.05	180	500	499	17	0.034	0.0213	0.0538	39.9316	0.8589	-0.0102	0.5127	0.0719	0.503	0.956	0.0
t3	l2	40	1	independent_null	explicit target_corr=0.35	0.35	5.5	0.3534	0.9112	0.05	180	500	499	27	0.054	0.0374	0.0774	40.0975	0.8653	0.0139	0.4762	0.0395	0.467	0.9381	0.024
t3	l2	40	2	matched	explicit target_corr=0.35	0.35	4.5	0.3648	0.9233	0.05	180	500	499	282	0.564	0.5202	0.6068	42.0363	0.9196	0.347	0.0772	0.002	0.038	0.2643	2.0
t3	l2	40	2	negative_control	explicit target_corr=0.35	0.35	4.5	0.3648	0.9233	0.05	180	500	499	14	0.028	0.0168	0.0464	39.897	0.8746	-0.0192	0.5336	0.0739	0.538	0.9421	0.0
t3	l2	40	2	independent_null	explicit target_corr=0.35	0.35	4.5	0.3648	0.9233	0.05	180	500	499	32	0.064	0.0457	0.089	40.081	0.8786	0.0133	0.4822	0.032	0.464	0.936	0.14
t3	l2	40	3	matched	explicit target_corr=0.35	0.35	4.0	0.3062	0.922	0.05	180	500	499	286	0.572	0.5282	0.6147	41.7696	0.9277	0.3424	0.0836	0.002	0.034	0.3227	3.0
t3	l2	40	3	negative_control	explicit target_corr=0.35	0.35	4.0	0.3062	0.922	0.05	180	500	499	13	0.026	0.0153	0.044	39.7756	0.8841	-0.0421	0.5791	0.1	0.608	0.968	0.0
t3	l2	40	3	independent_null	explicit target_corr=0.35	0.35	4.0	0.3062	0.922	0.05	180	500	499	13	0.026	0.0153	0.044	40.0123	0.8888	0.0031	0.4863	0.0699	0.46	0.936	0.23
lognormal	l2	40	1	matched	explicit target_corr=0.35	0.35	3.5	0.3347	0.9152	0.05	180	500	499	198	0.396	0.3541	0.4395	42.0777	0.9144	0.3372	0.0647	0.006	0.06	0.136	1.0
lognormal	l2	40	1	negative_control	explicit target_corr=0.35	0.35	3.5	0.3347	0.9152	0.05	180	500	499	26	0.052	0.0357	0.0751	39.9434	0.8696	-0.0077	0.5223	0.0459	0.531	0.9662	0.0
lognormal	l2	40	1	independent_null	explicit target_corr=0.35	0.35	3.5	0.3347	0.9152	0.05	180	500	499	23	0.046	0.0308	0.0681	39.9797	0.8689	-0.0022	0.5059	0.0539	0.505	0.948	0.024
lognormal	l2	40	2	matched	explicit target_corr=0.35	0.35	3.0	0.3791	0.9303	0.05	180	500	499	334	0.668	0.6256	0.7079	42.0264	0.9317	0.3871	0.0394	0.002	0.032	0.11	2.0
lognormal	l2	40	2	negative_control	explicit target_corr=0.35	0.35	3.0	0.3791	0.9303	0.05	180	500	499	18	0.036	0.0229	0.0562	39.885	0.8827	-0.022	0.5396	0.0678	0.554	0.952	0.0
lognormal	l2	40	2	independent_null	explicit target_corr=0.35	0.35	3.0	0.3791	0.9303	0.05	180	500	499	19	0.038	0.0245	0.0586	40.0436	0.886	0.0093	0.4826	0.0599	0.467	0.958	0.136
lognormal	l2	40	3	matched	explicit target_corr=0.35	0.35	2.5	0.3404	0.9356	0.05	180	500	499	226	0.452	0.4089	0.4958	41.435	0.9341	0.3197	0.0658	0.002	0.058	0.1661	3.0
lognormal	l2	40	3	negative_control	explicit target_corr=0.35	0.35	2.5	0.3404	0.9356	0.05	180	500	499	15	0.03	0.0183	0.0489	39.8991	0.9015	-0.0229	0.5465	0.07	0.585	0.946	0.0
