background	kind	n	k_extremes	scenario	target_reference	target_corr	selected_magnitude	calibrated_mean_corr	calibrated_mean_norm	alpha	calibration_repetitions	evaluation_repetitions	n_perm	reject_count	rejection_rate	wilson_low	wilson_high	mean_raw	mean_norm	mean_corr	mean_p	p05	p50	p95	mean_index_overlap
normal	l1	40	1	matched	explicit target_corr=0.35	0.35	3.0	0.3593	0.9183	0.05	180	500	499	321	0.642	0.599	0.6828	42.1798	0.9182	0.3561	0.0554	0.004	0.034	0.1885	1.0
normal	l1	40	1	negative_control	explicit target_corr=0.35	0.35	3.0	0.3593	0.9183	0.05	180	500	499	17	0.034	0.0213	0.0538	39.9721	0.8699	-0.005	0.5066	0.0659	0.52	0.948	0.0
normal	l1	40	1	independent_null	explicit target_corr=0.35	0.35	3.0	0.3593	0.9183	0.05	180	500	499	21	0.042	0.0276	0.0634	39.993	0.8703	0.0003	0.4978	0.06	0.515	0.9401	0.02
normal	l1	40	2	matched	explicit target_corr=0.35	0.35	2.5	0.3561	0.925	0.05	180	500	499	339	0.678	0.6358	0.7175	41.9256	0.9269	0.3573	0.0544	0.002	0.02	0.2302	2.0
normal	l1	40	2	negative_control	explicit target_corr=0.35	0.35	2.5	0.3561	0.925	0.05	180	500	499	18	0.036	0.0229	0.0562	39.9641	0.8842	-0.0096	0.5201	0.064	0.558	0.9541	0.0
normal	l1	40	2	independent_null	explicit target_corr=0.35	0.35	2.5	0.3561	0.925	0.05	180	500	499	19	0.038	0.0245	0.0586	40.0055	0.8839	0.001	0.496	0.072	0.475	0.9464	0.1
normal	l1	40	3	matched	explicit target_corr=0.35	0.35	2.5	0.4214	0.9379	0.05	180	500	499	421	0.842	0.8074	0.8713	42.1809	0.9367	0.4181	0.0275	0.002	0.008	0.11	3.0
normal	l1	40	3	negative_control	explicit target_corr=0.35	0.35	2.5	0.4214	0.9379	0.05	180	500	499	11	0.022	0.0123	0.039	39.8019	0.8835	-0.0344	0.5617	0.09	0.575	0.9641	0.0
normal	l1	40	3	independent_null	explicit target_corr=0.35	0.35	2.5	0.4214	0.9379	0.05	180	500	499	27	0.054	0.0374	0.0774	40.0235	0.8901	0.0034	0.4938	0.046	0.497	0.944	0.218
t3	l1	40	1	matched	explicit target_corr=0.35	0.35	5.5	0.3628	0.851	0.05	180	500	499	297	0.594	0.5504	0.6362	44.6852	0.8526	0.3769	0.0649	0.004	0.038	0.222	1.0
t3	l1	40	1	negative_control	explicit target_corr=0.35	0.35	5.5	0.3628	0.851	0.05	180	500	499	25	0.05	0.0341	0.0728	40.0611	0.7595	0.0024	0.4963	0.0499	0.491	0.9361	0.0
t3	l1	40	1	independent_null	explicit target_corr=0.35	0.35	5.5	0.3628	0.851	0.05	180	500	499	22	0.044	0.0292	0.0657	40.0662	0.7659	0.0052	0.4829	0.0578	0.471	0.946	0.022
t3	l1	40	2	matched	explicit target_corr=0.35	0.35	4.5	0.3677	0.8665	0.05	180	500	499	283	0.566	0.5222	0.6088	43.7501	0.8625	0.3492	0.0752	0.002	0.037	0.2701	2.0
t3	l1	40	2	negative_control	explicit target_corr=0.35	0.35	4.5	0.3677	0.8665	0.05	180	500	499	15	0.03	0.0183	0.0489	39.696	0.7824	-0.0249	0.542	0.0894	0.544	0.9641	0.0
t3	l1	40	2	independent_null	explicit target_corr=0.35	0.35	4.5	0.3677	0.8665	0.05	180	500	499	28	0.056	0.039	0.0797	39.9839	0.7871	-0.0005	0.5023	0.0479	0.495	0.938	0.124
