design	scenario	n	repetitions	median_minimum_mad_iqr_ratio	q01_minimum_mad_iqr_ratio	q05_minimum_mad_iqr_ratio	q10_minimum_mad_iqr_ratio	ratio_below_0p25_rate	ratio_below_0p4_rate	ratio_below_0p5_rate	ratio_below_0p6_rate
bridge	sigma_0.1_bridge_0.05	80	2000	0.23264285054184597	0.11048816724476711	0.1345380293761474	0.15179444379480056	0.5775	0.8125	0.862	0.9035
bridge	sigma_0.1_bridge_0.1	80	2000	0.2965428027036139	0.13085960730463983	0.15681282651163686	0.17491776255703353	0.369	0.6355	0.7385	0.8335
bridge	sigma_0.1_bridge_0.2	80	2000	0.4812395350715312	0.1572951241562684	0.19818237682239584	0.22678575832532702	0.141	0.3795	0.5355	0.701
bridge	sigma_0.1_bridge_0.05	320	2000	0.3275995117965478	0.1759886761168154	0.20774417398079692	0.22658149617309623	0.1895	0.6225	0.7135	0.7965
bridge	sigma_0.1_bridge_0.1	320	2000	0.5328163827324088	0.2112814055067314	0.24535316874347948	0.2708459250400058	0.06	0.3195	0.454	0.605
bridge	sigma_0.1_bridge_0.2	320	2000	0.6547315504187488	0.2928263152014546	0.4012501357015333	0.45884678566298054	0.0015	0.049	0.1515	0.3475
external	independent_affine_near_constant	80	2000	0.7336104098044159	0.6130145281016924	0.6643720859016078	0.6837697317585743	0.0	0.0	0.0	0.006
external	independent_strong_skew	80	2000	0.5501554089742509	0.377792160268492	0.42466406826540537	0.45293657511854946	0.0	0.028	0.2535	0.741
external	independent_t5	80	2000	0.7350646432153528	0.6277067532288121	0.6606298028865661	0.6801274030899456	0.0	0.0	0.0	0.0015
external	profile_null_t5_sign_link	80	2000	0.7386185522599469	0.6206652755990061	0.6623206198444584	0.680057900450069	0.0	0.0	0.0005	0.0045
external	independent_affine_near_constant	320	2000	0.7373945492371659	0.6930243278145695	0.7108788439564541	0.7181991344904617	0.0	0.0	0.0	0.0
external	independent_strong_skew	320	2000	0.5696644658271635	0.4752761575826271	0.5028138762064264	0.518980378849709	0.0	0.0	0.044	0.786
external	independent_t5	320	2000	0.7372552203480326	0.6927130833016942	0.7098233801821812	0.7168389839754995	0.0	0.0	0.0	0.0
external	profile_null_t5_sign_link	320	2000	0.7468273264985773	0.6935642152801398	0.7087798033203805	0.7179346411830791	0.0	0.0	0.0	0.0
sigma	sigma_0.1	80	2000	0.20203421478862732	0.09837951723571935	0.12451523532648286	0.13693014962486186	0.74	0.9085	0.9085	0.9085
sigma	sigma_0.2	80	2000	0.4055366623661957	0.19963971924299476	0.24637866145528395	0.2720897756817195	0.0605	0.4835	0.7425	0.8745
sigma	sigma_0.4	80	2000	0.7358566314690479	0.39002354699536607	0.4915329441961234	0.5472306372751704	0.0005	0.014	0.058	0.1555
sigma	sigma_0.1	320	2000	0.25788721531517067	0.16430086808186273	0.18204505624245135	0.19310123149744443	0.444	0.9605	0.965	0.965
sigma	sigma_0.2	320	2000	0.5170854252130538	0.3347054345529611	0.36974148794317285	0.3952762511639466	0.0	0.1125	0.4415	0.727
sigma	sigma_0.4	320	2000	0.7818881473782957	0.6612865363982527	0.7278714242407466	0.7399609169241432	0.0	0.0	0.0	0.002
