phase	configuration	node_strength	dyad_strength	center_weight	method	half_width	repetitions	n_perm	mean_statistic_at_center	statistic_slope	statistic_slope_se	power_minus	power_center	power_plus	power_slope	power_slope_se	probit_power_slope
combined	default	0.55	0.7	0.216	profile	0.025	1600	199	0.37046265140036555	-0.731012145765159	0.012930809096364482	0.40125	0.36875	0.33625	-1.3	0.13305944351940435	-1.3019778467285028
combined	default	0.55	0.7	0.216	mantel	0.025	1600	199	0.19980620238084487	-0.1917891705623067	0.008811920240005723	0.37875	0.354375	0.34	-0.775	0.11294947040287609	-0.7716335246677664
combined	default	0.55	0.7	0.216	profile_minus_mantel	0.025	1600	199	0.1706564490195207	-0.5392229752028525	0.008977637733594352	0.0225	0.014375	-0.00375	-0.525	0.16346080270591873	nan
combined	default	0.55	0.7	0.216	profile	0.05	1600	199	0.37046265140036555	-0.7376709448670985	0.012658774056916167	0.450625	0.36875	0.318125	-1.325	0.09101050046283979	-1.3157554168652736
combined	default	0.55	0.7	0.216	mantel	0.05	1600	199	0.19980620238084487	-0.19110809176980686	0.008786984083044402	0.408125	0.354375	0.329375	-0.7875	0.0795934154853144	-0.7786033611557108
combined	default	0.55	0.7	0.216	profile_minus_mantel	0.05	1600	199	0.1706564490195207	-0.5465628530972916	0.008568268376933932	0.0425	0.014375	-0.01125	-0.5375	0.10299181115252706	nan
combined	weak_both	0.35	0.3	0.225	profile	0.025	1600	199	0.29194389957722017	-0.5827711579714646	0.012847424737168647	0.2075	0.186875	0.17	-0.75	0.11713032141645456	-0.7469276334544849
combined	weak_both	0.35	0.3	0.225	mantel	0.025	1600	199	0.15563563060113544	-0.18961817911439957	0.007271025978975358	0.22125	0.2025	0.19	-0.625	0.09393547943367976	-0.6200573166754174
combined	weak_both	0.35	0.3	0.225	profile_minus_mantel	0.025	1600	199	0.1363082689760847	-0.393152978857065	0.00864782027498767	-0.01375	-0.015625	-0.02	-0.125	0.13807479777683254	nan
combined	weak_both	0.35	0.3	0.225	profile	0.05	1600	199	0.29194389957722017	-0.5872190586450097	0.01262080391979003	0.234375	0.186875	0.16	-0.74375	0.07660860271336085	-0.7250784843731314
combined	weak_both	0.35	0.3	0.225	mantel	0.05	1600	199	0.15563563060113544	-0.18914641932216006	0.007252260428764888	0.239375	0.2025	0.174375	-0.65	0.068839663799804	-0.645065560520344
combined	weak_both	0.35	0.3	0.225	profile_minus_mantel	0.05	1600	199	0.1363082689760847	-0.3980726393228496	0.008322399173256917	-0.005	-0.015625	-0.014375	-0.09375	0.08546203359052715	nan
combined	strong_node_low_dyad	0.65	0.3	0.362	profile	0.025	1600	199	0.29168814316549146	-0.529918014301083	0.010289252434947294	0.2375	0.208125	0.181875	-1.1125	0.11865502192339891	-1.1116154288072313
combined	strong_node_low_dyad	0.65	0.3	0.362	mantel	0.025	1600	199	0.16749485490010899	-0.23087821756344235	0.005872094092363717	0.239375	0.219375	0.201875	-0.75	0.10138965634624056	-0.7486519531138777
combined	strong_node_low_dyad	0.65	0.3	0.362	profile_minus_mantel	0.025	1600	199	0.12419328826538246	-0.2990397967376406	0.007216175006919606	-0.001875	-0.01125	-0.02	-0.3625	0.14061998375460177	nan
combined	strong_node_low_dyad	0.65	0.3	0.362	profile	0.05	1600	199	0.29168814316549146	-0.5339272620546848	0.010041309265990003	0.26125	0.208125	0.164375	-0.96875	0.07758077328615189	-0.9665185919710272
combined	strong_node_low_dyad	0.65	0.3	0.362	mantel	0.05	1600	199	0.16749485490010899	-0.23102807903816877	0.005850874712520883	0.25375	0.219375	0.19	-0.6375	0.06776884593269542	-0.6360376195842957
combined	strong_node_low_dyad	0.65	0.3	0.362	profile_minus_mantel	0.05	1600	199	0.12419328826538246	-0.3028991830165161	0.006863481611267308	0.0075	-0.01125	-0.025625	-0.33125	0.08869061203899997	nan
combined	balanced_strong	0.65	0.65	0.258	profile	0.025	1600	199	0.3691621509933165	-0.6869666398222886	0.011423704596206683	0.3975	0.369375	0.34375	-1.075	0.12211492295786633	-1.0749256851510727
combined	balanced_strong	0.65	0.65	0.258	mantel	0.025	1600	199	0.20994491157122502	-0.19266523798964497	0.007663180421049719	0.39375	0.37625	0.36125	-0.65	0.09870170346258728	-0.6495659122343419
combined	balanced_strong	0.65	0.65	0.258	profile_minus_mantel	0.025	1600	199	0.1592172394220915	-0.49430140183264354	0.0083455335786173	0.00375	-0.006875	-0.0175	-0.425	0.1465026408118742	nan
combined	balanced_strong	0.65	0.65	0.258	profile	0.05	1600	199	0.3691621509933165	-0.6921712969155009	0.011111645047310343	0.44	0.369375	0.31375	-1.2625	0.08896631650332675	-1.2614404509611106
combined	balanced_strong	0.65	0.65	0.258	mantel	0.05	1600	199	0.20994491157122502	-0.19268747919032023	0.0076436505571137615	0.423125	0.37625	0.34875	-0.74375	0.0745398053059364	-0.7394140862934745
combined	balanced_strong	0.65	0.65	0.258	profile_minus_mantel	0.05	1600	199	0.1592172394220915	-0.4994838177251807	0.00786999342624573	0.016875	-0.006875	-0.035	-0.51875	0.09819636246795863	nan
