phase	configuration	node_strength	dyad_strength	center_weight	method	half_width	repetitions	n_perm	mean_statistic_at_center	statistic_slope	statistic_slope_se	power_minus	power_center	power_plus	power_slope	power_slope_se	probit_power_slope
slope_seed1	default	0.55	0.7	0.216	profile	0.025	800	199	0.37355025407960485	-0.7118282565282867	0.017987476654288414	0.41	0.38	0.3475	-1.25	0.1819017187772497	-1.2529431389461645
slope_seed1	default	0.55	0.7	0.216	mantel	0.025	800	199	0.20269013135878694	-0.181233283201665	0.012214647001150675	0.38625	0.35875	0.345	-0.825	0.16525239542209647	-0.8201906505935458
slope_seed1	default	0.55	0.7	0.216	profile_minus_mantel	0.025	800	199	0.17086012272081796	-0.5305949733266218	0.012562737624257391	0.02375	0.02125	0.0025	-0.425	0.22463814596095644	nan
slope_seed1	default	0.55	0.7	0.216	profile	0.05	800	199	0.37355025407960485	-0.718857337689995	0.017581994577012962	0.46125	0.38	0.32875	-1.325	0.12629491976500107	-1.3177275797859918
slope_seed1	default	0.55	0.7	0.216	mantel	0.05	800	199	0.20269013135878694	-0.1808307166465184	0.012185293580433496	0.41125	0.35875	0.335	-0.7625	0.1135037270646738	-0.754125767405767
slope_seed1	default	0.55	0.7	0.216	profile_minus_mantel	0.05	800	199	0.17086012272081796	-0.5380266210434765	0.011954410244048978	0.05	0.02125	-0.00625	-0.5625	0.14611615105627224	nan
slope_seed1	weak_both	0.35	0.3	0.225	profile	0.025	800	199	0.2909595102083323	-0.5768536133104384	0.017964402874337964	0.21	0.18875	0.17125	-0.775	0.17294972755204155	-0.7719629806093092
slope_seed1	weak_both	0.35	0.3	0.225	mantel	0.025	800	199	0.15696994771453432	-0.18502448458427445	0.010094172756871316	0.23125	0.215	0.195	-0.725	0.14139646371086306	-0.729779462628017
slope_seed1	weak_both	0.35	0.3	0.225	profile_minus_mantel	0.025	800	199	0.1339895624937979	-0.391829128726164	0.012291493821841758	-0.02125	-0.02625	-0.02375	-0.05	0.21225737087168894	nan
slope_seed1	weak_both	0.35	0.3	0.225	profile	0.05	800	199	0.2909595102083323	-0.5806368903348031	0.017607631978148037	0.23125	0.18875	0.1625	-0.6875	0.1084787501612444	-0.6743071296616905
slope_seed1	weak_both	0.35	0.3	0.225	mantel	0.05	800	199	0.15696994771453432	-0.18468455742064127	0.010065141922794561	0.245	0.215	0.18	-0.65	0.09411666926901348	-0.657592382734592
slope_seed1	weak_both	0.35	0.3	0.225	profile_minus_mantel	0.05	800	199	0.1339895624937979	-0.39595233291416193	0.011786920579529113	-0.01375	-0.02625	-0.0175	-0.0375	0.1193096210269188	nan
slope_seed1	strong_node_low_dyad	0.65	0.3	0.362	profile	0.025	800	199	0.2872549802386812	-0.5348359404088394	0.014750621141213643	0.22625	0.20375	0.18125	-0.9	0.15088392043822466	-0.9022627707426868
slope_seed1	strong_node_low_dyad	0.65	0.3	0.362	mantel	0.025	800	199	0.16386721990232003	-0.23714722951608247	0.008581163494114806	0.23	0.21	0.19	-0.8	0.1515873457919734	-0.8014845712803855
slope_seed1	strong_node_low_dyad	0.65	0.3	0.362	profile_minus_mantel	0.025	800	199	0.12338776033636119	-0.2976887108927569	0.010262909810144051	-0.00375	-0.00625	-0.00875	-0.1	0.18716647432536954	nan
slope_seed1	strong_node_low_dyad	0.65	0.3	0.362	profile	0.05	800	199	0.2872549802386812	-0.5386217356135902	0.014387153365061899	0.2475	0.20375	0.16	-0.875	0.103047281272832	-0.8834764014358527
slope_seed1	strong_node_low_dyad	0.65	0.3	0.362	mantel	0.05	800	199	0.16386721990232003	-0.2375022310875341	0.00853848411833009	0.25	0.21	0.1775	-0.725	0.0983237163226114	-0.7217848659613513
slope_seed1	strong_node_low_dyad	0.65	0.3	0.362	profile_minus_mantel	0.05	800	199	0.12338776033636119	-0.3011195045260562	0.009697871624724025	-0.0025	-0.00625	-0.0175	-0.15	0.1237073335759671	nan
slope_seed1	balanced_strong	0.65	0.65	0.258	profile	0.025	800	199	0.3680029418029519	-0.7045590736763958	0.01611054113425546	0.40625	0.38375	0.35125	-1.1	0.17255352328479845	-1.1055181505429352
slope_seed1	balanced_strong	0.65	0.65	0.258	mantel	0.025	800	199	0.20790957189580234	-0.2095646075854789	0.010913211892044515	0.395	0.37375	0.3625	-0.65	0.13507287237289298	-0.6475402426644469
slope_seed1	balanced_strong	0.65	0.65	0.258	profile_minus_mantel	0.025	800	199	0.16009336990714956	-0.49499446609091685	0.011981003105963882	0.01125	0.01	-0.01125	-0.45	0.1994909039930642	nan
slope_seed1	balanced_strong	0.65	0.65	0.258	profile	0.05	800	199	0.3680029418029519	-0.7107487785589158	0.01563183862172366	0.44125	0.38375	0.3125	-1.2875	0.12365594679987582	-1.3021267206107197
slope_seed1	balanced_strong	0.65	0.65	0.258	mantel	0.05	800	199	0.20790957189580234	-0.2097329549565822	0.010891284482437404	0.42	0.37375	0.34375	-0.7625	0.10638909947974057	-0.7589404943881065
slope_seed1	balanced_strong	0.65	0.65	0.258	profile_minus_mantel	0.05	800	199	0.16009336990714956	-0.5010158236023338	0.011269998340590393	0.02125	0.01	-0.03125	-0.525	0.1345942542108809	nan
