Multi-extreme power simulation
n	k_extremes	alignment	magnitude	background	alpha	repetitions	n_perm	resolution_floor_approx	mean_raw	mean_corr	rejection_rate	mean_raw_change
15	1	matched	4.0	normal	0.05	100	199	0.066667	16.5882	0.7551	0.57	2.6117
15	1	mismatched	4.0	normal	0.05	100	199	0.066667	14.9352	-0.031	0.0	1.88
15	1	matched	6.0	normal	0.05	100	199	0.066667	17.7447	0.9117	0.72	3.7304
15	1	mismatched	6.0	normal	0.05	100	199	0.066667	14.8119	-0.0636	0.01	1.8252
15	1	matched	8.0	normal	0.05	100	199	0.066667	18.4549	0.9578	0.58	4.4272
15	1	mismatched	8.0	normal	0.05	100	199	0.066667	14.7099	-0.0826	0.01	1.6575
15	1	matched	10.0	normal	0.05	100	199	0.066667	18.9019	0.9746	0.66	4.8881
15	1	mismatched	10.0	normal	0.05	100	199	0.066667	14.7229	-0.0706	0.0	1.7683
15	2	matched	4.0	normal	0.05	100	199	0.009524	16.3591	0.7989	0.97	3.365
15	2	mismatched	4.0	normal	0.05	100	199	0.009524	14.8412	-0.0935	0.0	3.9063
15	2	matched	6.0	normal	0.05	100	199	0.009524	16.9634	0.9161	1.0	3.9531
15	2	mismatched	6.0	normal	0.05	100	199	0.009524	14.7059	-0.1362	0.0	3.7191
15	2	matched	8.0	normal	0.05	100	199	0.009524	17.2845	0.9551	1.0	4.2915
15	2	mismatched	8.0	normal	0.05	100	199	0.009524	14.6382	-0.1516	0.0	3.5936
15	2	matched	10.0	normal	0.05	100	199	0.009524	17.4713	0.9717	1.0	4.4961
15	2	mismatched	10.0	normal	0.05	100	199	0.009524	14.6496	-0.1378	0.0	3.6685
15	3	matched	4.0	normal	0.05	100	199	0.002198	15.9173	0.7556	0.96	3.9173
15	3	mismatched	4.0	normal	0.05	100	199	0.002198	14.7747	-0.1884	0.0	5.7438
15	3	matched	6.0	normal	0.05	100	199	0.002198	16.2511	0.8889	1.0	4.2407
15	3	mismatched	6.0	normal	0.05	100	199	0.002198	14.7033	-0.2072	0.0	5.6937
15	3	matched	8.0	normal	0.05	100	199	0.002198	16.4145	0.9337	1.0	4.4353
15	3	mismatched	8.0	normal	0.05	100	199	0.002198	14.6376	-0.2393	0.0	5.6824
15	3	matched	10.0	normal	0.05	100	199	0.002198	16.4881	0.9532	1.0	4.5024
15	3	mismatched	10.0	normal	0.05	100	199	0.002198	14.6251	-0.2396	0.0	5.6271
20	1	matched	4.0	normal	0.05	100	199	0.05	21.9762	0.7162	0.78	2.9386
20	1	mismatched	4.0	normal	0.05	100	199	0.05	19.8888	-0.0384	0.03	1.9383
20	1	matched	6.0	normal	0.05	100	199	0.05	23.6756	0.8874	0.75	4.7323
20	1	mismatched	6.0	normal	0.05	100	199	0.05	19.7927	-0.0501	0.0	1.8337
20	1	matched	8.0	normal	0.05	100	199	0.05	24.8338	0.948	0.86	5.8155
20	1	mismatched	8.0	normal	0.05	100	199	0.05	19.7718	-0.0443	0.0	1.7625
20	1	matched	10.0	normal	0.05	100	199	0.05	25.628	0.9696	0.8	6.6858
20	1	mismatched	10.0	normal	0.05	100	199	0.05	19.7546	-0.0419	0.01	1.7896
20	2	matched	4.0	normal	0.05	100	199	0.005263	22.025	0.7963	1.0	4.0506
20	2	mismatched	4.0	normal	0.05	100	199	0.005263	19.7497	-0.1018	0.0	3.7012
20	2	matched	6.0	normal	0.05	100	199	0.005263	23.1455	0.9169	1.0	5.182
20	2	mismatched	6.0	normal	0.05	100	199	0.005263	19.6173	-0.1129	0.0	3.6561
20	2	matched	8.0	normal	0.05	100	199	0.005263	23.7518	0.9565	1.0	5.6853
20	2	mismatched	8.0	normal	0.05	100	199	0.005263	19.567	-0.1104	0.0	3.5773
20	2	matched	10.0	normal	0.05	100	199	0.005263	24.1305	0.9726	1.0	6.1427
20	2	mismatched	10.0	normal	0.05	100	199	0.005263	19.5169	-0.1137	0.0	3.538
20	3	matched	4.0	normal	0.05	100	199	0.000877	21.5951	0.7775	1.0	4.567
20	3	mismatched	4.0	normal	0.05	100	199	0.000877	19.7427	-0.1263	0.0	5.6987
20	3	matched	6.0	normal	0.05	100	199	0.000877	22.3478	0.9081	1.0	5.4827
20	3	mismatched	6.0	normal	0.05	100	199	0.000877	19.52	-0.1852	0.0	5.4853
20	3	matched	8.0	normal	0.05	100	199	0.000877	22.7287	0.9522	1.0	5.7428
