n	dimension	scenario	method	repetitions	n_perm	rejection_rate	wilson_low	wilson_high
40	1	null_normal	original_multivariate_l2	1500	499	0.048666666666666664	0.03888362661591451	0.06075550618083598
40	1	null_normal	coordinate_huber	1500	499	0.046	0.03650872245690122	0.05781070063702358
40	1	null_normal	spatial_median_radius	1500	499	0.048666666666666664	0.03888362661591451	0.06075550618083598
40	1	matched_radial	original_multivariate_l2	1500	499	1.0	0.9974455692798185	1.0
40	1	matched_radial	coordinate_huber	1500	499	1.0	0.9974455692798185	1.0
40	1	matched_radial	spatial_median_radius	1500	499	1.0	0.9974455692798185	1.0
40	1	diffuse_radial	original_multivariate_l2	1500	499	1.0	0.9974455692798185	1.0
40	1	diffuse_radial	coordinate_huber	1500	499	0.996	0.9913004908913017	0.9981655138342782
40	1	diffuse_radial	spatial_median_radius	1500	499	0.8633333333333333	0.8450197171772774	0.879790729832724
40	1	t3_matched	original_multivariate_l2	1500	499	0.8933333333333333	0.8766947051717873	0.9079624759950033
40	1	t3_matched	coordinate_huber	1500	499	0.9006666666666666	0.8844912025113151	0.914795180338246
40	1	t3_matched	spatial_median_radius	1500	499	0.9006666666666666	0.8844912025113151	0.914795180338246
40	1	unmatched_masking	original_multivariate_l2	1500	499	0.0	0.0	0.002554430720181488
40	1	unmatched_masking	coordinate_huber	1500	499	0.0026666666666666666	0.0010374882451031462	0.006836652177904041
40	1	unmatched_masking	spatial_median_radius	1500	499	0.0033333333333333335	0.0014246155236142537	0.00777945232509936
40	2	null_normal	original_multivariate_l2	1500	499	0.04733333333333333	0.03769502441859292	0.059284253526744726
40	2	null_normal	coordinate_huber	1500	499	0.054	0.04365935933562643	0.06661919286677545
40	2	null_normal	spatial_median_radius	1500	499	0.04733333333333333	0.03769502441859292	0.059284253526744726
40	2	matched_radial	original_multivariate_l2	1500	499	1.0	0.9974455692798185	1.0
40	2	matched_radial	coordinate_huber	1500	499	1.0	0.9974455692798185	1.0
40	2	matched_radial	spatial_median_radius	1500	499	1.0	0.9974455692798185	1.0
40	2	diffuse_radial	original_multivariate_l2	1500	499	1.0	0.9974455692798185	1.0
40	2	diffuse_radial	coordinate_huber	1500	499	1.0	0.9974455692798185	1.0
