phase	dyadic_weight	node_weight	method	n	n_blocks	rooms_per_block	repetitions	n_perm	rejection_rate	wilson_low	wilson_high	mean_statistic	median_p_value	maximum_huber_cdelta_pearson_p_difference
coarse	0.0	1.0	original_l2_cdelta	48	4	12	500	199	0.77	0.7311377813252322	0.8047450748255296	1.0471313417628973	0.005	0.0
coarse	0.0	1.0	huber_cdelta_star	48	4	12	500	199	0.862	0.8289979864047199	0.8894819911011163	1.2463572608465354	0.005	0.0
coarse	0.0	1.0	huber_profile_pearson	48	4	12	500	199	0.862	0.8289979864047199	0.8894819911011163	0.6729554560927732	0.005	0.0
coarse	0.0	1.0	huber_cap6_cdelta_star	48	4	12	500	199	0.862	0.8289979864047199	0.8894819911011163	1.2463572608465354	0.005	0.0
coarse	0.0	1.0	mantel	48	4	12	500	199	0.706	0.6646172591655972	0.7442415125642432	0.2695689177659292	0.015	0.0
coarse	0.1	0.9	original_l2_cdelta	48	4	12	500	199	0.516	0.4722414643366831	0.5595145567685472	1.0425916557939099	0.045	0.0
coarse	0.1	0.9	huber_cdelta_star	48	4	12	500	199	0.598	0.5544343695956807	0.640071259673855	1.244482360475672	0.025	0.0
coarse	0.1	0.9	huber_profile_pearson	48	4	12	500	199	0.598	0.5544343695956807	0.640071259673855	0.4950152738881349	0.025	0.0
coarse	0.1	0.9	huber_cap6_cdelta_star	48	4	12	500	199	0.598	0.5544343695956807	0.640071259673855	1.244482360475672	0.025	0.0
coarse	0.1	0.9	mantel	48	4	12	500	199	0.5	0.4563412653024843	0.5436587346975157	0.24327670092342982	0.0475	0.0
coarse	0.2	0.8	original_l2_cdelta	48	4	12	500	199	0.334	0.29406381245587715	0.3764674685773583	1.0357778050655257	0.125	0.0
coarse	0.2	0.8	huber_cdelta_star	48	4	12	500	199	0.382	0.3404646252341933	0.4253347191147331	1.2122387946598028	0.10250000000000001	0.0
coarse	0.2	0.8	huber_profile_pearson	48	4	12	500	199	0.382	0.3404646252341933	0.4253347191147331	0.3781159993595204	0.10250000000000001	0.0
coarse	0.2	0.8	huber_cap6_cdelta_star	48	4	12	500	199	0.382	0.3404646252341933	0.4253347191147331	1.2122387946598028	0.10250000000000001	0.0
coarse	0.2	0.8	mantel	48	4	12	500	199	0.362	0.32107604417818575	0.40502827378920275	0.20373027965226118	0.115	0.0
coarse	0.30000000000000004	0.7	original_l2_cdelta	48	4	12	500	199	0.254	0.21782025491518664	0.2939309205918972	1.0321673074722317	0.195	0.0
