phase	dyadic_weight	node_weight	profile_method	repetitions	n_perm	profile_power	mantel_power	power_difference	paired_standard_error	paired_ci_low	paired_ci_high	profile_only_rejections	mantel_only_rejections	both_reject	neither_reject
coarse	0.0	1.0	original_l2_cdelta	500	199	0.77	0.706	0.064	0.01575768413246175	0.03311493910037497	0.09488506089962503	48	16	337	99
coarse	0.0	1.0	huber_cdelta_star	500	199	0.862	0.706	0.156	0.01766216022483137	0.12138216595933052	0.19061783404066948	84	6	347	63
coarse	0.0	1.0	huber_cap6_cdelta_star	500	199	0.862	0.706	0.156	0.01766216022483137	0.12138216595933052	0.19061783404066948	84	6	347	63
coarse	0.1	0.9	original_l2_cdelta	500	199	0.516	0.5	0.016	0.015490898484973151	-0.014362161030547375	0.046362161030547376	34	26	224	216
coarse	0.1	0.9	huber_cdelta_star	500	199	0.598	0.5	0.098	0.018801569030163195	0.06114892470088014	0.13485107529911988	71	22	228	179
coarse	0.1	0.9	huber_cap6_cdelta_star	500	199	0.598	0.5	0.098	0.018801569030163195	0.06114892470088014	0.13485107529911988	71	22	228	179
coarse	0.2	0.8	original_l2_cdelta	500	199	0.334	0.362	-0.028	0.013813530586150268	-0.055074519948854525	-0.0009254800511454761	17	31	150	302
coarse	0.2	0.8	huber_cdelta_star	500	199	0.382	0.362	0.02	0.01672601324398842	-0.012782985958217304	0.0527829859582173	40	30	151	279
coarse	0.2	0.8	huber_cap6_cdelta_star	500	199	0.382	0.362	0.02	0.01672601324398842	-0.012782985958217304	0.0527829859582173	40	30	151	279
coarse	0.30000000000000004	0.7	original_l2_cdelta	500	199	0.254	0.312	-0.058	0.014341665410037526	-0.08610966420367355	-0.029890335796326453	12	41	115	332
coarse	0.30000000000000004	0.7	huber_cdelta_star	500	199	0.27	0.312	-0.042	0.01552269009597342	-0.07242447258810791	-0.011575527411892099	20	41	115	324
coarse	0.30000000000000004	0.7	huber_cap6_cdelta_star	500	199	0.27	0.312	-0.042	0.01552269009597342	-0.07242447258810791	-0.011575527411892099	20	41	115	324
coarse	0.4	0.6	original_l2_cdelta	500	199	0.206	0.294	-0.088	0.013597123354851718	-0.11465036177550936	-0.06134963822449063	3	47	100	350
coarse	0.4	0.6	huber_cdelta_star	500	199	0.214	0.294	-0.08	0.01508825074755992	-0.10957297146521744	-0.050427028534782564	10	50	97	343
coarse	0.4	0.6	huber_cap6_cdelta_star	500	199	0.214	0.294	-0.08	0.01508825074755992	-0.10957297146521744	-0.050427028534782564	10	50	97	343
coarse	0.5	0.5	original_l2_cdelta	500	199	0.23	0.362	-0.132	0.01567301140729331	-0.1627191023582949	-0.10128089764170511	2	68	113	317
coarse	0.5	0.5	huber_cdelta_star	500	199	0.234	0.362	-0.128	0.01719952462408741	-0.16171106826321133	-0.09428893173678868	9	73	108	310
coarse	0.5	0.5	huber_cap6_cdelta_star	500	199	0.234	0.362	-0.128	0.01719952462408741	-0.16171106826321133	-0.09428893173678868	9	73	108	310
coarse	0.6000000000000001	0.3999999999999999	original_l2_cdelta	500	199	0.262	0.4	-0.138	0.015950574964037085	-0.1692631269295127	-0.10673687307048732	2	71	129	298
coarse	0.6000000000000001	0.3999999999999999	huber_cdelta_star	500	199	0.26	0.4	-0.14	0.01628897361169958	-0.1719263882789312	-0.10807361172106883	3	73	127	297
coarse	0.6000000000000001	0.3999999999999999	huber_cap6_cdelta_star	500	199	0.262	0.4	-0.138	0.016445452435601252	-0.17023308677377846	-0.10576691322622156	4	73	127	296
coarse	0.7000000000000001	0.29999999999999993	original_l2_cdelta	500	199	0.294	0.572	-0.278	0.020055833888070872	-0.31730943442061893	-0.23869056557938112	0	139	147	214
coarse	0.7000000000000001	0.29999999999999993	huber_cdelta_star	500	199	0.31	0.572	-0.262	0.020087783304191434	-0.30137205527621524	-0.2226279447237848	2	133	153	212
coarse	0.7000000000000001	0.29999999999999993	huber_cap6_cdelta_star	500	199	0.31	0.572	-0.262	0.020087783304191434	-0.30137205527621524	-0.2226279447237848	2	133	153	212
coarse	0.8	0.19999999999999996	original_l2_cdelta	500	199	0.366	0.732	-0.366	0.021564276850201687	-0.4082659826263953	-0.3237340173736047	0	183	183	134
coarse	0.8	0.19999999999999996	huber_cdelta_star	500	199	0.4	0.732	-0.332	0.0210817665712228	-0.3733202624795967	-0.2906797375204033	0	166	200	134
coarse	0.8	0.19999999999999996	huber_cap6_cdelta_star	500	199	0.4	0.732	-0.332	0.0210817665712228	-0.3733202624795967	-0.2906797375204033	0	166	200	134
coarse	0.9	0.09999999999999998	original_l2_cdelta	500	199	0.512	0.856	-0.344	0.021265758037978793	-0.38568088575443843	-0.3023191142455615	0	172	256	72
coarse	0.9	0.09999999999999998	huber_cdelta_star	500	199	0.574	0.856	-0.282	0.020143572847290726	-0.3214814027806898	-0.24251859721931016	0	141	287	72
coarse	0.9	0.09999999999999998	huber_cap6_cdelta_star	500	199	0.572	0.856	-0.284	0.020186703693570774	-0.3235659392393987	-0.24443406076060126	0	142	286	72
coarse	1.0	0.0	original_l2_cdelta	500	199	0.682	0.956	-0.274	0.019966103540279518	-0.3131335629389479	-0.23486643706105217	0	137	341	22
coarse	1.0	0.0	huber_cdelta_star	500	199	0.75	0.956	-0.206	0.018104794037333553	-0.24148539631317376	-0.17051460368682622	0	103	375	22
coarse	1.0	0.0	huber_cap6_cdelta_star	500	199	0.75	0.956	-0.206	0.018104794037333553	-0.24148539631317376	-0.17051460368682622	0	103	375	22
