phase	dyadic_weight	node_weight	profile_method	repetitions	n_perm	profile_power	mantel_power	power_difference	paired_standard_error	paired_ci_low	paired_ci_high	profile_only_rejections	mantel_only_rejections	both_reject	neither_reject
combined	0.1	0.9	huber_cap6_cdelta_star	2400	399	0.5941666666666666	0.5195833333333333	0.07458333333333333	0.007748136693867358	0.059396985413353316	0.08976968125331336	269	90	1157	884
combined	0.1	0.9	huber_cdelta_star	2400	399	0.5941666666666666	0.5195833333333333	0.07458333333333333	0.007748136693867358	0.059396985413353316	0.08976968125331336	269	90	1157	884
combined	0.1	0.9	original_l2_cdelta	2400	399	0.52	0.5195833333333333	0.0004166666666666667	0.006809802977004134	-0.012930547168261437	0.013763880501594768	134	133	1114	1019
combined	0.125	0.875	huber_cap6_cdelta_star	2400	399	0.5375	0.46958333333333335	0.06791666666666667	0.007592804810598853	0.053034769237892916	0.08279856409544042	253	90	1037	1020
combined	0.125	0.875	huber_cdelta_star	2400	399	0.5375	0.46958333333333335	0.06791666666666667	0.007592804810598853	0.053034769237892916	0.08279856409544042	253	90	1037	1020
combined	0.125	0.875	original_l2_cdelta	2400	399	0.48041666666666666	0.46958333333333335	0.010833333333333334	0.006233472427170994	-0.0013842726239218141	0.023050939290588483	125	99	1028	1148
combined	0.15	0.85	huber_cap6_cdelta_star	2400	399	0.4741666666666667	0.41625	0.057916666666666665	0.007489392982638215	0.04323745642069576	0.07259587691263757	235	96	903	1166
combined	0.15	0.85	huber_cdelta_star	2400	399	0.4741666666666667	0.41625	0.057916666666666665	0.007489392982638215	0.04323745642069576	0.07259587691263757	235	96	903	1166
combined	0.15	0.85	original_l2_cdelta	2400	399	0.40458333333333335	0.41625	-0.011666666666666667	0.006063345693015231	-0.02355082422497652	0.00021749089164318537	92	120	879	1309
combined	0.175	0.825	huber_cap6_cdelta_star	2400	399	0.4395833333333333	0.39125	0.04833333333333333	0.0077115540196266135	0.03321868745486517	0.0634479792118015	232	116	823	1229
combined	0.175	0.825	huber_cdelta_star	2400	399	0.4395833333333333	0.39125	0.04833333333333333	0.0077115540196266135	0.03321868745486517	0.0634479792118015	232	116	823	1229
combined	0.175	0.825	original_l2_cdelta	2400	399	0.38416666666666666	0.39125	-0.007083333333333333	0.006249629464260576	-0.019332607083284062	0.005165940416617395	104	121	818	1357
combined	0.2	0.8	huber_cap6_cdelta_star	2400	399	0.3858333333333333	0.37333333333333335	0.0125	0.0075203512500042384	-0.0022398884500083056	0.027239888450008305	178	148	748	1326
combined	0.2	0.8	huber_cdelta_star	2400	399	0.3858333333333333	0.37333333333333335	0.0125	0.0075203512500042384	-0.0022398884500083056	0.027239888450008305	178	148	748	1326
combined	0.2	0.8	original_l2_cdelta	2400	399	0.34708333333333335	0.37333333333333335	-0.02625	0.006338850180137153	-0.03867414635306882	-0.01382585364693118	85	148	748	1419
combined	0.225	0.775	huber_cap6_cdelta_star	2400	399	0.36083333333333334	0.36833333333333335	-0.0075	0.007070883590316814	-0.021358931837020954	0.006358931837020954	135	153	731	1381
combined	0.225	0.775	huber_cdelta_star	2400	399	0.36083333333333334	0.36833333333333335	-0.0075	0.007070883590316814	-0.021358931837020954	0.006358931837020954	135	153	731	1381
combined	0.225	0.775	original_l2_cdelta	2400	399	0.3325	0.36833333333333335	-0.035833333333333335	0.006194341349850215	-0.04797424237903976	-0.023692424287626912	69	155	729	1447
combined	0.25	0.75	huber_cap6_cdelta_star	2400	399	0.32708333333333334	0.33458333333333334	-0.0075	0.007119840494331415	-0.02145488736888957	0.006454887368889573	137	155	648	1460
combined	0.25	0.75	huber_cdelta_star	2400	399	0.32666666666666666	0.33458333333333334	-0.007916666666666667	0.007107444517207939	-0.021847257920394228	0.006013924587060893	136	155	648	1461
combined	0.25	0.75	original_l2_cdelta	2400	399	0.30291666666666667	0.33458333333333334	-0.03166666666666667	0.00628722530074336	-0.04398962825612365	-0.019343705077209686	77	153	650	1520
combined	0.275	0.725	huber_cap6_cdelta_star	2400	399	0.29333333333333333	0.3254166666666667	-0.03208333333333333	0.006726788570708369	-0.04526783893192173	-0.01889882773474493	93	170	611	1526
combined	0.275	0.725	huber_cdelta_star	2400	399	0.29333333333333333	0.3254166666666667	-0.03208333333333333	0.006726788570708369	-0.04526783893192173	-0.01889882773474493	93	170	611	1526
combined	0.275	0.725	original_l2_cdelta	2400	399	0.27541666666666664	0.3254166666666667	-0.05	0.005923180125907542	-0.06160943304677879	-0.03839056695322122	44	164	617	1575
combined	0.3	0.7	huber_cap6_cdelta_star	2400	399	0.29	0.33	-0.04	0.006799087794048527	-0.05332621207633512	-0.02667378792366489	87	183	609	1521
combined	0.3	0.7	huber_cdelta_star	2400	399	0.29	0.33	-0.04	0.006799087794048527	-0.05332621207633512	-0.02667378792366489	87	183	609	1521
combined	0.3	0.7	original_l2_cdelta	2400	399	0.26958333333333334	0.33	-0.06041666666666667	0.006128396460741482	-0.07242832372971997	-0.048405009603613366	40	185	607	1568
combined	0.325	0.675	huber_cap6_cdelta_star	2400	399	0.27666666666666667	0.32916666666666666	-0.0525	0.0071626457759407635	-0.0665387857208439	-0.0384612142791561	88	214	576	1522
combined	0.325	0.675	huber_cdelta_star	2400	399	0.27666666666666667	0.32916666666666666	-0.0525	0.0071626457759407635	-0.0665387857208439	-0.0384612142791561	88	214	576	1522
combined	0.325	0.675	original_l2_cdelta	2400	399	0.26958333333333334	0.32916666666666666	-0.059583333333333335	0.006074882163312593	-0.07149010237342601	-0.04767656429324065	39	182	608	1571
combined	0.35	0.65	huber_cap6_cdelta_star	2400	399	0.26416666666666666	0.3225	-0.058333333333333334	0.006560834977491139	-0.07119256988921596	-0.0454740967774507	58	198	576	1568
combined	0.35	0.65	huber_cdelta_star	2400	399	0.26416666666666666	0.3225	-0.058333333333333334	0.006560834977491139	-0.07119256988921596	-0.0454740967774507	58	198	576	1568
combined	0.35	0.65	original_l2_cdelta	2400	399	0.25	0.3225	-0.0725	0.006030482177905913	-0.08431974506869558	-0.060680254931304405	24	198	576	1602
combined	0.375	0.625	huber_cap6_cdelta_star	2400	399	0.2579166666666667	0.31958333333333333	-0.06166666666666667	0.006909483112374004	-0.07520925356691971	-0.04812407976641362	68	216	551	1565
combined	0.375	0.625	huber_cdelta_star	2400	399	0.2579166666666667	0.31958333333333333	-0.06166666666666667	0.006909483112374004	-0.07520925356691971	-0.04812407976641362	68	216	551	1565
combined	0.375	0.625	original_l2_cdelta	2400	399	0.2525	0.31958333333333333	-0.06708333333333333	0.006099420372658758	-0.07903819726374449	-0.05512846940292216	32	193	574	1601
combined	0.4	0.6	huber_cap6_cdelta_star	2400	399	0.23708333333333334	0.31708333333333333	-0.08	0.007226077856966553	-0.09416311259965444	-0.06583688740034556	62	254	507	1577
combined	0.4	0.6	huber_cdelta_star	2400	399	0.2375	0.31708333333333333	-0.07958333333333334	0.007240000114829408	-0.09377373355839898	-0.0653929331082677	63	254	507	1576
combined	0.4	0.6	original_l2_cdelta	2400	399	0.2275	0.31708333333333333	-0.08958333333333333	0.006398755427812827	-0.10212489397184647	-0.0770417726948202	20	235	526	1619
