phase	dyadic_weight	node_weight	method	n	n_blocks	rooms_per_block	repetitions	n_perm	rejection_rate	wilson_low	wilson_high	mean_statistic	median_p_value	maximum_huber_cdelta_pearson_p_difference
refined	0.1	0.9	original_l2_cdelta	48	4	12	1200	399	0.5183333333333333	0.4900492928233482	0.5465003704878848	1.04251068470769	0.0425	0.0
refined	0.1	0.9	huber_cdelta_star	48	4	12	1200	399	0.585	0.5568940970006494	0.6125634328968855	1.2423499792878352	0.025	0.0
refined	0.1	0.9	huber_profile_pearson	48	4	12	1200	399	0.585	0.5568940970006494	0.6125634328968855	0.495776191192114	0.025	0.0
refined	0.1	0.9	huber_cap6_cdelta_star	48	4	12	1200	399	0.585	0.5568940970006494	0.6125634328968855	1.2423499792878352	0.025	0.0
refined	0.1	0.9	mantel	48	4	12	1200	399	0.5125	0.48422444094293804	0.5406957840419936	0.23935569184775338	0.04375	0.0
refined	0.125	0.875	original_l2_cdelta	48	4	12	1200	399	0.4725	0.4443858969573734	0.5007896080757769	1.0403246241235942	0.0575	0.0
refined	0.125	0.875	huber_cdelta_star	48	4	12	1200	399	0.5266666666666666	0.4983771723206485	0.5547859743138721	1.2329192582410595	0.0425	0.0
refined	0.125	0.875	huber_profile_pearson	48	4	12	1200	399	0.5266666666666666	0.4983771723206485	0.5547859743138721	0.4566649956846041	0.0425	0.0
refined	0.125	0.875	huber_cap6_cdelta_star	48	4	12	1200	399	0.5266666666666666	0.4983771723206485	0.5547859743138721	1.2329192582410595	0.0425	0.0
refined	0.125	0.875	mantel	48	4	12	1200	399	0.4625	0.4344544867694592	0.4907848382757458	0.22670343480658559	0.06125	0.0
refined	0.15	0.85	original_l2_cdelta	48	4	12	1200	399	0.42083333333333334	0.39319662265354866	0.44897528577521767	1.0390218606616362	0.08	0.0
refined	0.15	0.85	huber_cdelta_star	48	4	12	1200	399	0.48583333333333334	0.45764537112486636	0.5141117072255443	1.229453707786829	0.055	0.0
refined	0.15	0.85	huber_profile_pearson	48	4	12	1200	399	0.48583333333333334	0.45764537112486636	0.5141117072255443	0.43056929409219585	0.055	0.0
refined	0.15	0.85	huber_cap6_cdelta_star	48	4	12	1200	399	0.48583333333333334	0.45764537112486636	0.5141117072255443	1.2294486635410806	0.055	0.0
refined	0.15	0.85	mantel	48	4	12	1200	399	0.43	0.40225617243667366	0.45819056764770916	0.2232728149986027	0.0775	0.0
refined	0.175	0.825	original_l2_cdelta	48	4	12	1200	399	0.365	0.3382318928155945	0.3926296773471438	1.0371628506874833	0.1	0.0
refined	0.175	0.825	huber_cdelta_star	48	4	12	1200	399	0.43	0.40225617243667366	0.45819056764770916	1.220143712959164	0.08	0.0
refined	0.175	0.825	huber_profile_pearson	48	4	12	1200	399	0.43	0.40225617243667366	0.45819056764770916	0.39948706594207406	0.08	0.0
refined	0.175	0.825	huber_cap6_cdelta_star	48	4	12	1200	399	0.43	0.40225617243667366	0.45819056764770916	1.220143712959164	0.08	0.0
refined	0.175	0.825	mantel	48	4	12	1200	399	0.3775	0.35050444108888296	0.405277354058787	0.20887184021330352	0.0975	0.0
refined	0.2	0.8	original_l2_cdelta	48	4	12	1200	399	0.36833333333333335	0.3415026627791079	0.39600430071294557	1.036622516124875	0.1125	0.0
refined	0.2	0.8	huber_cdelta_star	48	4	12	1200	399	0.405	0.37757151569348474	0.43303477442103483	1.2188709353557352	0.08125	0.0
refined	0.2	0.8	huber_profile_pearson	48	4	12	1200	399	0.405	0.37757151569348474	0.43303477442103483	0.38553354529011324	0.08125	0.0
refined	0.2	0.8	huber_cap6_cdelta_star	48	4	12	1200	399	0.405	0.37757151569348474	0.43303477442103483	1.2188709353557352	0.08125	0.0
refined	0.2	0.8	mantel	48	4	12	1200	399	0.39	0.3627962962870346	0.417905723845567	0.20800149942077856	0.0975	0.0
refined	0.225	0.775	original_l2_cdelta	48	4	12	1200	399	0.325	0.29909453280250464	0.35202231740845247	1.035687463578572	0.135	0.0
refined	0.225	0.775	huber_cdelta_star	48	4	12	1200	399	0.3466666666666667	0.32026793411436	0.37404397273714535	1.2131114374601295	0.1125	0.0
refined	0.225	0.775	huber_profile_pearson	48	4	12	1200	399	0.3466666666666667	0.32026793411436	0.37404397273714535	0.3664113189927258	0.1125	0.0
refined	0.225	0.775	huber_cap6_cdelta_star	48	4	12	1200	399	0.3466666666666667	0.32026793411436	0.37404397273714535	1.2131114374601295	0.1125	0.0
refined	0.225	0.775	mantel	48	4	12	1200	399	0.3616666666666667	0.33496252410584154	0.3892536527275818	0.2023794220073071	0.11624999999999999	0.0
refined	0.25	0.75	original_l2_cdelta	48	4	12	1200	399	0.2866666666666667	0.26179379172455275	0.3129010351992808	1.033460726090716	0.145	0.0
refined	0.25	0.75	huber_cdelta_star	48	4	12	1200	399	0.31166666666666665	0.2860965036001626	0.3384387732935341	1.2016115926754078	0.1325	0.0
refined	0.25	0.75	huber_profile_pearson	48	4	12	1200	399	0.31166666666666665	0.2860965036001626	0.3384387732935341	0.3405813927404535	0.1325	0.0
refined	0.25	0.75	huber_cap6_cdelta_star	48	4	12	1200	399	0.3125	0.28690815198489283	0.33928847324113265	1.2016130831072598	0.1325	0.0
refined	0.25	0.75	mantel	48	4	12	1200	399	0.31833333333333336	0.2925924254535968	0.34523363809873014	0.18971081018514152	0.1325	0.0
refined	0.275	0.725	original_l2_cdelta	48	4	12	1200	399	0.2525	0.22873564548387454	0.27784389981447916	1.032639440975612	0.175	0.0
refined	0.275	0.725	huber_cdelta_star	48	4	12	1200	399	0.2808333333333333	0.25613657953975166	0.3069288090577804	1.1965817612069736	0.1575	0.0
refined	0.275	0.725	huber_profile_pearson	48	4	12	1200	399	0.2808333333333333	0.25613657953975166	0.3069288090577804	0.32444954963915973	0.1575	0.0
refined	0.275	0.725	huber_cap6_cdelta_star	48	4	12	1200	399	0.2808333333333333	0.25613657953975166	0.3069288090577804	1.1965784698185173	0.1575	0.0
refined	0.275	0.725	mantel	48	4	12	1200	399	0.3025	0.2771749078651626	0.3290855373729176	0.18870870496038536	0.155	0.0
refined	0.3	0.7	original_l2_cdelta	48	4	12	1200	399	0.25833333333333336	0.23436623122284447	0.28384275240181067	1.0326950533973418	0.1775	0.0
refined	0.3	0.7	huber_cdelta_star	48	4	12	1200	399	0.2825	0.25775239226020924	0.3086356930019803	1.1970165858602095	0.1625	0.0
refined	0.3	0.7	huber_profile_pearson	48	4	12	1200	399	0.2825	0.25775239226020924	0.3086356930019803	0.3179070857985407	0.1625	0.0
refined	0.3	0.7	huber_cap6_cdelta_star	48	4	12	1200	399	0.2825	0.25775239226020924	0.3086356930019803	1.1970183493680528	0.1625	0.0
refined	0.3	0.7	mantel	48	4	12	1200	399	0.3233333333333333	0.29746843165119763	0.3503257218951019	0.19001381337405804	0.145	0.0
refined	0.325	0.675	original_l2_cdelta	48	4	12	1200	399	0.26416666666666666	0.240002520970737	0.28983590098021955	1.032281633373482	0.20875	0.0
refined	0.325	0.675	huber_cdelta_star	48	4	12	1200	399	0.27416666666666667	0.2496776556373571	0.3000969463015447	1.196096157929386	0.18	0.0
refined	0.325	0.675	huber_profile_pearson	48	4	12	1200	399	0.27416666666666667	0.2496776556373571	0.3000969463015447	0.30802297294899145	0.18	0.0
refined	0.325	0.675	huber_cap6_cdelta_star	48	4	12	1200	399	0.27416666666666667	0.2496776556373571	0.3000969463015447	1.196096523875621	0.18	0.0
refined	0.325	0.675	mantel	48	4	12	1200	399	0.3175	0.29178009483196393	0.34438462038803425	0.18995256271467892	0.1575	0.0
refined	0.35	0.65	original_l2_cdelta	48	4	12	1200	399	0.25416666666666665	0.23034379483275041	0.27955844713026085	1.0319348654752074	0.19375	0.0
refined	0.35	0.65	huber_cdelta_star	48	4	12	1200	399	0.2633333333333333	0.23919699218752602	0.2889800814311017	1.1936983600771347	0.17375	0.0
refined	0.35	0.65	huber_profile_pearson	48	4	12	1200	399	0.2633333333333333	0.23919699218752602	0.2889800814311017	0.3035048435974261	0.17375	0.0
refined	0.35	0.65	huber_cap6_cdelta_star	48	4	12	1200	399	0.2633333333333333	0.23919699218752602	0.2889800814311017	1.1936144261132706	0.17375	0.0
refined	0.35	0.65	mantel	48	4	12	1200	399	0.32083333333333336	0.29502999635627386	0.34778011219303945	0.18890533228758424	0.16	0.0
refined	0.375	0.625	original_l2_cdelta	48	4	12	1200	399	0.265	0.24080816366690577	0.29069160661637955	1.0322614366462939	0.2025	0.0
refined	0.375	0.625	huber_cdelta_star	48	4	12	1200	399	0.25916666666666666	0.23517106916587344	0.2846992627911104	1.194181421119533	0.1875	0.0
refined	0.375	0.625	huber_profile_pearson	48	4	12	1200	399	0.25916666666666666	0.23517106916587344	0.2846992627911104	0.29939915147458435	0.1875	0.0
refined	0.375	0.625	huber_cap6_cdelta_star	48	4	12	1200	399	0.25916666666666666	0.23517106916587344	0.2846992627911104	1.194194177870457	0.1875	0.0
refined	0.375	0.625	mantel	48	4	12	1200	399	0.3233333333333333	0.29746843165119763	0.3503257218951019	0.19460236164694555	0.15375	0.0
refined	0.4	0.6	original_l2_cdelta	48	4	12	1200	399	0.23166666666666666	0.20867501689786389	0.2563708200922705	1.0313121801443794	0.2225	0.0
refined	0.4	0.6	huber_cdelta_star	48	4	12	1200	399	0.235	0.2118794473735511	0.2598117829458984	1.1909366168019355	0.205	0.0
refined	0.4	0.6	huber_profile_pearson	48	4	12	1200	399	0.235	0.2118794473735511	0.2598117829458984	0.2898331230953261	0.205	0.0
refined	0.4	0.6	huber_cap6_cdelta_star	48	4	12	1200	399	0.235	0.2118794473735511	0.2598117829458984	1.190775831501116	0.205	0.0
refined	0.4	0.6	mantel	48	4	12	1200	399	0.31666666666666665	0.2909678610525014	0.343535505835168	0.19022868319364827	0.15875	0.0
