phase	dyadic_weight	node_weight	profile_method	repetitions	n_perm	profile_power	mantel_power	power_difference	paired_standard_error	paired_ci_low	paired_ci_high	profile_only_rejections	mantel_only_rejections	both_reject	neither_reject
refined	0.1	0.9	original_l2_cdelta	1200	399	0.5183333333333333	0.5125	0.005833333333333334	0.009540425331381218	-0.012865900316173854	0.02453256698284052	69	62	553	516
refined	0.1	0.9	huber_cdelta_star	1200	399	0.585	0.5125	0.0725	0.010827985677830873	0.051277148071451485	0.09372285192854851	131	44	571	454
refined	0.1	0.9	huber_cap6_cdelta_star	1200	399	0.585	0.5125	0.0725	0.010827985677830873	0.051277148071451485	0.09372285192854851	131	44	571	454
refined	0.125	0.875	original_l2_cdelta	1200	399	0.4725	0.4625	0.01	0.009127947899759138	-0.00789077788352791	0.02789077788352791	66	54	501	579
refined	0.125	0.875	huber_cdelta_star	1200	399	0.5266666666666666	0.4625	0.06416666666666666	0.011061884163780414	0.042485373705657054	0.08584795962767627	129	52	503	516
refined	0.125	0.875	huber_cap6_cdelta_star	1200	399	0.5266666666666666	0.4625	0.06416666666666666	0.011061884163780414	0.042485373705657054	0.08584795962767627	129	52	503	516
refined	0.15	0.85	original_l2_cdelta	1200	399	0.42083333333333334	0.43	-0.009166666666666667	0.008456793270697573	-0.02574198147723391	0.007408648143900576	46	57	459	638
refined	0.15	0.85	huber_cdelta_star	1200	399	0.48583333333333334	0.43	0.05583333333333333	0.010253228526126318	0.03573700542212575	0.07592966124454091	111	44	472	573
refined	0.15	0.85	huber_cap6_cdelta_star	1200	399	0.48583333333333334	0.43	0.05583333333333333	0.010253228526126318	0.03573700542212575	0.07592966124454091	111	44	472	573
refined	0.175	0.825	original_l2_cdelta	1200	399	0.365	0.3775	-0.0125	0.008696393437902869	-0.029544931138289623	0.004544931138289621	47	62	391	700
refined	0.175	0.825	huber_cdelta_star	1200	399	0.43	0.3775	0.0525	0.010731272196105186	0.03146670649563384	0.07353329350436616	116	53	400	631
refined	0.175	0.825	huber_cap6_cdelta_star	1200	399	0.43	0.3775	0.0525	0.010731272196105186	0.03146670649563384	0.07353329350436616	116	53	400	631
refined	0.2	0.8	original_l2_cdelta	1200	399	0.36833333333333335	0.39	-0.021666666666666667	0.009034448431206014	-0.03937418559183045	-0.00395914774150288	46	72	396	686
refined	0.2	0.8	huber_cdelta_star	1200	399	0.405	0.39	0.015	0.010861232013739005	-0.006288014746928451	0.03628801474692845	94	76	392	638
refined	0.2	0.8	huber_cap6_cdelta_star	1200	399	0.405	0.39	0.015	0.010861232013739005	-0.006288014746928451	0.03628801474692845	94	76	392	638
refined	0.225	0.775	original_l2_cdelta	1200	399	0.325	0.3616666666666667	-0.03666666666666667	0.008838064783682195	-0.05398927364268377	-0.019344059690649566	35	79	355	731
refined	0.225	0.775	huber_cdelta_star	1200	399	0.3466666666666667	0.3616666666666667	-0.015	0.01020126895244901	-0.03499448714680006	0.0049944871468000605	66	84	350	700
refined	0.225	0.775	huber_cap6_cdelta_star	1200	399	0.3466666666666667	0.3616666666666667	-0.015	0.01020126895244901	-0.03499448714680006	0.0049944871468000605	66	84	350	700
refined	0.25	0.75	original_l2_cdelta	1200	399	0.2866666666666667	0.31833333333333336	-0.03166666666666667	0.009607123472989289	-0.050496628673725674	-0.012836704659607664	48	86	296	770
refined	0.25	0.75	huber_cdelta_star	1200	399	0.31166666666666665	0.31833333333333336	-0.006666666666666667	0.010477436028913203	-0.027202441283336546	0.01386910795000321	75	83	299	743
refined	0.25	0.75	huber_cap6_cdelta_star	1200	399	0.3125	0.31833333333333336	-0.005833333333333334	0.010510964616349771	-0.026434823981378884	0.014768157314712219	76	83	299	742
refined	0.275	0.725	original_l2_cdelta	1200	399	0.2525	0.3025	-0.05	0.008783371961791362	-0.06721540904511107	-0.032784590954888934	27	87	276	810
refined	0.275	0.725	huber_cdelta_star	1200	399	0.2808333333333333	0.3025	-0.021666666666666667	0.009773521937980686	-0.04082276966510881	-0.0025105636682245212	56	82	281	781
refined	0.275	0.725	huber_cap6_cdelta_star	1200	399	0.2808333333333333	0.3025	-0.021666666666666667	0.009773521937980686	-0.04082276966510881	-0.0025105636682245212	56	82	281	781
refined	0.3	0.7	original_l2_cdelta	1200	399	0.25833333333333336	0.3233333333333333	-0.065	0.008780601993316085	-0.08220997990689953	-0.047790020093100474	19	97	291	793
refined	0.3	0.7	huber_cdelta_star	1200	399	0.2825	0.3233333333333333	-0.04083333333333333	0.010038817025931932	-0.06050941470415992	-0.021157251962506746	49	98	290	763
refined	0.3	0.7	huber_cap6_cdelta_star	1200	399	0.2825	0.3233333333333333	-0.04083333333333333	0.010038817025931932	-0.06050941470415992	-0.021157251962506746	49	98	290	763
refined	0.325	0.675	original_l2_cdelta	1200	399	0.26416666666666666	0.3175	-0.05333333333333334	0.008108018777251447	-0.06922505013674618	-0.0374416165299205	17	81	300	802
refined	0.325	0.675	huber_cdelta_star	1200	399	0.27416666666666667	0.3175	-0.043333333333333335	0.009995365435168416	-0.06292424958626343	-0.02374241708040324	47	99	282	772
refined	0.325	0.675	huber_cap6_cdelta_star	1200	399	0.27416666666666667	0.3175	-0.043333333333333335	0.009995365435168416	-0.06292424958626343	-0.02374241708040324	47	99	282	772
refined	0.35	0.65	original_l2_cdelta	1200	399	0.25416666666666665	0.32083333333333336	-0.06666666666666667	0.008364550924439818	-0.08306118647856871	-0.050272146854764624	13	93	292	802
refined	0.35	0.65	huber_cdelta_star	1200	399	0.2633333333333333	0.32083333333333336	-0.0575	0.00924718848390283	-0.07562448942844954	-0.03937551057155046	29	98	287	786
refined	0.35	0.65	huber_cap6_cdelta_star	1200	399	0.2633333333333333	0.32083333333333336	-0.0575	0.00924718848390283	-0.07562448942844954	-0.03937551057155046	29	98	287	786
refined	0.375	0.625	original_l2_cdelta	1200	399	0.265	0.3233333333333333	-0.058333333333333334	0.008498502160243192	-0.07499039756741	-0.041676269099256674	19	89	299	793
refined	0.375	0.625	huber_cdelta_star	1200	399	0.25916666666666666	0.3233333333333333	-0.06416666666666666	0.009866328118604805	-0.08350466977913208	-0.044828663554201245	34	111	277	778
refined	0.375	0.625	huber_cap6_cdelta_star	1200	399	0.25916666666666666	0.3233333333333333	-0.06416666666666666	0.009866328118604805	-0.08350466977913208	-0.044828663554201245	34	111	277	778
refined	0.4	0.6	original_l2_cdelta	1200	399	0.23166666666666666	0.31666666666666665	-0.085	0.009030344545041927	-0.10269947530828219	-0.06730052469171782	12	114	266	808
refined	0.4	0.6	huber_cdelta_star	1200	399	0.235	0.31666666666666665	-0.08166666666666667	0.010073288110238249	-0.10141031136273362	-0.0619230219705997	28	126	254	792
refined	0.4	0.6	huber_cap6_cdelta_star	1200	399	0.235	0.31666666666666665	-0.08166666666666667	0.010073288110238249	-0.10141031136273362	-0.0619230219705997	28	126	254	792
