phase	dyadic_weight	node_weight	method	n	n_blocks	rooms_per_block	repetitions	n_perm	rejection_rate	wilson_low	wilson_high	mean_statistic	median_p_value	maximum_huber_cdelta_pearson_p_difference
replication	0.1	0.9	original_l2_cdelta	48	4	12	1200	399	0.5216666666666666	0.49337950334882186	0.5498155532917263	1.041964265084386	0.0425	0.0
replication	0.1	0.9	huber_cdelta_star	48	4	12	1200	399	0.6033333333333334	0.5753669165999156	0.6306402766088526	1.2408066012847654	0.025	0.0
replication	0.1	0.9	huber_profile_pearson	48	4	12	1200	399	0.6033333333333334	0.5753669165999156	0.6306402766088526	0.489298963037927	0.025	0.0
replication	0.1	0.9	huber_cap6_cdelta_star	48	4	12	1200	399	0.6033333333333334	0.5753669165999156	0.6306402766088526	1.2408066012847654	0.025	0.0
replication	0.1	0.9	mantel	48	4	12	1200	399	0.5266666666666666	0.4983771723206485	0.5547859743138721	0.235486413689585	0.04	0.0
replication	0.125	0.875	original_l2_cdelta	48	4	12	1200	399	0.48833333333333334	0.46013375579917615	0.5166073675482209	1.0404099586742461	0.0525	0.0
replication	0.125	0.875	huber_cdelta_star	48	4	12	1200	399	0.5483333333333333	0.5200664815864594	0.5762917216886095	1.2345667044484272	0.035	0.0
replication	0.125	0.875	huber_profile_pearson	48	4	12	1200	399	0.5483333333333333	0.5200664815864594	0.5762917216886095	0.45671504843425464	0.035	0.0
replication	0.125	0.875	huber_cap6_cdelta_star	48	4	12	1200	399	0.5483333333333333	0.5200664815864594	0.5762917216886095	1.2345667044484272	0.035	0.0
replication	0.125	0.875	mantel	48	4	12	1200	399	0.4766666666666667	0.4485273258020354	0.5049549208927588	0.2271851626167348	0.0575	0.0
replication	0.15	0.85	original_l2_cdelta	48	4	12	1200	399	0.3883333333333333	0.3611562798880229	0.4162230435799211	1.0383488651133304	0.09	0.0
replication	0.15	0.85	huber_cdelta_star	48	4	12	1200	399	0.4625	0.4344544867694592	0.4907848382757458	1.2253618917112368	0.06	0.0
replication	0.15	0.85	huber_profile_pearson	48	4	12	1200	399	0.4625	0.4344544867694592	0.4907848382757458	0.42362929023087054	0.06	0.0
replication	0.15	0.85	huber_cap6_cdelta_star	48	4	12	1200	399	0.4625	0.4344544867694592	0.4907848382757458	1.2253618917112368	0.06	0.0
replication	0.15	0.85	mantel	48	4	12	1200	399	0.4025	0.37510710663236063	0.4305151384851726	0.2154434595529003	0.0875	0.0
replication	0.175	0.825	original_l2_cdelta	48	4	12	1200	399	0.4033333333333333	0.37592849355671876	0.43135509989314325	1.0382758575012558	0.085	0.0
replication	0.175	0.825	huber_cdelta_star	48	4	12	1200	399	0.44916666666666666	0.4212302846482005	0.4774274670797441	1.2249594655247786	0.0625	0.0
replication	0.175	0.825	huber_profile_pearson	48	4	12	1200	399	0.44916666666666666	0.4212302846482005	0.4774274670797441	0.4074035423627428	0.0625	0.0
replication	0.175	0.825	huber_cap6_cdelta_star	48	4	12	1200	399	0.44916666666666666	0.4212302846482005	0.4774274670797441	1.224952109023393	0.0625	0.0
replication	0.175	0.825	mantel	48	4	12	1200	399	0.405	0.37757151569348474	0.43303477442103483	0.21559783985074016	0.0925	0.0
replication	0.2	0.8	original_l2_cdelta	48	4	12	1200	399	0.3258333333333333	0.2999077260908646	0.3528704724524213	1.0361040375525405	0.1175	0.0
replication	0.2	0.8	huber_cdelta_star	48	4	12	1200	399	0.36666666666666664	0.3398671031468206	0.3943171636805752	1.2138642022283952	0.1	0.0
replication	0.2	0.8	huber_profile_pearson	48	4	12	1200	399	0.36666666666666664	0.3398671031468206	0.3943171636805752	0.3787918629706108	0.1	0.0
replication	0.2	0.8	huber_cap6_cdelta_star	48	4	12	1200	399	0.36666666666666664	0.3398671031468206	0.3943171636805752	1.2138642022283952	0.1	0.0
replication	0.2	0.8	mantel	48	4	12	1200	399	0.3566666666666667	0.3300611165718603	0.3841869702675903	0.20407307013008646	0.11125	0.0
replication	0.225	0.775	original_l2_cdelta	48	4	12	1200	399	0.34	0.31374638241682645	0.36727473777604863	1.0356669985602112	0.12625	0.0
replication	0.225	0.775	huber_cdelta_star	48	4	12	1200	399	0.375	0.3480483747583142	0.40274937539236944	1.213672342860951	0.1	0.0
replication	0.225	0.775	huber_profile_pearson	48	4	12	1200	399	0.375	0.3480483747583142	0.40274937539236944	0.36625728349653364	0.1	0.0
replication	0.225	0.775	huber_cap6_cdelta_star	48	4	12	1200	399	0.375	0.3480483747583142	0.40274937539236944	1.2136525944886822	0.1	0.0
replication	0.225	0.775	mantel	48	4	12	1200	399	0.375	0.3480483747583142	0.40274937539236944	0.2035440700438911	0.1125	0.0
replication	0.25	0.75	original_l2_cdelta	48	4	12	1200	399	0.31916666666666665	0.29340485271506467	0.3460825591695911	1.0347932880149513	0.14375	0.0
replication	0.25	0.75	huber_cdelta_star	48	4	12	1200	399	0.3416666666666667	0.31537622206716237	0.3689675947903703	1.2085048739748987	0.1275	0.0
