phase	dyadic_weight	node_weight	profile_method	repetitions	n_perm	profile_power	mantel_power	power_difference	paired_standard_error	paired_ci_low	paired_ci_high	profile_only_rejections	mantel_only_rejections	both_reject	neither_reject
replication	0.1	0.9	original_l2_cdelta	1200	399	0.5216666666666666	0.5266666666666666	-0.005	0.009721232590589771	-0.024053615877555952	0.01405361587755595	65	71	561	503
replication	0.1	0.9	huber_cdelta_star	1200	399	0.6033333333333334	0.5266666666666666	0.07666666666666666	0.011089730146637201	0.054930795579257743	0.09840253775407558	138	46	586	430
replication	0.1	0.9	huber_cap6_cdelta_star	1200	399	0.6033333333333334	0.5266666666666666	0.07666666666666666	0.011089730146637201	0.054930795579257743	0.09840253775407558	138	46	586	430
replication	0.125	0.875	original_l2_cdelta	1200	399	0.48833333333333334	0.4766666666666667	0.011666666666666667	0.008495230254513054	-0.004983984632178919	0.028317317965512255	59	45	527	569
replication	0.125	0.875	huber_cdelta_star	1200	399	0.5483333333333333	0.4766666666666667	0.07166666666666667	0.010407217009314892	0.05126852132840948	0.09206481200492386	124	38	534	504
replication	0.125	0.875	huber_cap6_cdelta_star	1200	399	0.5483333333333333	0.4766666666666667	0.07166666666666667	0.010407217009314892	0.05126852132840948	0.09206481200492386	124	38	534	504
replication	0.15	0.85	original_l2_cdelta	1200	399	0.3883333333333333	0.4025	-0.014166666666666666	0.008694261952565263	-0.03120742009369458	0.0028740867603612493	46	63	420	671
replication	0.15	0.85	huber_cdelta_star	1200	399	0.4625	0.4025	0.06	0.010923445286920049	0.038590047237636704	0.08140995276236329	124	52	431	593
replication	0.15	0.85	huber_cap6_cdelta_star	1200	399	0.4625	0.4025	0.06	0.010923445286920049	0.038590047237636704	0.08140995276236329	124	52	431	593
replication	0.175	0.825	original_l2_cdelta	1200	399	0.4033333333333333	0.405	-0.0016666666666666668	0.008978887705488015	-0.019265286569423175	0.01593195323608984	57	59	427	657
replication	0.175	0.825	huber_cdelta_star	1200	399	0.44916666666666666	0.405	0.04416666666666667	0.011080717279642955	0.022448460798566477	0.06588487253476685	116	63	423	598
replication	0.175	0.825	huber_cap6_cdelta_star	1200	399	0.44916666666666666	0.405	0.04416666666666667	0.011080717279642955	0.022448460798566477	0.06588487253476685	116	63	423	598
