scenario	n	studentized_rejection	sqrt_n_minimum_singular_value	jacobian_condition_number	standardized_median_density	standardized_mad_density_sum	huber_location_curvature
exponential_epsilon_0.05	80	0.5	0.22321924207891672	152.57546061858605	0.02495666995872196	3.8077754144580322	0.6698837226718167
half_normal_epsilon_0.05	80	0.5666666666666667	0.22275809878088837	152.9829791754878	0.024905112570633974	3.810058317756477	0.6740596415528501
scaled_beta12_epsilon_0.05	80	0.5266666666666666	0.22287520098730268	153.0173130882832	0.024918204995326848	3.812916775367951	0.6744894573915244
uniform_epsilon_0.05	80	0.5266666666666666	0.2221546633836462	154.26547906036308	0.024837646442220817	3.831591427141117	0.6744907594740001
exponential_epsilon_0.1	80	0.29333333333333333	0.4455872608159765	72.7623306857999	0.04981817025462259	3.6248861782283286	0.6652416469304869
half_normal_epsilon_0.1	80	0.4066666666666667	0.44365847580918427	73.07814184021957	0.0496025255351641	3.624860396691836	0.6736030114800821
scaled_beta12_epsilon_0.1	80	0.4	0.44415063102920144	73.14112114839259	0.049657550161536085	3.632008892297293	0.6744843077058885
uniform_epsilon_0.1	80	0.3933333333333333	0.4411764289975791	74.1230283492269	0.04932502426545981	3.656120171954982	0.6744907594725769
exponential_epsilon_0.2	80	0.10666666666666667	0.8872102482219356	32.81129868682571	0.09919312126793549	3.2546551296007546	0.6558283183536521
half_normal_epsilon_0.2	80	0.14666666666666667	0.8786907862201422	32.9163668234387	0.09824061645954868	3.2337241683432536	0.6725916208428042
scaled_beta12_epsilon_0.2	80	0.15333333333333332	0.8808927786086008	33.046358011772156	0.0984868066928752	3.254630273408952	0.6744468639828631
uniform_epsilon_0.2	80	0.12	0.868057069342699	33.4448665011409	0.09705173076997618	3.245882179306522	0.674490759465699
exponential_epsilon_0.05	320	0.23333333333333334	0.44643848415783344	152.57546061858605	0.02495666995872196	3.8077754144580322	0.6698837226718167
half_normal_epsilon_0.05	320	0.3	0.44551619756177674	152.9829791754878	0.024905112570633974	3.810058317756477	0.6740596415528501
scaled_beta12_epsilon_0.05	320	0.3333333333333333	0.44575040197460536	153.0173130882832	0.024918204995326848	3.812916775367951	0.6744894573915244
uniform_epsilon_0.05	320	0.38	0.4443093267672924	154.26547906036308	0.024837646442220817	3.831591427141117	0.6744907594740001
exponential_epsilon_0.1	320	0.06	0.891174521631953	72.7623306857999	0.04981817025462259	3.6248861782283286	0.6652416469304869
half_normal_epsilon_0.1	320	0.10666666666666667	0.8873169516183685	73.07814184021957	0.0496025255351641	3.624860396691836	0.6736030114800821
scaled_beta12_epsilon_0.1	320	0.12666666666666668	0.8883012620584029	73.14112114839259	0.049657550161536085	3.632008892297293	0.6744843077058885
uniform_epsilon_0.1	320	0.14666666666666667	0.8823528579951582	74.1230283492269	0.04932502426545981	3.656120171954982	0.6744907594725769
exponential_epsilon_0.2	320	0.05333333333333334	1.7744204964438712	32.81129868682571	0.09919312126793549	3.2546551296007546	0.6558283183536521
half_normal_epsilon_0.2	320	0.02666666666666667	1.7573815724402844	32.9163668234387	0.09824061645954868	3.2337241683432536	0.6725916208428042
scaled_beta12_epsilon_0.2	320	0.05333333333333334	1.7617855572172016	33.046358011772156	0.0984868066928752	3.254630273408952	0.6744468639828631
uniform_epsilon_0.2	320	0.04	1.736114138685398	33.4448665011409	0.09705173076997618	3.245882179306522	0.674490759465699
