scenario	median	mad	scale	huber_location	density_median	density_lower_mad	density_upper_mad	standardized_median_density	standardized_mad_density_sum	standardized_mad_density_difference	huber_active_probability	huber_scale_coupling	huber_location_curvature	minimum_singular_value	maximum_singular_value	jacobian_condition_number	inverse_jacobian_norm	jacobian_determinant	sqrt80_minimum_singular_value	sqrt320_minimum_singular_value	finite_difference_max_error	jacobian_median_median	jacobian_median_mad	jacobian_median_huber	jacobian_mad_median	jacobian_mad_mad	jacobian_mad_huber	jacobian_huber_median	jacobian_huber_mad	jacobian_huber_huber	inverse_median_median	inverse_median_mad	inverse_median_huber	inverse_mad_median	inverse_mad_mad	inverse_mad_huber	inverse_huber_median	inverse_huber_mad	inverse_huber_huber
uniform_epsilon_0.05	0.0	0.9935058576888326	1.4729717846094632	6.11626475020616e-16	0.025	1.9283184882545388	1.9283184882545388	0.024837646442220817	3.831591427141117	0.0	0.9999999999961524	-4.550054164498274e-16	0.6744907594740001	0.024837646442220817	3.831591427141117	154.26547906036308	40.26146367475978	-0.06418974313908622	0.2221546633836462	0.4443093267672924	6.273601020900799e-07	0.024837646442220817	0.0	0.0	0.0	3.831591427141117	0.0	0.0	4.550054164498274e-16	-0.6744907594740001	40.26146367475978	0.0	0.0	0.0	0.26098816092876964	0.0	-0.0	1.7606027241125894e-16	-1.4826000000057042
exponential_epsilon_0.05	-3.552713678800501e-15	0.998266798348882	1.4800303552320524	-3.1009395536669067e-14	0.02499999999999991	1.9071932577323136	1.9071932577323245	0.02495666995872196	3.8077754144580322	1.0861328085608517e-14	0.9931696072332354	2.0858461157742117e-14	0.6698837226718167	0.02495666995872196	3.8077754144580322	152.57546061858605	40.06944843418566	-0.06365864441396091	0.22321924207891672	0.44643848415783344	1.245629490369965e-06	0.02495666995872196	0.0	0.0	1.0861328085608517e-14	3.8077754144580322	0.0	0.0	-2.0858461157742117e-14	-0.6698837226718167	40.06944843418566	0.0	0.0	-1.142944050745721e-13	0.2626205306654967	0.0	3.5588346575830374e-27	-8.177329815185774e-15	-1.4927963856346913
half_normal_epsilon_0.05	0.0	0.9962045028253589	1.476972795888877	1.4505142636654406e-15	0.025	1.9122872396935977	1.9122872396935977	0.024905112570633974	3.810058317756477	0.0	0.9993608245662555	-1.0077195547196761e-15	0.6740596415528501	0.02490511257063397	3.8100583177564764	152.9829791754878	40.15239831435721	-0.06396147308202206	0.22275809878088837	0.44551619756177674	6.248319479595921e-07	0.024905112570633974	0.0	0.0	0.0	3.810058317756477	0.0	0.0	1.0077195547196761e-15	-0.6740596415528501	40.15239831435721	0.0	0.0	0.0	0.26246317420906096	0.0	-0.0	3.923825975324028e-16	-1.483548247594637
scaled_beta12_epsilon_0.05	0.0	0.9967281998130738	1.477749229042863	-1.6624284632355895e-15	0.025	1.9127164136035404	1.9127164136035404	0.024918204995326848	3.812916775367951	0.0	0.9999980695286741	1.0808408618244048e-15	0.6744894573915244	0.02491820499532685	3.812916775367951	153.0173130882832	40.13130160007671	-0.06408394605601464	0.22287520098730268	0.44575040197460536	6.242244094956106e-07	0.024918204995326848	0.0	0.0	0.0	3.812916775367951	0.0	0.0	-1.0808408618244048e-15	-0.6744894573915244	40.13130160007672	0.0	0.0	0.0	0.26226641149373076	0.0	-0.0	-4.2027084503699163e-16	-1.482602862122313
uniform_epsilon_0.1	0.0	0.9865004853091961	1.462585619519414	7.557903777271012e-16	0.05	1.8530757087306724	1.8530757087306724	0.04932502426545981	3.656120171954982	0.0	0.9999999999940423	-4.988607093968457e-16	0.6744907594725769	0.04932502426545981	3.656120171954982	74.1230283492269	20.273684907242043	-0.12163646040607194	0.4411764289975791	0.8823528579951582	5.942753422694125e-07	0.04932502426545981	0.0	0.0	0.0	3.656120171954982	0.0	0.0	4.988607093968457e-16	-0.6744907594725769	20.273684907242043	0.0	0.0	0.0	0.27351398558250484	0.0	-0.0	2.022939216904046e-16	-1.4826000000088326
exponential_epsilon_0.1	0.0	0.9963634050924517	1.4772083843900687	3.848776957883689e-14	0.05	1.8190582671449975	1.8190582671449975	0.04981817025462259	3.6248861782283286	0.0	0.9862872657391399	-2.5708660187452877e-14	0.6652416469304869	0.04981817025462259	3.6248861782283286	72.7623306857999	20.072997359978526	-0.12013279371759712	0.4455872608159765	0.891174521631953	2.48176784638926e-06	0.04981817025462259	0.0	0.0	0.0	3.6248861782283286	0.0	0.0	2.5708660187452877e-14	-0.6652416469304869	20.072997359978526	0.0	0.0	0.0	0.2758707310607894	0.0	-0.0	1.0661188927708743e-14	-1.5032131626366636
half_normal_epsilon_0.1	0.0	0.992050510703282	1.470814087168686	1.7727076763045905e-15	0.05	1.8269535460054895	1.8269535460054895	0.0496025255351641	3.624860396691836	0.0	0.9986838248203695	-1.189727367931965e-15	0.6736030114800821	0.0496025255351641	3.624860396691836	73.07814184021957	20.160263801307504	-0.12111532386040236	0.44365847580918427	0.8873169516183685	5.949990877773814e-07	0.0496025255351641	0.0	0.0	0.0	3.624860396691836	0.0	0.0	1.189727367931965e-15	-0.6736030114800821	20.160263801307504	0.0	0.0	0.0	0.2758726931698203	0.0	-0.0	4.872503351908455e-16	-1.4845539330394892
scaled_beta12_epsilon_0.1	0.0	0.9931510032307216	1.4724456773898678	-9.853490085773054e-15	0.05	1.828528028709815	1.828528028709815	0.049657550161536085	3.632008892297293	0.0	0.9999904346047503	6.687468303167478e-15	0.6744843077058885	0.049657550161536085	3.632008892297293	73.14112114839259	20.13792458039107	-0.12164773949387782	0.44415063102920144	0.8883012620584029	1.2329359479201774e-06	0.049657550161536085	0.0	0.0	0.0	3.632008892297293	0.0	0.0	-6.687468303167478e-15	-0.6744843077058885	20.13792458039107	0.0	0.0	0.0	0.27532972238057685	0.0	-0.0	-2.7298763963874114e-15	-1.4826141817906515
uniform_epsilon_0.2	0.0	0.9705173076997617	1.4388889603956667	1.3370555463699892e-15	0.1	1.6722433250570452	1.6722433250570452	0.09705173076997618	3.245882179306522	0.0	0.9999999999838454	-9.051995735197856e-16	0.674490759465699	0.09705173076997618	3.245882179306522	33.4448665011409	10.303783271728719	-0.21247705609876644	0.868057069342699	1.736114138685398	4.985688830672075e-07	0.09705173076997618	0.0	0.0	0.0	3.245882179306522	0.0	0.0	9.051995735197856e-16	-0.674490759465699	10.303783271728719	0.0	0.0	0.0	0.30808265511770627	0.0	-0.0	4.1346198462719346e-16	-1.4826000000239508
exponential_epsilon_0.2	0.0	0.9919312126793548	1.4706372159184113	-7.81197242835266e-14	0.1	1.6405649343412854	1.6405649343412854	0.09919312126793549	3.2546551296007546	0.0	0.9723310647911245	5.17843052143217e-14	0.6558283183536521	0.09919312126793549	3.2546551296007546	32.81129868682571	10.081344222437059	-0.2117272214271401	0.8872102482219356	1.7744204964438712	4.919474825434977e-06	0.09919312126793549	0.0	0.0	0.0	3.2546551296007546	0.0	0.0	-5.17843052143217e-14	-0.6558283183536521	10.081344222437059	0.0	0.0	0.0	0.30725221572789774	0.0	-0.0	-2.426068236420714e-14	-1.5247892962449894
