design	scenario	strength	n_perm	repetitions	omnibus_reject_count	omnibus_rejection_rate	wilson_low	wilson_high	profile_rejection_rate	mantel_rejection_rate	best_component_power	omnibus_regret	adjusted_profile_rejection_rate	adjusted_mantel_rejection_rate	winner_profile_rate	winner_expected_rate	mean_profile_z	mean_mantel_z	profile_only_rate	mantel_only_rate	both_rate	unresolved_rate	winner_agreement_with_999	decision_agreement_with_999	attribution_agreement_with_999	profile_only_share_given_reject	mantel_only_share_given_reject	both_share_given_reject	unresolved_share_given_reject
moderately_unequal	conditional_null	0.0	199	100	3	0.03	0.010254524024038925	0.0845193642905276	0.02	0.05	0.05	0.02	0.0	0.03	0.46	nan	-0.002514029466222274	0.06986279543979858	0.0	0.03	0.0	0.97	0.98	1.0	1.0	0.0	1.0	0.0	0.0
moderately_unequal	conditional_null	0.0	499	100	4	0.04	0.01566330399154762	0.0983707143588792	0.0	0.06	0.06	0.019999999999999997	0.0	0.04	0.45	nan	0.004095699308940874	0.07491851256947539	0.0	0.04	0.0	0.96	0.99	0.99	0.99	0.0	1.0	0.0	0.0
moderately_unequal	conditional_null	0.0	999	100	3	0.03	0.010254524024038925	0.0845193642905276	0.01	0.06	0.06	0.029999999999999995	0.0	0.03	0.44	nan	0.0015232108024535672	0.0727444127168103	0.0	0.03	0.0	0.97	1.0	1.0	1.0	0.0	1.0	0.0	0.0
moderately_unequal	dyadic	0.6	199	100	6	0.06	0.027786123963188192	0.1247681544589592	0.06	0.06	0.07	0.010000000000000002	0.04	0.05	0.38	0.62	0.20108037846126464	0.34487153879297033	0.01	0.02	0.03	0.94	0.99	1.0	1.0	0.16666666666666666	0.3333333333333333	0.5	0.0
moderately_unequal	dyadic	0.6	499	100	6	0.06	0.027786123963188192	0.1247681544589592	0.05	0.06	0.07	0.010000000000000002	0.04	0.05	0.37	0.63	0.18888941828014502	0.33509112721062523	0.01	0.02	0.03	0.94	1.0	1.0	1.0	0.16666666666666666	0.3333333333333333	0.5	0.0
moderately_unequal	dyadic	0.6	999	100	6	0.06	0.027786123963188192	0.1247681544589592	0.05	0.08	0.09	0.030000000000000006	0.04	0.05	0.37	0.63	0.19206334375384113	0.3337955407718535	0.01	0.02	0.03	0.94	1.0	1.0	1.0	0.16666666666666666	0.3333333333333333	0.5	0.0
moderately_unequal	dyadic	1.0	199	100	18	0.18	0.1170022549894635	0.2666735838630073	0.15	0.23	0.23	0.05	0.11	0.18	0.2	0.8	0.7148806867404073	1.0968265577242626	0.0	0.07	0.11	0.82	0.97	0.92	0.92	0.0	0.3888888888888889	0.6111111111111112	0.0
moderately_unequal	dyadic	1.0	499	100	25	0.25	0.17545211362287672	0.34304463548061603	0.15	0.29	0.29	0.04000000000000001	0.12	0.25	0.17	0.83	0.7155376547945618	1.1052063413844695	0.0	0.13	0.12	0.75	0.98	0.99	0.96	0.0	0.52	0.48	0.0
moderately_unequal	dyadic	1.0	999	100	26	0.26	0.18404698464748132	0.3537098944918718	0.17	0.29	0.29	0.03	0.13	0.26	0.17	0.83	0.7130620886489729	1.1060413015364727	0.0	0.13	0.13	0.74	1.0	1.0	1.0	0.0	0.5	0.5	0.0
moderately_unequal	dyadic	1.4	199	100	35	0.35	0.26364248243097527	0.44745556703112027	0.23	0.4	0.4	0.04999999999999999	0.15	0.35	0.1	0.9	0.9358550543983916	1.506436475344928	0.0	0.2	0.15	0.65	0.99	0.92	0.88	0.0	0.5714285714285714	0.42857142857142855	0.0
moderately_unequal	dyadic	1.4	499	100	36	0.36	0.2727122040140433	0.4576459754839126	0.25	0.41	0.41	0.05000000000000002	0.17	0.36	0.1	0.9	0.940193834665857	1.5193241013097105	0.0	0.19	0.17	0.64	0.99	0.97	0.97	0.0	0.5277777777777778	0.4722222222222222	0.0
moderately_unequal	dyadic	1.4	999	100	37	0.37	0.28182360534324524	0.4677947041905709	0.23	0.42	0.42	0.05000000000000002	0.17	0.37	0.11	0.89	0.9457660687875427	1.5270197908280614	0.0	0.2	0.17	0.63	1.0	1.0	1.0	0.0	0.5405405405405406	0.4594594594594595	0.0
moderately_unequal	mixed_covariate	0.6	199	100	24	0.24	0.16691325556948772	0.33232336349814473	0.19	0.24	0.24	0.0	0.15	0.24	0.43	nan	0.7697128563968166	0.8904958045961919	0.0	0.09	0.15	0.76	0.96	0.98	0.95	0.0	0.375	0.625	0.0
moderately_unequal	mixed_covariate	0.6	499	100	21	0.21	0.141656540619153	0.29979968834089865	0.19	0.23	0.23	0.01999999999999999	0.14	0.21	0.45	nan	0.7640696751465121	0.8705809085414324	0.0	0.07	0.14	0.79	0.98	0.97	0.94	0.0	0.3333333333333333	0.6666666666666666	0.0
moderately_unequal	mixed_covariate	0.6	999	100	24	0.24	0.16691325556948772	0.33232336349814473	0.19	0.23	0.24	-1.3322676295501878e-17	0.16	0.22	0.43	nan	0.7638420576430309	0.8704886659235078	0.02	0.08	0.14	0.76	1.0	1.0	1.0	0.08333333333333333	0.3333333333333333	0.5833333333333334	0.0
moderately_unequal	mixed_covariate	1.0	199	100	38	0.38	0.29097599252478734	0.47790244704488916	0.37	0.39	0.39	0.010000000000000009	0.28	0.36	0.4	nan	1.4289766739845209	1.5941216875504773	0.02	0.1	0.26	0.62	0.99	0.95	0.9	0.05263157894736842	0.2631578947368421	0.6842105263157895	0.0
moderately_unequal	mixed_covariate	1.0	499	100	43	0.43	0.33733298524110106	0.5278461045078768	0.42	0.42	0.43	0.0	0.33	0.37	0.39	nan	1.4426877818194785	1.6058435323027465	0.06	0.1	0.27	0.57	0.98	0.98	0.98	0.13953488372093023	0.23255813953488372	0.627906976744186	0.0
