phase	design	scenario	strength	n_perm	repetitions	omnibus_rejection_rate	wilson_low	wilson_high	profile_rejection_rate	mantel_rejection_rate	best_component_power	omnibus_regret	adjusted_profile_rejection_rate	adjusted_mantel_rejection_rate	winner_profile_rate	winner_expected_rate	mean_profile_z	mean_mantel_z	profile_only_rate	mantel_only_rate	both_rate	unresolved_rate	profile_only_share_given_reject	mantel_only_share_given_reject	both_share_given_reject	unresolved_share_given_reject	winner_agreement_with_999	decision_agreement_with_999	attribution_agreement_with_999
seed1	moderately_unequal	conditional_null	0.0	199	50	0.02	0.003539259271646236	0.10495443589637815	0.02	0.04	0.04	0.02	0.0	0.02	0.46	nan	-0.11173579923387829	-0.04891379753207131	0.0	0.02	0.0	0.98	0.0	1.0	0.0	0.0	1.0	1.0	1.0
seed1	moderately_unequal	conditional_null	0.0	499	50	0.04	0.011038884327619805	0.1346009068750702	0.0	0.06	0.06	0.019999999999999997	0.0	0.04	0.46	nan	-0.10164860123033544	-0.040404930922653265	0.0	0.04	0.0	0.96	0.0	1.0	0.0	0.0	1.0	0.98	0.98
seed1	moderately_unequal	conditional_null	0.0	999	50	0.02	0.003539259271646236	0.10495443589637815	0.0	0.06	0.06	0.039999999999999994	0.0	0.02	0.46	nan	-0.10087244889787067	-0.042817702420585614	0.0	0.02	0.0	0.98	0.0	1.0	0.0	0.0	1.0	1.0	1.0
seed1	moderately_unequal	radial_node	0.6	199	50	0.14	0.06950833427016294	0.2618619371058554	0.16	0.16	0.16	0.01999999999999999	0.1	0.14	0.54	0.54	0.7592030309782862	0.7311581932569479	0.0	0.04	0.1	0.86	0.0	0.2857142857142857	0.7142857142857143	0.0	0.98	0.98	0.98
seed1	moderately_unequal	radial_node	0.6	499	50	0.14	0.06950833427016294	0.2618619371058554	0.14	0.16	0.16	0.01999999999999999	0.08	0.14	0.56	0.56	0.7494702427760217	0.7117501900323624	0.0	0.06	0.08	0.86	0.0	0.42857142857142855	0.5714285714285714	0.0	1.0	0.98	0.94
seed1	moderately_unequal	radial_node	0.6	999	50	0.16	0.08337420678033404	0.2851421606303499	0.18	0.16	0.18	0.01999999999999999	0.12	0.16	0.56	0.56	0.7523020559345962	0.7120030212364397	0.0	0.04	0.12	0.84	0.0	0.25	0.75	0.0	1.0	1.0	1.0
seed1	moderately_unequal	radial_node	1.0	199	50	0.36	0.24138749651846741	0.49858983123887307	0.38	0.32	0.38	0.020000000000000018	0.3	0.3	0.52	0.52	1.5634611203459148	1.531301091225314	0.06	0.06	0.24	0.64	0.16666666666666666	0.16666666666666666	0.6666666666666666	0.0	0.96	0.94	0.94
seed1	moderately_unequal	radial_node	1.0	499	50	0.38	0.25862789310193596	0.5184955306900703	0.4	0.34	0.4	0.020000000000000018	0.32	0.32	0.58	0.58	1.5914085165553353	1.5433384934188377	0.06	0.06	0.26	0.62	0.15789473684210525	0.15789473684210525	0.6842105263157895	0.0	0.98	0.96	0.96
seed1	moderately_unequal	radial_node	1.0	999	50	0.42	0.2937500335471198	0.5576655823142176	0.4	0.4	0.4	-0.019999999999999962	0.32	0.36	0.56	0.56	1.5856898059317153	1.546131401315273	0.06	0.1	0.26	0.58	0.14285714285714285	0.23809523809523808	0.6190476190476191	0.0	1.0	1.0	1.0
seed1	moderately_unequal	radial_node	1.4	199	50	0.76	0.6258731624205708	0.8570260860300828	0.78	0.72	0.78	0.020000000000000018	0.72	0.66	0.54	0.54	2.3707913038814694	2.351108263150839	0.1	0.04	0.62	0.24	0.13157894736842105	0.05263157894736842	0.8157894736842105	0.0	0.92	0.98	0.9
