kind	scenario	n	repetitions	n_perm	rejection_rate	wilson_low	wilson_high	mean_c_delta	mean_divergence_correlation	mean_raw_pearson	mean_absolute_deviation_pearson	mean_distance_matrix_correlation	median_max_to_median_absolute_deviation
l2	diffuse_aligned	80	500	499	0.976	0.9585	0.9862	1.0033	0.6158	-0.0013	0.6209	0.0099	1.3025
l2	diffuse_null	80	500	499	0.046	0.0308	0.0681	1.0	-0.0017	0.0051	-0.0019	0.0005	1.3023
l2	diffuse_reverse	80	500	499	0.0	0.0	0.0076	0.9967	-0.633	0.001	-0.6391	-0.0059	1.2894
l2	full_profile_aligned	80	500	499	1.0	0.9924	1.0	1.036	0.9231	-0.0003	0.9263	0.1674	1.8828
l2	top_pair_only	80	500	499	0.186	0.1543	0.2225	1.0035	0.0909	0.0004	0.0723	0.0178	1.8558
l2	profile_null	80	500	499	0.044	0.0292	0.0657	0.9995	-0.0119	-0.0035	-0.0126	-0.0015	1.8617
l2	sparse_extreme_aligned	80	500	499	1.0	0.9924	1.0	1.0659	0.9616	0.0275	0.9371	0.3202	4.049
l1	diffuse_aligned	80	500	499	0.8	0.7627	0.8327	1.003	0.4042	-0.0053	0.6111	0.009	1.306
l1	diffuse_null	80	500	499	0.05	0.0341	0.0728	0.9999	-0.0047	-0.0	-0.004	-0.0012	1.3037
l1	diffuse_reverse	80	500	499	0.0	0.0	0.0076	0.9972	-0.3657	0.0101	-0.6351	-0.0053	1.2877
l1	full_profile_aligned	80	500	499	1.0	0.9924	1.0	1.0337	0.8752	0.003	0.9315	0.1676	1.8796
l1	top_pair_only	80	500	499	0.22	0.1859	0.2584	1.0043	0.1115	-0.0038	0.0768	0.0165	1.8627
l1	profile_null	80	500	499	0.05	0.0341	0.0728	1.0002	0.004	0.0014	0.0017	0.0008	1.861
l1	sparse_extreme_aligned	80	500	499	1.0	0.9924	1.0	1.1387	0.9559	-0.0072	0.9377	0.3208	4.0497
