kind	background	n	k_extremes	magnitude	scenario	alpha	repetitions	n_perm	reject_count	rejection_rate	wilson_low	wilson_high	mean_norm	mean_corr	mean_p	p05	p50	p95
l2	normal	20	1	1.5	matched	0.05	180	299	8	0.0444	0.0227	0.0852	0.9349	0.0394	0.446	0.0533	0.405	0.9078
l2	normal	20	1	2.0	matched	0.05	180	299	18	0.1	0.0642	0.1525	0.9415	0.1706	0.2842	0.0132	0.23	0.717
l2	normal	20	1	2.5	matched	0.05	180	299	72	0.4	0.3312	0.4729	0.9535	0.3824	0.1097	0.0067	0.0667	0.3438
l2	normal	20	1	3.0	matched	0.05	180	299	103	0.5722	0.4992	0.6422	0.959	0.5071	0.0549	0.0067	0.0433	0.1367
l2	normal	20	1	3.5	matched	0.05	180	299	136	0.7556	0.6879	0.8126	0.965	0.6347	0.0338	0.0067	0.0333	0.0667
l2	normal	20	1	4.0	matched	0.05	180	299	147	0.8167	0.7537	0.8664	0.9707	0.7178	0.0283	0.0033	0.0267	0.0633
l2	normal	20	1	5.0	matched	0.05	180	299	161	0.8944	0.841	0.9314	0.9788	0.8333	0.0267	0.0033	0.0267	0.0533
l2	normal	20	1	6.0	matched	0.05	180	299	152	0.8444	0.7844	0.8901	0.984	0.8914	0.0296	0.0065	0.0283	0.0567
l2	normal	20	1	8.0	matched	0.05	180	299	155	0.8611	0.803	0.9041	0.9913	0.9506	0.0288	0.0065	0.0267	0.0568
l2	normal	20	2	1.5	matched	0.05	180	299	19	0.1056	0.0686	0.159	0.942	0.0785	0.4066	0.0167	0.3517	0.9072
l2	normal	20	2	2.0	matched	0.05	180	299	53	0.2944	0.2327	0.3648	0.9538	0.286	0.1888	0.0065	0.1217	0.584
l2	normal	20	2	2.5	matched	0.05	180	299	106	0.5889	0.5159	0.6582	0.9604	0.4451	0.0727	0.0033	0.035	0.291
l2	normal	20	2	3.0	matched	0.05	180	299	164	0.9111	0.8605	0.9445	0.9691	0.6068	0.0212	0.0033	0.01	0.0703
l2	normal	20	2	3.5	matched	0.05	180	299	176	0.9778	0.9443	0.9913	0.9754	0.7134	0.0106	0.0033	0.0067	0.0267
l2	normal	20	2	4.0	matched	0.05	180	299	180	1.0	0.9791	1.0	0.9794	0.7871	0.0071	0.0033	0.0067	0.0167
l2	normal	20	2	5.0	matched	0.05	180	299	180	1.0	0.9791	1.0	0.9858	0.873	0.0065	0.0033	0.0067	0.0133
l2	normal	20	2	6.0	matched	0.05	180	299	180	1.0	0.9791	1.0	0.9895	0.9152	0.0061	0.0033	0.0067	0.0133
l2	normal	20	2	8.0	matched	0.05	180	299	180	1.0	0.9791	1.0	0.994	0.9588	0.006	0.0033	0.0033	0.0133
l2	normal	20	3	1.5	matched	0.05	180	299	13	0.0722	0.0427	0.1196	0.944	0.0337	0.4673	0.0333	0.4617	0.85
l2	normal	20	3	2.0	matched	0.05	180	299	44	0.2444	0.1874	0.3121	0.9559	0.2382	0.2291	0.0067	0.14	0.6602
l2	normal	20	3	2.5	matched	0.05	180	299	123	0.6833	0.6121	0.7469	0.9673	0.4836	0.0529	0.0033	0.0233	0.1802
l2	normal	20	3	3.0	matched	0.05	180	299	157	0.8722	0.8156	0.9133	0.9708	0.5846	0.0219	0.0033	0.0067	0.0768
l2	normal	20	3	3.5	matched	0.05	180	299	179	0.9944	0.9692	0.999	0.9785	0.7151	0.0069	0.0033	0.0033	0.0202
l2	normal	20	3	4.0	matched	0.05	180	299	180	1.0	0.9791	1.0	0.9823	0.7808	0.0049	0.0033	0.0033	0.01
l2	normal	20	3	5.0	matched	0.05	180	299	180	1.0	0.9791	1.0	0.9878	0.8672	0.0037	0.0033	0.0033	0.0067
l2	normal	20	3	6.0	matched	0.05	180	299	180	1.0	0.9791	1.0	0.9906	0.9059	0.0039	0.0033	0.0033	0.0067
l2	normal	20	3	8.0	matched	0.05	180	299	180	1.0	0.9791	1.0	0.9941	0.9465	0.0038	0.0033	0.0033	0.0067
l2	normal	40	1	1.5	matched	0.05	180	299	14	0.0778	0.0469	0.1263	0.929	0.0379	0.4424	0.0398	0.4317	0.8603
l2	normal	40	1	2.0	matched	0.05	180	299	22	0.1222	0.0821	0.1781	0.9317	0.1085	0.3132	0.0165	0.2267	0.7778
l2	normal	40	1	2.5	matched	0.05	180	299	48	0.2667	0.2074	0.3357	0.9371	0.2158	0.1511	0.0067	0.1067	0.4338
l2	normal	40	1	3.0	matched	0.05	180	299	108	0.6	0.5271	0.6688	0.9422	0.3487	0.0584	0.0065	0.0333	0.1935
l2	normal	40	1	3.5	matched	0.05	180	299	156	0.8667	0.8093	0.9087	0.948	0.4563	0.0277	0.0033	0.02	0.07
l2	normal	40	1	4.0	matched	0.05	180	299	177	0.9833	0.9522	0.9943	0.9531	0.5575	0.0181	0.0033	0.0167	0.0402
l2	normal	40	1	5.0	matched	0.05	180	299	179	0.9944	0.9692	0.999	0.9624	0.7034	0.0159	0.0033	0.0133	0.0333
l2	normal	40	1	6.0	matched	0.05	180	299	179	0.9944	0.9692	0.999	0.9707	0.803	0.0156	0.0033	0.0133	0.0367
l2	normal	40	1	8.0	matched	0.05	180	299	179	0.9944	0.9692	0.999	0.9819	0.9018	0.0146	0.0033	0.0133	0.03
l2	normal	40	2	1.5	matched	0.05	180	299	23	0.1278	0.0867	0.1844	0.9335	0.0683	0.392	0.0198	0.3333	0.8967
l2	normal	40	2	2.0	matched	0.05	180	299	45	0.25	0.1924	0.318	0.9397	0.1819	0.2038	0.0067	0.155	0.6507
l2	normal	40	2	2.5	matched	0.05	180	299	111	0.6167	0.5439	0.6846	0.9466	0.3361	0.0654	0.0033	0.0267	0.2568
l2	normal	40	2	3.0	matched	0.05	180	299	170	0.9444	0.9008	0.9695	0.9529	0.4802	0.0152	0.0033	0.0067	0.0533
l2	normal	40	2	3.5	matched	0.05	180	299	180	1.0	0.9791	1.0	0.9608	0.609	0.0056	0.0033	0.0033	0.0133
l2	normal	40	2	4.0	matched	0.05	180	299	180	1.0	0.9791	1.0	0.9668	0.6998	0.0044	0.0033	0.0033	0.0068
l2	normal	40	2	5.0	matched	0.05	180	299	180	1.0	0.9791	1.0	0.9756	0.8156	0.004	0.0033	0.0033	0.0067
l2	normal	40	2	6.0	matched	0.05	180	299	180	1.0	0.9791	1.0	0.9823	0.884	0.004	0.0033	0.0033	0.0067
l2	normal	40	2	8.0	matched	0.05	180	299	180	1.0	0.9791	1.0	0.9899	0.9449	0.0039	0.0033	0.0033	0.0067
l2	normal	40	3	1.5	matched	0.05	180	299	23	0.1278	0.0867	0.1844	0.9347	0.0608	0.4061	0.02	0.375	0.8903
l2	normal	40	3	2.0	matched	0.05	180	299	56	0.3111	0.248	0.3821	0.9458	0.2251	0.157	0.0033	0.0933	0.5668
l2	normal	40	3	2.5	matched	0.05	180	299	143	0.7944	0.7296	0.847	0.9553	0.415	0.0298	0.0033	0.0133	0.127
l2	normal	40	3	3.0	matched	0.05	180	299	177	0.9833	0.9522	0.9943	0.9607	0.5536	0.0076	0.0033	0.0033	0.02
