phase	design	scenario	n	repetitions	n_perm	n_bootstrap	studentized_rejection	studentized_wilson_low	studentized_wilson_high	mean_profile_effect	median_spacing_risk	q10_spacing_risk	q90_spacing_risk	median_valley_density_iqr	q10_valley_density_iqr	q90_valley_density_iqr	median_sqrt_n_bootstrap_spread	q10_sqrt_n_bootstrap_spread	q90_sqrt_n_bootstrap_spread	spacing_warning_rate	spacing_rejection_among_pass	spacing_rejection_retained_per_all	spacing_warning_among_rejections	valley_density_warning_rate	valley_density_rejection_among_pass	valley_density_rejection_retained_per_all	valley_density_warning_among_rejections	structural_warning_rate	structural_rejection_among_pass	structural_rejection_retained_per_all	structural_warning_among_rejections	bootstrap_warning_rate	bootstrap_rejection_among_pass	bootstrap_rejection_retained_per_all	bootstrap_warning_among_rejections
pilot	bridge	sigma_0.1_bridge_0	80	150	99	199	0.7733333333333333	0.6999980606806022	0.8330182057315159	0.8618118575608488	0.8225654905299089	0.799062141053885	0.8476264914579443	0.15555121117406948	0.14809942349703206	0.16418578302083744	3.152438724456802	1.0295950473463418	4.77843477069673	1.0	nan	0.0	1.0	0.9333333333333333	1.0	0.06666666666666667	0.9137931034482759	1.0	nan	0.0	1.0	0.6866666666666666	1.0	0.31333333333333335	0.5948275862068966
pilot	bridge	sigma_0.1_bridge_0.01	80	150	99	199	0.6933333333333334	0.6154815486776256	0.7615299568333848	0.7195337922924513	0.809655781816069	0.6875167390488991	0.8427789890443189	0.15666841016894936	0.15160034021235191	0.16814748983706432	3.296346856112531	1.2198720185735492	4.686021340585936	0.98	1.0	0.02	0.9711538461538461	0.96	1.0	0.04	0.9423076923076923	1.0	nan	0.0	1.0	0.7733333333333333	1.0	0.22666666666666666	0.6730769230769231
pilot	bridge	sigma_0.1_bridge_0.025	80	150	99	199	0.6466666666666666	0.5673813792235438	0.7186273490951536	0.6681746838321728	0.7164502373936921	0.4314093049782976	0.8293531160769249	0.16100238887838103	0.15462305939000004	0.18471933713031782	3.105798850355007	1.271680156709011	4.404340439024685	0.8133333333333334	0.5	0.09333333333333334	0.8556701030927835	0.9533333333333334	1.0	0.04666666666666667	0.9278350515463918	0.9933333333333333	1.0	0.006666666666666667	0.9896907216494846	0.8066666666666666	1.0	0.19333333333333333	0.7010309278350515
pilot	bridge	sigma_0.1_bridge_0.05	80	150	99	199	0.4866666666666667	0.40801711922387535	0.5659820872926068	0.5005927860347587	0.5186784451075355	0.34343587527383895	0.7613978422381437	0.17543857775617888	0.16009004201833785	0.19910281633769003	2.929494065535382	1.7937660456918796	4.149491963490224	0.5133333333333333	0.4657534246575342	0.22666666666666666	0.5342465753424658	0.9733333333333334	1.0	0.02666666666666667	0.9452054794520548	0.9866666666666667	1.0	0.013333333333333334	0.9726027397260274	0.8333333333333334	0.92	0.15333333333333332	0.684931506849315
pilot	bridge	sigma_0.1_bridge_0.1	80	150	99	199	0.2733333333333333	0.20834143203423522	0.34964507874595946	0.379469053241533	0.34222661198776744	0.24670234319965842	0.5050646172642673	0.20476200952913112	0.18180846890455857	0.24386922022154475	2.468522319978626	1.5590377126169406	2.912490358235687	0.12	0.24242424242424243	0.21333333333333335	0.21951219512195122	0.9066666666666666	0.7142857142857143	0.06666666666666667	0.7560975609756098	0.92	0.6666666666666666	0.05333333333333334	0.8048780487804879	0.78	0.48484848484848486	0.10666666666666667	0.6097560975609756
pilot	bridge	sigma_0.1_bridge_0.2	80	150	99	199	0.17333333333333334	0.1211206322638728	0.24185992738993722	0.23835168598756426	0.23084182178377965	0.16996194103193313	0.31112478825464357	0.25528674359939385	0.22034787750745605	0.29953473870787395	1.7475075446161261	0.7395276836157797	2.499427395004076	0.013333333333333334	0.16216216216216217	0.16	0.07692307692307693	0.4066666666666667	0.1797752808988764	0.10666666666666667	0.38461538461538464	0.41333333333333333	0.17045454545454544	0.1	0.4230769230769231	0.4	0.1111111111111111	0.06666666666666667	0.6153846153846154
pilot	bridge	sigma_0.1_bridge_0	320	150	99	199	0.6066666666666667	0.5267662048449178	0.681240143023226	0.6937797264771729	0.7797746977318113	0.757386354153598	0.8019158967356272	0.03796807141292473	0.03678525388646152	0.03893823973157403	4.641458925714614	2.322201133509855	6.180847492414589	1.0	nan	0.0	1.0	1.0	nan	0.0	1.0	1.0	nan	0.0	1.0	0.94	1.0	0.06	0.9010989010989011
pilot	bridge	sigma_0.1_bridge_0.01	320	150	99	199	0.6133333333333333	0.5334979124018292	0.6875088322080735	0.6487670040040301	0.5378908952632431	0.3882064741367175	0.7488560537729547	0.043088593139695305	0.038505792416469606	0.050865919410017606	4.306583430865222	2.2314880782033493	5.57010432078019	0.6266666666666667	0.7142857142857143	0.26666666666666666	0.5652173913043478	1.0	nan	0.0	1.0	1.0	nan	0.0	1.0	0.94	1.0	0.06	0.9021739130434783
pilot	bridge	sigma_0.1_bridge_0.025	320	150	99	199	0.41333333333333333	0.3376534099233595	0.49334143243377376	0.43645993784236575	0.3559636653791248	0.2475254490469874	0.5158454991623561	0.053818396441991004	0.04585036696363564	0.06319432539939566	3.920807681239511	2.8501461474745793	4.887174669660277	0.12	0.3939393939393939	0.3466666666666667	0.16129032258064516	1.0	nan	0.0	1.0	1.0	nan	0.0	1.0	0.98	1.0	0.02	0.9516129032258065
pilot	bridge	sigma_0.1_bridge_0.05	320	150	99	199	0.31333333333333335	0.24454914102020436	0.3914397502105443	0.3359116580115399	0.21272170789851957	0.14779070933900335	0.30792954643089493	0.07464079486678835	0.061116821272686146	0.08799629119245576	3.449119616206801	2.312233240746069	4.133237744561667	0.006666666666666667	0.31543624161073824	0.31333333333333335	0.0	1.0	nan	0.0	1.0	1.0	nan	0.0	1.0	0.9333333333333333	0.6	0.04	0.8723404255319149
