phase	design	scenario	n	repetitions	n_perm	n_bootstrap	studentized_rejection	studentized_wilson_low	studentized_wilson_high	mean_profile_effect	median_spacing_risk	q10_spacing_risk	q90_spacing_risk	rejection_auc_spacing_risk	median_median_density_iqr	q10_median_density_iqr	q90_median_density_iqr	rejection_auc_median_density_iqr	median_valley_density_iqr	q10_valley_density_iqr	q90_valley_density_iqr	rejection_auc_valley_density_iqr	median_bootstrap_reference_spread	q10_bootstrap_reference_spread	q90_bootstrap_reference_spread	rejection_auc_bootstrap_reference_spread	median_bootstrap_large_shift_rate	q10_bootstrap_large_shift_rate	q90_bootstrap_large_shift_rate	rejection_auc_bootstrap_large_shift_rate	median_sqrt_n_bootstrap_reference_spread	q10_sqrt_n_bootstrap_reference_spread	q90_sqrt_n_bootstrap_reference_spread
pilot	radial_path	radial_log_sd_0.1	40	150	99	79	0.8866666666666667	0.825997250162395	0.928025760859626	0.8136024401321377	0.8559917781419826	0.8305061191723482	0.8865100761694389	0.6797877045555064	0.8161855449491137	0.24635604801503558	0.9819145742525802	0.07120743034055728	0.2430992912237095	0.23117182279798965	0.9499566003567367	0.5975232198142415	0.40070156357152853	0.10888970535359625	0.6405694129941593	0.17868199911543564	0.3037974683544304	0.07468354430379748	0.6708860759493671	0.07828394515701018	2.534259205753569	0.6886789653239892	4.051316688997205
pilot	radial_path	radial_log_sd_0.2	40	150	99	79	0.3933333333333333	0.318759856976774	0.47323379515508224	0.4892642977630027	0.7321203050337262	0.6776765904704903	0.7898455177732009	0.6381076550568076	0.7018770653080448	0.28360343785793785	0.8315481629056205	0.06891413671074688	0.27347647322817575	0.2594768639814595	0.7285651849015484	0.24827714658223132	0.28061182679541125	0.19971099619452887	0.33841264895310597	0.40994598621717265	0.21518987341772153	0.12531645569620253	0.33037974683544297	0.1687465077295586	1.7747450221083354	1.2630832435118617	2.1403095194056223
pilot	radial_path	radial_log_sd_0.4	40	150	99	79	0.09333333333333334	0.05641186747708652	0.1505639312756158	0.1151993541984757	0.5310142467539314	0.45513083504361485	0.6143729713463233	0.6423319327731093	0.5144110296883633	0.39069968077013884	0.6025406138403696	0.4380252100840336	0.35915905277528604	0.3304964778296257	0.45078118540657114	0.26733193277310924	0.16585058775118156	0.1324479131479909	0.22716412552679122	0.5178571428571429	0.0759493670886076	0.05063291139240506	0.13924050632911392	0.3442752100840336	1.0489312171427139	0.8376741537676268	1.4367120786901149
pilot	radial_path	radial_log_sd_0.8	40	150	99	79	0.04666666666666667	0.022786549161261972	0.09318647239912747	0.04581488141581901	0.3383760806030856	0.24619831327957503	0.48831495213488946	0.38961038961038963	0.41416441473080456	0.35094188183410757	0.4531422663684956	0.6933066933066933	0.3905221594981413	0.3357425319428788	0.43243685845600977	0.7062937062937062	0.1871938280079165	0.15572726346657492	0.2293186764955657	0.7112887112887113	0.0759493670886076	0.0379746835443038	0.11392405063291139	0.5919080919080919	1.1839177208616725	0.9849056926790106	1.450338655482614
pilot	radial_path	radial_log_sd_0.1	80	150	99	79	0.7533333333333333	0.6785967057397266	0.8154183704471145	0.7912922745885824	0.8267846492139466	0.7996392162567874	0.8529162976910573	0.5434106673044726	0.8728146829765289	0.1599389296922097	0.9954682795684201	0.018177469504903135	0.15594373485859714	0.15028220706280818	0.16055957504785318	0.6278402296101411	0.3816397463467982	0.1339216799008673	0.5362631266913038	0.12891652714661564	0.27848101265822783	0.08860759493670886	0.5189873417721519	0.040540540540540536	3.4134896629888716	1.1978319196772265	4.796483220433349
pilot	radial_path	radial_log_sd_0.2	80	150	99	79	0.14666666666666667	0.0988943721258812	0.2120846005608929	0.2791192478204035	0.6839945646610539	0.6270185519568527	0.7260061127995361	0.5855823863636364	0.7111256098064243	0.5836442216231638	0.8511730965798746	0.05113636363636364	0.19401754656163822	0.1854408602884326	0.20577076790563859	0.5014204545454546	0.19618300309754577	0.11910056331546497	0.24694708979950325	0.6303267045454546	0.10126582278481013	0.0379746835443038	0.15316455696202524	0.18909801136363635	1.7547141238246566	1.0652678229275896	2.2087619185497367
pilot	radial_path	radial_log_sd_0.4	80	150	99	79	0.013333333333333334	0.0036641291512270503	0.04730690870036751	0.05149223472989043	0.462419590615234	0.4048210885603254	0.5285053674315819	0.5202702702702703	0.5094236190201074	0.4003910941815613	0.6033237255486171	0.8209459459459459	0.30321639586638516	0.284622633334681	0.329214993992649	0.6081081081081081	0.10447616069525703	0.08863562194820669	0.1373165122746841	0.5506756756756757	0.012658227848101266	0.0	0.0379746835443038	0.4898648648648649	0.9344631893711457	0.7927811036166501	1.228196223517512
pilot	radial_path	radial_log_sd_0.8	80	150	99	79	0.05333333333333334	0.027269539920193826	0.1017038783819546	0.0031384837817280955	0.23495703883758112	0.17933431992476434	0.3036433718037269	0.2755281690140845	0.4331562672424948	0.40191536358112406	0.46250703414316224	0.5422535211267606	0.40435903100026815	0.37839747958906533	0.4299313589355288	0.5008802816901409	0.12709396386998717	0.10894736333264021	0.1507803472729741	0.4533450704225352	0.012658227848101266	0.0	0.02531645569620253	0.5154049295774648	1.1367629709727742	0.9744548415246063	1.3486204246935805
pilot	radial_path	radial_log_sd_0.1	160	150	99	79	0.7666666666666667	0.6928421847843321	0.827173684886027	0.8140101728030745	0.8012624538653539	0.77579765305647	0.8230647392955399	0.47403726708074534	0.9642456473643677	0.8628413750419168	1.0773157981143897	0.036521739130434785	0.08509806660846553	0.08152740830346963	0.08720774494581267	0.6872049689440993	0.3052761886762201	0.10970660638480394	0.4292653210681287	0.11925465838509317	0.22784810126582278	0.0759493670886076	0.34177215189873417	0.11304347826086958	3.861472286528632	1.3876910021742048	5.429824540395001
pilot	radial_path	radial_log_sd_0.2	160	150	99	79	0.10666666666666667	0.06673036965207342	0.16624622258414684	0.21329005064516143	0.6446561746048848	0.610816580462818	0.6795257486610706	0.710820895522388	0.74873829687205	0.6349635581807707	0.870598641293121	0.10074626865671642	0.12554596085501746	0.11831346391241906	0.1325085395067502	0.7280783582089553	0.11782045362388988	0.06945519581165073	0.1928626538921361	0.7737873134328358	0.02531645569620253	0.0	0.05063291139240506	0.2534981343283582	1.4903239536229262	0.878546456391214	2.4395410475355526
