phase	design	scenario	n	repetitions	n_perm	n_bootstrap	studentized_rejection	studentized_wilson_low	studentized_wilson_high	mean_profile_effect	median_spacing_risk	q10_spacing_risk	q90_spacing_risk	median_valley_density_iqr	q10_valley_density_iqr	q90_valley_density_iqr	median_sqrt_n_bootstrap_spread	q10_sqrt_n_bootstrap_spread	q90_sqrt_n_bootstrap_spread	spacing_warning_rate	spacing_rejection_among_pass	spacing_rejection_retained_per_all	spacing_warning_among_rejections	valley_density_warning_rate	valley_density_rejection_among_pass	valley_density_rejection_retained_per_all	valley_density_warning_among_rejections	structural_warning_rate	structural_rejection_among_pass	structural_rejection_retained_per_all	structural_warning_among_rejections	bootstrap_warning_rate	bootstrap_rejection_among_pass	bootstrap_rejection_retained_per_all	bootstrap_warning_among_rejections
pilot	sigma	sigma_0.1	80	150	99	199	0.8466666666666667	0.7804201682766676	0.8956004622947993	0.8559155923689488	0.8259916230232327	0.7942384044435545	0.8519625305170093	0.15550272625358602	0.14674948780284125	0.16069048924658427	3.13662731027235	1.1262648483097488	4.774772546429896	1.0	nan	0.0	1.0	0.9533333333333334	1.0	0.04666666666666667	0.9448818897637795	1.0	nan	0.0	1.0	0.6933333333333334	1.0	0.30666666666666664	0.6377952755905512
pilot	sigma	sigma_0.12	80	150	99	199	0.6466666666666666	0.5673813792235438	0.7186273490951536	0.7118609609652286	0.7960400608004816	0.7631230055593882	0.8259643422882174	0.16155120193106337	0.15347146814237453	0.17808761777526508	2.8111734285894734	1.161365942669524	4.001920825968707	1.0	nan	0.0	1.0	0.9333333333333333	1.0	0.06666666666666667	0.8969072164948454	1.0	nan	0.0	1.0	0.7266666666666667	1.0	0.2733333333333333	0.5773195876288659
pilot	sigma	sigma_0.14	80	150	99	199	0.4533333333333333	0.375824986079277	0.5331722367284102	0.5872889473917142	0.763074359491354	0.7329400292100106	0.7886944068231152	0.16912158050414489	0.16197662264652424	0.1795461202831057	2.5067416399736477	1.517803208303275	3.0083204050418315	1.0	nan	0.0	1.0	0.94	1.0	0.06	0.8676470588235294	1.0	nan	0.0	1.0	0.8133333333333334	0.9642857142857143	0.18	0.6029411764705882
pilot	sigma	sigma_0.16	80	150	99	199	0.36	0.28756583250443635	0.43942583591862505	0.49981254751031	0.7387950362748354	0.6931189320690804	0.774642962305644	0.17753310164589367	0.16937878218095923	0.8016766349305399	2.121640716259745	1.4083939204747993	2.6195804212919582	1.0	nan	0.0	1.0	0.8933333333333333	1.0	0.10666666666666667	0.7037037037037037	1.0	nan	0.0	1.0	0.64	0.5370370370370371	0.19333333333333333	0.46296296296296297
pilot	sigma	sigma_0.18	80	150	99	199	0.24666666666666667	0.18458162955288543	0.3214032942602734	0.4204540377225868	0.7066494339169879	0.6554256330969092	0.7492422071075664	0.18414620786942726	0.17613122352487487	0.216835143560953	1.9957006475039947	1.3359119818019067	2.471979507330895	1.0	nan	0.0	1.0	0.9266666666666666	1.0	0.07333333333333333	0.7027027027027027	1.0	nan	0.0	1.0	0.5	0.28	0.14	0.43243243243243246
pilot	sigma	sigma_0.2	80	150	99	199	0.22666666666666666	0.1669817942684841	0.3000019393193978	0.3222704987189272	0.6868290691713297	0.6475037720500256	0.7302062299275548	0.19365009526283358	0.1840578755537249	0.21045471925149284	1.7588204795168916	1.0598842981651055	2.23481620462015	1.0	nan	0.0	1.0	0.9266666666666666	1.0	0.07333333333333333	0.6764705882352942	1.0	nan	0.0	1.0	0.34	0.21212121212121213	0.14	0.38235294117647056
pilot	sigma	sigma_0.25	80	150	99	199	0.08	0.04635364151865291	0.13462136375053146	0.20076860578280328	0.6136456828934784	0.5702839241303977	0.6654693243491058	0.2188136265011358	0.20673120300227973	0.242138493775596	1.3630706379748108	0.8652035895765566	1.9329858177847472	1.0	nan	0.0	1.0	0.9333333333333333	0.8	0.05333333333333334	0.3333333333333333	1.0	nan	0.0	1.0	0.07333333333333333	0.07194244604316546	0.06666666666666667	0.16666666666666666
pilot	sigma	sigma_0.3	80	150	99	199	0.05333333333333334	0.027269539920193826	0.1017038783819546	0.12165259134415919	0.5637829207360221	0.5154391147050492	0.6257069387905562	0.2512689553500515	0.23124273839191484	0.271895176528028	0.9788068803145293	0.7835871776077721	1.5250573146078672	0.9533333333333334	0.0	0.0	1.0	0.47333333333333333	0.08860759493670886	0.04666666666666667	0.125	0.96	0.0	0.0	1.0	0.013333333333333334	0.05405405405405406	0.05333333333333334	0.0
pilot	sigma	sigma_0.1	320	150	99	199	0.7533333333333333	0.6785967057397266	0.8154183704471145	0.7366080072394477	0.780602121790255	0.7585565381729192	0.803393611016141	0.03793947153319367	0.037109937259582504	0.03889531602475772	4.378521127458571	2.277282114620138	5.943549419524477	1.0	nan	0.0	1.0	1.0	nan	0.0	1.0	1.0	nan	0.0	1.0	0.9266666666666666	1.0	0.07333333333333333	0.9026548672566371
pilot	sigma	sigma_0.12	320	150	99	199	0.42	0.3439800445299174	0.5000151945689748	0.5186468186234038	0.7434378228957665	0.7163505887008262	0.7688359736425449	0.04269969765810404	0.04104833673809989	0.044115158966521135	3.4967845190456384	2.716403937937507	3.9746727946164135	1.0	nan	0.0	1.0	1.0	nan	0.0	1.0	1.0	nan	0.0	1.0	0.9666666666666667	1.0	0.03333333333333333	0.9206349206349206
pilot	sigma	sigma_0.14	320	150	99	199	0.29333333333333333	0.22636420924618766	0.37062349175928394	0.3907935456290383	0.7066099778082959	0.6793069205174515	0.7348284011272042	0.04833783660183121	0.04624417491804131	0.05069180494792456	2.5986031145447503	1.7593172218470854	3.30317289115137	1.0	nan	0.0	1.0	1.0	nan	0.0	1.0	1.0	nan	0.0	1.0	0.8	0.1	0.02	0.9318181818181818
pilot	sigma	sigma_0.16	320	150	99	199	0.08	0.04635364151865291	0.13462136375053146	0.21849017081745653	0.6754740247033557	0.6432737709975207	0.7024256564134057	0.05497827077081896	0.052470808795233824	0.05765405913649911	1.9329204891152503	0.9814035623654527	3.0223403805481386	1.0	nan	0.0	1.0	1.0	nan	0.0	1.0	1.0	nan	0.0	1.0	0.49333333333333335	0.02631578947368421	0.013333333333333334	0.8333333333333334
pilot	sigma	sigma_0.18	320	150	99	199	0.07333333333333333	0.041438815160384994	0.12653579336704038	0.14026417032173494	0.6334619744322529	0.6066900414444028	0.6671204403835272	0.06270035797640824	0.059131385376441054	0.0657291137699867	1.1935850131198462	0.8393280647751148	2.4217598336365005	1.0	nan	0.0	1.0	1.0	nan	0.0	1.0	1.0	nan	0.0	1.0	0.24666666666666667	0.017699115044247787	0.013333333333333334	0.8181818181818182
pilot	sigma	sigma_0.2	320	150	99	199	0.02	0.006824751322967459	0.05714668327038608	0.08303850651126247	0.6122756516665333	0.5761156225642908	0.6378905524323818	0.07093019473837588	0.06703563416375125	0.07585016770390972	0.9180071946489509	0.753004124591954	2.1346069433937456	1.0	nan	0.0	1.0	1.0	nan	0.0	1.0	1.0	nan	0.0	1.0	0.12	0.0	0.0	1.0
pilot	sigma	sigma_0.25	320	150	99	199	0.02	0.006824751322967459	0.05714668327038608	0.057994992350315626	0.5459721712064882	0.5056975995948031	0.5752642629289157	0.09701086920725768	0.0901480035578916	0.10212852097013088	0.8221558285090403	0.7332309378079649	1.118510496408925	0.9466666666666667	0.0	0.0	1.0	1.0	nan	0.0	1.0	1.0	nan	0.0	1.0	0.006666666666666667	0.013422818791946308	0.013333333333333334	0.3333333333333333
pilot	sigma	sigma_0.3	320	150	99	199	0.03333333333333333	0.01432043189809255	0.07565179617877894	0.038415747470600684	0.4774161447732207	0.4431583942122293	0.5155304480996202	0.12723092298382838	0.12001520428279785	0.13364399041067912	0.8097626757401084	0.7366599058876168	0.9096552952140873	0.2	0.041666666666666664	0.03333333333333333	0.0	1.0	nan	0.0	1.0	1.0	nan	0.0	1.0	0.0	0.03333333333333333	0.03333333333333333	0.0
