kind	background	overlap	count	frequency	conditional_rejection_rate
l2	normal	0	2437	0.8123	0.0004
l2	normal	1	518	0.1727	0.1776
l2	normal	2	45	0.015	1.0
l2	t3	0	2414	0.8047	0.0186
l2	t3	1	541	0.1803	0.1109
l2	t3	2	45	0.015	0.6889
l2	t2	0	2414	0.8047	0.0286
l2	t2	1	553	0.1843	0.0633
l2	t2	2	33	0.011	0.2727
l1	normal	0	2444	0.8147	0.0
l1	normal	1	523	0.1743	0.2027
l1	normal	2	33	0.011	1.0
l1	t3	0	2413	0.8043	0.0236
l1	t3	1	550	0.1833	0.1309
l1	t3	2	37	0.0123	0.5135
l1	t2	0	2417	0.8057	0.0331
l1	t2	1	557	0.1857	0.079
l1	t2	2	26	0.0087	0.2692
