n	method	scale	replications	valid	failures	coverage_count	coverage	wilson_low	wilson_high	mean_interval_width	coverage_difference_from_plugin	paired_difference_mcse	identity_mean_u	identity_mean_minus_u_delta	identity_mean_remainder	identity_max_error	below_truth_miss_count	below_truth_miss_rate	below_truth_wilson_low	below_truth_wilson_high	above_truth_miss_count	above_truth_miss_rate	above_truth_wilson_low	above_truth_wilson_high	population_asymptotic_se	empirical_sd_over_population_se	error_se_correlation	z_mean	z_sd	z_q025	z_q975	scope
160	complete_kde	reported_plugin	2000	2000	0	1716	0.858	0.8420154493218232	0.8726119448247996	0.40899101330088494	0.0	0.0	-0.05780624213270474	-0.1404580350749456	-0.09409277992462205	8.881784197001252e-16	223	0.1115	0.0984436045333179	0.1260459412042156	61	0.0305	0.02381739549016912	0.03898271190692737	0.13533163054585062	0.9181471201580939	0.5970688555510653	-0.2923570571322724	1.3375589535944081	-3.2784432527700096	2.0502897779148994	post hoc diagnostic on frozen samples; not an interval recommendation
160	complete_kde	infeasible_population_asymptotic	2000	2000	0	1935	0.9675	0.9587882596181988	0.9744193011738297	0.5304902436778954	0.1095	0.007502200777655456	-0.05780624213270474	0.0	0.0	0.0	16	0.008	0.0049302968532159265	0.012956077671536958	49	0.0245	0.01858163028213664	0.032241481682334906	0.13533163054585062	0.9181471201580939	0.5970688555510653	-0.05780624213270474	0.9181471201580939	-1.6651464364035016	1.9242196156439473	post hoc diagnostic on frozen samples; not an interval recommendation
160	oracle_fixed_reference	reported_plugin	2000	2000	0	1697	0.8485	0.832119542548813	0.8635442754961538	0.40516586964811	0.0	0.0	-0.06775594766002586	-0.14778765735052093	-0.11098326662929424	1.5543122344752192e-15	240	0.12	0.10648169331038138	0.13497526262337084	63	0.0315	0.02469804258437448	0.0400982307181595	0.13544199512787103	0.9230311195611666	0.5957732196430949	-0.32652687163984095	1.391928902289172	-3.471633226168802	2.0911592219774513	post hoc diagnostic on frozen samples; not an interval recommendation
160	oracle_fixed_reference	infeasible_population_asymptotic	2000	2000	0	1927	0.9635	0.9543526494507533	0.9708702477195252	0.5309228648897533	0.115	0.007643082385672489	-0.06775594766002586	0.0	0.0	0.0	18	0.009	0.005700499728577407	0.014182040701612969	55	0.0275	0.021188498165677007	0.03562311151510701	0.13544199512787103	0.9230311195611666	0.5957732196430949	-0.06775594766002586	0.9230311195611665	-1.6741586748881832	1.968522940027441	post hoc diagnostic on frozen samples; not an interval recommendation
640	complete_kde	reported_plugin	2000	2000	0	1823	0.9115	0.8982505492332389	0.9231717208542898	0.23579831031234616	0.0	0.0	-0.03656545851942536	-0.13534004223680443	-0.015045945269118169	6.661338147750939e-16	139	0.0695	0.059160340573897574	0.08149023713526121	38	0.019	0.013873784918301425	0.025970414566263898	0.06766581527292531	0.9878681180410749	0.5909630810558997	-0.18695144602534797	1.1561254008951707	-2.597642982429701	1.8839053354441322	post hoc diagnostic on frozen samples; not an interval recommendation
640	complete_kde	infeasible_population_asymptotic	2000	2000	0	1918	0.959	0.9493936413450841	0.9668465092507255	0.2652451218389477	0.0475	0.0061758356092707295	-0.03656545851942536	0.0	0.0	0.0	20	0.01	0.006482767876552687	0.015395938459075187	62	0.031	0.024257462141641817	0.03954072820817342	0.06766581527292531	0.9878681180410749	0.5909630810558997	-0.03656545851942536	0.9878681180410751	-1.7521554977233487	2.0647844312651245	post hoc diagnostic on frozen samples; not an interval recommendation
640	oracle_fixed_reference	reported_plugin	2000	2000	0	1810	0.905	0.8913619885095446	0.9170852031926405	0.2354469872741091	0.0	0.0	-0.03600343041129887	-0.13697426640160387	-0.017100678529914433	6.661338147750939e-16	150	0.075	0.0642536480572273	0.08737584213183769	40	0.02	0.014721726201265444	0.027118639188737373	0.06772099756393551	0.9891611642790022	0.5930090343775759	-0.19007837534281719	1.1652441090604557	-2.592440559584193	1.8724512597624376	post hoc diagnostic on frozen samples; not an interval recommendation
640	oracle_fixed_reference	infeasible_population_asymptotic	2000	2000	0	1916	0.958	0.9482955994324269	0.9659483852579451	0.26546143244487663	0.053	0.006373053263856498	-0.03600343041129887	0.0	0.0	0.0	23	0.0115	0.007675227286212753	0.01719772790757136	61	0.0305	0.02381739549016912	0.03898271190692737	0.06772099756393551	0.9891611642790022	0.5930090343775759	-0.03600343041129887	0.9891611642790024	-1.7940158577514265	2.077032362395256	post hoc diagnostic on frozen samples; not an interval recommendation
2560	complete_kde	reported_plugin	2000	2000	0	1854	0.927	0.9147622011152128	0.9376006405065973	0.12644998698574766	0.0	0.0	-0.024440723919467052	-0.10102367827535276	0.004354425511812758	8.881784197001252e-16	119	0.0595	0.04995260683841223	0.07073631181637158	27	0.0135	0.009294493997659236	0.019570793006999862	0.033832907636462656	0.9866018684473015	0.5497219761194828	-0.12110997668300706	1.05726793195295	-2.3440118325571038	1.6653682110844223	post hoc diagnostic on frozen samples; not an interval recommendation
2560	complete_kde	infeasible_population_asymptotic	2000	2000	0	1916	0.958	0.9482955994324269	0.9659483852579451	0.13262256091947386	0.031	0.005247215131221194	-0.024440723919467052	0.0	0.0	0.0	39	0.0195	0.014297256348690845	0.026545026088593226	45	0.0225	0.01685787548400037	0.02997290466959618	0.033832907636462656	0.9866018684473015	0.5497219761194828	-0.024440723919467052	0.9866018684473015	-1.8741044740177992	1.9254350195511567	post hoc diagnostic on frozen samples; not an interval recommendation
