tau	n	from_stage	to_stage	paired_valid	reject_stage_aware_difference	reject_stage_aware_paired_mcse	reject_direct_only_difference	reject_direct_only_paired_mcse	estimate_difference	estimate_paired_mcse	reference_x_mse_difference	reference_x_mse_paired_mcse	reference_y_mse_difference	reference_y_mse_paired_mcse
0.1	80	population_reference	population_scale	2000	0.1515	0.010503763112321216	0.6065	0.011571336263001594	0.37978572510475217	0.006392295721209846	0.013072658566175155	0.0004157928073735976	0.013180475861615021	0.0004203646621076586
0.1	80	population_scale	population_median	2000	0.0	0.0	0.0	0.0	-5.1384677762777995e-18	3.9090727262562976e-18	7.999882079682044e-21	1.7625250381085577e-19	2.7761794889629007e-19	1.7475471300313733e-19
0.1	80	population_median	full_fit	2000	0.5315	0.011160921022883347	0.225	0.009366502318520048	0.44025359088651383	0.005740540902457437	0.242510536133431	0.004073047091709928	0.24278961989289524	0.0040284913025182756
0.1	80	population_scale	full_fit	2000	0.5315	0.011160921022883347	0.225	0.009366502318520048	0.44025359088651383	0.005740540902457437	0.242510536133431	0.004073047091709928	0.24278961989289524	0.0040284913025182756
0.1	640	population_reference	population_scale	2000	-0.0195	0.006211212810900231	0.435	0.011851486356758471	0.11225589893686135	0.0027749461959442356	0.0016102164909606866	5.1247598009226325e-05	0.0016111048254286425	5.061681098806707e-05
0.1	640	population_scale	population_median	2000	0.0	0.0	0.0	0.0	1.4942372697241552e-18	3.3137091907831216e-18	2.9125887050889744e-20	5.571767566018288e-20	1.575291096187287e-21	5.607061153053659e-20
0.1	640	population_median	full_fit	2000	0.518	0.011220559276401403	0.3395	0.010685362112803704	0.518944348292323	0.006577510310379739	0.07621581301190516	0.0018140232798298029	0.07607408754473288	0.0018036251592547302
0.1	640	population_scale	full_fit	2000	0.518	0.011220559276401403	0.3395	0.010685362112803704	0.518944348292323	0.006577510310379739	0.07621581301190518	0.0018140232798298029	0.07607408754473288	0.0018036251592547302
0.4	80	population_reference	population_scale	2000	-0.0265	0.005737188568134496	0.085	0.00814989020509955	0.06506429607550503	0.0017704597132768571	0.0177491314318614	0.0005747276502157729	0.017598098579173795	0.0005585990802013365
0.4	80	population_scale	population_median	2000	-0.0005	0.0011182576850283941	0.0005	0.0008661698015184618	-5.350613865359989e-05	3.739044666389808e-05	-1.5436270469069758e-05	1.7037134290208354e-05	-4.647700396270336e-05	1.646960408738851e-05
0.4	80	population_median	full_fit	2000	-0.0055	0.0016541593398342195	0.017	0.002976563448842052	0.007791521128044074	0.0005327084605376222	0.003315412330137106	0.0003544841472461142	0.003587200381622369	0.00037777815381554364
0.4	80	population_scale	full_fit	2000	-0.006	0.0018664784678467277	0.0175	0.0030168569261495356	0.007738014989390475	0.0005335011930958424	0.0032999760596680366	0.00035439682947104506	0.0035407233776596652	0.00037726456938597477
0.4	640	population_reference	population_scale	2000	-0.011	0.0033830788656644783	0.017	0.004457065482619497	0.00953281398733865	0.00030509726768079305	0.0022899030272999837	7.459131255612123e-05	0.0022686355107545885	7.409929674322539e-05
0.4	640	population_scale	population_median	2000	0.0	0.0	0.0	0.0	-5.353844011235165e-06	2.44541711590088e-06	-7.817365454957112e-07	7.974741504568178e-07	-1.3748660480967733e-06	7.34469618898938e-07
0.4	640	population_median	full_fit	2000	0.0	0.0	-0.0015	0.0008655920660521364	-0.00013475237594339444	7.78419853634113e-06	-1.7462716057980027e-05	2.5138905991324955e-06	-2.384283234861516e-05	2.325495613456378e-06
0.4	640	population_scale	full_fit	2000	0.0	0.0	-0.0015	0.0008655920660521364	-0.00014010621995462963	7.930673431554289e-06	-1.8244452603475735e-05	2.5715586218665878e-06	-2.5217698396711932e-05	2.3785356232128237e-06
