tau	n	replication	root_seed	sign_mean	sample_mean_x	sample_mean_y	sample_median_x	sample_median_y	stage	estimate	historical_C	se_stage_aware	se_direct_only	reject_stage_aware	reject_direct_only	reference_x	reference_y	scale_x	scale_y	active_fraction_x	active_fraction_y	score_residual_max	root_gap_in_scale_units	error
0.1	80	0	2026090901	0.075	0.07960248770932943	0.07119099988489792	0.8608272601674625	0.8702604377040957	population_reference	0.010887154448464184	1.0001133656298051	0.07851258050745273	0.07851258050745273	0	0	0.0	0.0	1.4826	1.4826	1.0	1.0	0.05369114239129195	0.0	
0.1	80	0	2026090901	0.075	0.07960248770932943	0.07119099988489792	0.8608272601674625	0.8702604377040957	population_scale	0.35757727509761944	1.0057847704438947	0.6664747066244121	0.08026792487124712	0	1	0.07960248770932941	0.07119099988489794	1.4826	1.4826	1.0	1.0	2.2204460492503132e-17	0.0	
0.1	80	0	2026090901	0.075	0.07960248770932943	0.07119099988489792	0.8608272601674625	0.8702604377040957	population_median	0.35757727509761944	1.0057847704438947	0.6664747066244121	0.08026792487124712	0	1	0.07960248770932941	0.07119099988489795	1.4901428600972744	1.483920866283028	1.0	1.0	2.7755575615628914e-17	0.0	
0.1	80	0	2026090901	0.075	0.07960248770932943	0.07119099988489792	0.8608272601674625	0.8702604377040957	full_fit	0.9518781877012854	1.2180412057625059	0.060964270300123885	0.0072927017862781	1	1	0.46340473732399584	0.4432677866867763	0.4617908211426974	0.4548321011995085	0.4625	0.4125	4.446999435359089e-11	1.041970116848395e-10	
0.1	80	1	2026090901	-0.1	-0.11379069957524546	-0.09037207998541942	-0.8714106878938559	-0.8722348704703481	population_reference	0.05103296315555523	1.0005074107040444	0.08275272765714188	0.08275272765714188	0	0	0.0	0.0	1.4826	1.4826	1.0	1.0	0.07675077537788039	0.0	
0.1	80	1	2026090901	-0.1	-0.11379069957524546	-0.09037207998541942	-0.8714106878938559	-0.8722348704703481	population_scale	0.5354420381626519	1.0107647520574172	0.5143961714006675	0.06419822162614035	0	1	-0.11379069957524546	-0.09037207998541943	1.4826	1.4826	1.0	1.0	1.1102230246251566e-17	0.0	
0.1	80	1	2026090901	-0.1	-0.11379069957524546	-0.09037207998541942	-0.8714106878938559	-0.8722348704703481	population_median	0.5354420381626516	1.0107647520574172	0.5143961714006678	0.06419822162614039	0	1	-0.11379069957524543	-0.09037207998541939	1.4928177812069734	1.4614869066549805	1.0	1.0	4.163336342344337e-17	0.0	
0.1	80	1	2026090901	-0.1	-0.11379069957524546	-0.09037207998541942	-0.8714106878938559	-0.8722348704703481	full_fit	0.970351302857789	1.3351591881950617	0.025946640824712992	0.004142555692203863	1	1	-0.576419693954677	-0.5244860858411764	0.38179728432006627	0.4110113900515586	0.4	0.475	4.222953653432171e-11	1.0557371355803136e-10	
0.1	80	2	2026090901	0.1	0.08982238176482589	0.08027186249910992	0.8547671671579593	0.8555069984106431	population_reference	-0.06935455853956692	0.9991007803860606	0.100466593210533	0.100466593210533	0	0	0.0	0.0	1.4826	1.4826	1.0	1.0	0.060584366494554065	0.0	
0.1	80	2	2026090901	0.1	0.08982238176482589	0.08027186249910992	0.8547671671579593	0.8555069984106431	population_scale	0.3889963369551754	1.0089609595434232	0.6084785826070275	0.0815930541051771	0	1	0.08982238176482588	0.0802718624991099	1.4826	1.4826	1.0	1.0	1.6653345369377347e-17	0.0	
0.1	80	2	2026090901	0.1	0.08982238176482589	0.08027186249910992	0.8547671671579593	0.8555069984106431	population_median	0.3889963369551754	1.0089609595434232	0.6084785826070278	0.08159305410517712	0	1	0.08982238176482588	0.08027186249910988	1.490875419549004	1.5185156356442548	1.0	1.0	4.4408920985006264e-17	0.0	
0.1	80	2	2026090901	0.1	0.08982238176482589	0.08027186249910992	0.8547671671579593	0.8555069984106431	full_fit	0.9473899534774618	1.2796475978307054	0.05574775232652696	0.00828707636325734	1	1	0.5242082421836337	0.4681120627209412	0.4154888026227417	0.4709741010419151	0.4625	0.45	5.219320531324456e-11	1.1598496558882212e-10	
0.1	80	3	2026090901	-0.05	-0.029737350913203665	-0.04562477100277643	-0.8284871533082869	-0.848293497833353	population_reference	0.03235470452260572	1.0003027235111102	0.11319827651737582	0.11319827651737582	0	0	0.0	0.0	1.4826	1.4826	1.0	1.0	0.030773486444608422	0.0	
0.1	80	3	2026090901	-0.05	-0.029737350913203665	-0.04562477100277643	-0.8284871533082869	-0.848293497833353	population_scale	0.23152017814852424	1.0027166007927033	0.7445289211832848	0.1034191654132819	0	1	-0.029737350913203682	-0.0456247710027764	1.4826	1.4826	1.0	1.0	3.3306690738754695e-17	0.0	
0.1	80	3	2026090901	-0.05	-0.029737350913203665	-0.04562477100277643	-0.8284871533082869	-0.848293497833353	population_median	0.23152017814852424	1.0027166007927033	0.7445289211832848	0.1034191654132819	0	1	-0.029737350913203692	-0.0456247710027764	1.48747907698676	1.4849585833521945	1.0	1.0	4.4408920985006264e-17	0.0	
0.1	80	3	2026090901	-0.05	-0.029737350913203665	-0.04562477100277643	-0.8284871533082869	-0.848293497833353	full_fit	0.9505616697115572	1.181757411021204	0.08799109554491341	0.0073607449697287676	1	1	-0.40045696423812827	-0.4148846092085823	0.4671592139999904	0.4628396798103043	0.3125	0.3125	7.20475790139119e-11	2.3055949666577756e-10	
0.1	80	4	2026090901	0.0	-0.008180808966911923	0.010322817124012774	-0.034687174479293925	-0.023882191454785373	population_reference	-0.0009154153340804149	0.9999913306247825	0.10802808000109348	0.10802808000109348	0	0	0.0	0.0	1.4826	1.4826	1.0	1.0	0.0069626447619134	0.0	
0.1	80	4	2026090901	0.0	-0.008180808966911923	0.010322817124012774	-0.034687174479293925	-0.023882191454785373	population_scale	0.008014907804706135	1.0000751800403993	0.10379986937783686	0.10379986937783685	0	0	-0.008180808966911935	0.010322817124012795	1.4826	1.4826	1.0	1.0	5.551115123125783e-17	0.0	
0.1	80	4	2026090901	0.0	-0.008180808966911923	0.010322817124012774	-0.034687174479293925	-0.023882191454785373	population_median	0.008014907804706227	1.0000751800403995	0.10379986937783699	0.10379986937783688	0	0	-0.008180808966911918	0.01032281712401284	1.4643314894296402	1.4966561623189276	1.0	1.0	3.8857805861880476e-17	0.0	
0.1	80	4	2026090901	0.0	-0.008180808966911923	0.010322817124012774	-0.034687174479293925	-0.023882191454785373	full_fit	0.008014907804706109	1.0000751800403993	0.10379986937783987	0.10379986937783689	0	0	-0.008180808966911923	0.010322817124012774	1.4599167220949647	1.4929427922617455	1.0	1.0	2.7755575615628914e-17	2.3764690817261105e-18	
0.1	80	5	2026090901	0.05	0.046790358147669464	0.05970826510125251	0.7972833557571736	0.8585652021741605	population_reference	-0.027108549683358508	0.9997139319022508	0.10142369702900447	0.10142369702900447	0	0	0.0	0.0	1.4826	1.4826	1.0	1.0	0.040272673075173696	0.0	
0.1	80	5	2026090901	0.05	0.046790358147669464	0.05970826510125251	0.7972833557571736	0.8585652021741605	population_scale	0.1708511596502633	1.0022357555679766	0.7284880695179309	0.09459364223630007	0	0	0.04679035814766946	0.05970826510125249	1.4826	1.4826	1.0	1.0	2.2204460492503132e-17	0.0	
0.1	80	5	2026090901	0.05	0.046790358147669464	0.05970826510125251	0.7972833557571736	0.8585652021741605	population_median	0.1708511596502634	1.0022357555679766	0.7284880695179312	0.09459364223630004	0	0	0.04679035814766948	0.0597082651012525	1.4360972818577058	1.493872817267029	1.0	1.0	2.7755575615628914e-17	0.0	
0.1	80	5	2026090901	0.05	0.046790358147669464	0.05970826510125251	0.7972833557571736	0.8585652021741605	full_fit	0.934609725043334	1.1629733795231367	0.12075863577452228	0.010941165736330956	1	1	0.37265984346028586	0.42341734521379726	0.4742308903209657	0.477089100558809	0.3375	0.3875	6.608462665980142e-11	1.9580628411250067e-10	
0.1	80	6	2026090901	0.0	-0.001372518354400626	0.00208330579970602	0.0068431942873875	0.02455969228465238	population_reference	0.012416244795714388	1.000117528300002	0.12916384783961618	0.12916384783961618	0	0	0.0	0.0	1.4826	1.4826	1.0	1.0	0.0014051705110657176	0.0	
0.1	80	6	2026090901	0.0	-0.001372518354400626	0.00208330579970602	0.0068431942873875	0.02455969228465238	population_scale	0.012718046463326024	1.0001203460002208	0.12975891304904905	0.12975891304904905	0	0	-0.0013725183544006539	0.0020833057997060463	1.4826	1.4826	1.0	1.0	3.8857805861880476e-17	0.0	
0.1	80	6	2026090901	0.0	-0.001372518354400626	0.00208330579970602	0.0068431942873875	0.02455969228465238	population_median	0.012718046463326024	1.0001203460002208	0.12975891304904905	0.12975891304904905	0	0	-0.0013725183544006218	0.0020833057997060563	1.4976401868306806	1.4747556776881203	1.0	1.0	3.053113317719181e-17	0.0	
0.1	80	6	2026090901	0.0	-0.001372518354400626	0.00208330579970602	0.0068431942873875	0.02455969228465238	full_fit	0.012718046463326024	1.0001203460002208	0.12975891304904616	0.12975891304904905	0	0	-0.001372518354400626	0.00208330579970602	1.5068453599993215	1.4830031786621203	1.0	1.0	2.7755575615628914e-17	1.0361057410561555e-17	
0.1	80	7	2026090901	0.025	0.0017898565081869322	0.030660390020102714	0.8188671026786891	0.8279264243116378	population_reference	-0.040753977798740425	0.9995878779999922	0.08705077658019596	0.08705077658019596	0	0	0.0	0.0	1.4826	1.4826	1.0	1.0	0.020680149750507693	0.0	
0.1	80	7	2026090901	0.025	0.0017898565081869322	0.030660390020102714	0.8188671026786891	0.8279264243116378	population_scale	0.03236207904726137	1.0003396686830466	0.5294777076070397	0.09359317269065869	0	0	0.0017898565081869145	0.030660390020102776	1.4826	1.4826	1.0	1.0	7.077671781985372e-17	0.0	
0.1	80	7	2026090901	0.025	0.0017898565081869322	0.030660390020102714	0.8188671026786891	0.8279264243116378	population_median	0.03236207904726123	1.0003396686830466	0.5294777076070388	0.09359317269065863	0	0	0.0017898565081869264	0.030660390020102665	1.4857252241536272	1.4976421592888622	1.0	1.0	7.216449660063518e-17	0.0	
0.1	80	7	2026090901	0.025	0.0017898565081869322	0.030660390020102714	0.8188671026786891	0.8279264243116378	full_fit	0.8937907063670097	1.0873775477251708	0.3749226165924413	0.01430435917617835	1	1	0.3124009625344306	0.2653966539924311	0.490510294864887	0.5516201951240097	0.225	0.225	9.145307289237792e-11	4.0645815176378775e-10	
0.1	80	8	2026090901	0.15	0.16908603780494613	0.1553270629635172	0.8899175623544864	0.9139949632431396	population_reference	0.09467659443335795	1.0009509913550712	0.10358667238561912	0.10358667238561912	0	0	0.0	0.0	1.4826	1.4826	1.0	1.0	0.1140469700559464	0.0	
0.1	80	8	2026090901	0.15	0.16908603780494613	0.1553270629635172	0.8899175623544864	0.9139949632431396	population_scale	0.7137221341640593	1.0239064684307808	0.2887779442254117	0.04187640935695469	1	1	0.1690860378049461	0.1553270629635172	1.4826	1.4826	1.0	1.0	1.8041124150158794e-17	0.0	
0.1	80	8	2026090901	0.15	0.16908603780494613	0.1553270629635172	0.8899175623544864	0.9139949632431396	population_median	0.7137221341640593	1.0239064684307808	0.2887779442254117	0.04187640935695469	1	1	0.1690860378049461	0.1553270629635172	1.4690498525701157	1.4676679558987125	1.0	1.0	2.6367796834847467e-17	0.0	
0.1	80	8	2026090901	0.15	0.16908603780494613	0.1553270629635172	0.8899175623544864	0.9139949632431396	full_fit	0.9783146260648031	1.5235520397073106	0.01210947367559368	0.0030591376973327436	1	1	0.6444663642624299	0.6968959373089759	0.36429523235014166	0.29979248239794937	0.5	0.4875	3.933919023868526e-11	8.069575847160256e-11	
0.1	80	9	2026090901	-0.025	-0.011093832398460225	-0.029087760106074067	-0.8447738112962319	-0.7960968293073413	population_reference	0.08053244368314971	1.0007286479777413	0.09745247766553007	0.09745247766553007	0	0	0.0	0.0	1.4826	1.4826	1.0	1.0	0.019619425405418896	0.0	
0.1	80	9	2026090901	-0.025	-0.011093832398460225	-0.029087760106074067	-0.8447738112962319	-0.7960968293073413	population_scale	0.14713833744572655	1.0014106501061184	0.5179939694336684	0.09472509328824089	0	0	-0.01109383239846018	-0.02908776010607404	1.4826	1.4826	1.0	1.0	4.9960036108132046e-17	0.0	
