n	scenario	method	repetitions	n_perm	rejections	rejection_rate	wilson_low	wilson_high	mean_profile_correlation	median_p_value
40	null_clean	original_l2	300	199	15	0.05	0.03053164062934728	0.08084703347274415	-0.008331007049652145	0.53
40	null_clean	iqr_fit_all	300	199	11	0.03666666666666667	0.02059530516285303	0.06445384817189295	-0.006280966590131999	0.53
40	null_clean	trim10_fit_all	300	199	11	0.03666666666666667	0.02059530516285303	0.06445384817189295	-0.006377090899314134	0.5275000000000001
40	null_clean	huber_fit_all	300	199	13	0.043333333333333335	0.025496448084407246	0.07271746563401146	-0.006325464776232178	0.5275000000000001
40	null_clean	iqr_capped3	300	199	13	0.043333333333333335	0.025496448084407246	0.07271746563401146	-0.006834487327164365	0.53
40	null_clean	huber_capped3	300	199	11	0.03666666666666667	0.02059530516285303	0.06445384817189295	-0.006841621640106255	0.5375000000000001
40	null_contam_p01	original_l2	300	199	10	0.03333333333333333	0.01820494733885481	0.06026182580405482	-0.002829733786432412	0.51
40	null_contam_p01	iqr_fit_all	300	199	13	0.043333333333333335	0.025496448084407246	0.07271746563401146	-0.003993505720679613	0.52
40	null_contam_p01	trim10_fit_all	300	199	13	0.043333333333333335	0.025496448084407246	0.07271746563401146	-0.003807657027512089	0.5175000000000001
40	null_contam_p01	huber_fit_all	300	199	10	0.03333333333333333	0.01820494733885481	0.06026182580405482	-0.0038190312180181917	0.525
40	null_contam_p01	iqr_capped3	300	199	7	0.023333333333333334	0.011347660299125234	0.04737197226827532	-0.006823598903226381	0.5325
40	null_contam_p01	huber_capped3	300	199	7	0.023333333333333334	0.011347660299125234	0.04737197226827532	-0.006394670773599083	0.5275000000000001
40	null_contam_p05	original_l2	300	199	20	0.06666666666666667	0.043567515545158274	0.10072305951611496	0.008592809511181127	0.46
40	null_contam_p05	iqr_fit_all	300	199	13	0.043333333333333335	0.025496448084407246	0.07271746563401146	0.006702787017938585	0.47
40	null_contam_p05	trim10_fit_all	300	199	14	0.04666666666666667	0.027998933682334012	0.07679736022792105	0.007385907019255028	0.4525
40	null_contam_p05	huber_fit_all	300	199	15	0.05	0.03053164062934728	0.08084703347274415	0.007340085877172127	0.46
40	null_contam_p05	iqr_capped3	300	199	12	0.04	0.023027321487942308	0.06860421203864003	0.007039513737221261	0.5
40	null_contam_p05	huber_capped3	300	199	16	0.05333333333333334	0.03309191251909646	0.08486914177483133	0.010132940118514492	0.495
40	null_contam_p10	original_l2	300	199	11	0.03666666666666667	0.02059530516285303	0.06445384817189295	0.011559982213294285	0.445
40	null_contam_p10	iqr_fit_all	300	199	8	0.02666666666666667	0.01357306980864708	0.05172894295058982	0.013529986038025714	0.425
40	null_contam_p10	trim10_fit_all	300	199	9	0.03	0.01586185380943231	0.05602253914164096	0.013382669875976862	0.425
40	null_contam_p10	huber_fit_all	300	199	10	0.03333333333333333	0.01820494733885481	0.06026182580405482	0.013359745062188516	0.4275
40	null_contam_p10	iqr_capped3	300	199	15	0.05	0.03053164062934728	0.08084703347274415	0.009576763915782917	0.4825
40	null_contam_p10	huber_capped3	300	199	14	0.04666666666666667	0.027998933682334012	0.07679736022792105	0.009955788891102779	0.48
40	matched_p01_m8	original_l2	300	199	295	0.9833333333333333	0.9615846051669054	0.9928605226493666	0.8939984921791578	0.015
40	matched_p01_m8	iqr_fit_all	300	199	300	1.0	0.9873570287754538	0.9999999999999998	0.7844520035963382	0.015
40	matched_p01_m8	trim10_fit_all	300	199	297	0.99	0.9710165066376601	0.9965933815622847	0.7818495269555021	0.015
40	matched_p01_m8	huber_fit_all	300	199	298	0.9933333333333333	0.9760224167496929	0.998169851642088	0.7817272066138412	0.015
40	matched_p01_m8	iqr_capped3	300	199	127	0.42333333333333334	0.3687385228107271	0.47986673277703656	0.2559875813650045	0.065
