n	scenario	method	repetitions	n_perm	rejections	rejection_rate	wilson_low	wilson_high
80	null_clean	original_l2	2000	199	89	0.0445	0.03630266512840682	0.054443764944814586
80	null_clean	iqr_fit_all	2000	199	93	0.0465	0.03810906851120825	0.056629693372888146
80	null_clean	trim10_fit_all	2000	199	99	0.0495	0.040827254610808245	0.059900004989600644
80	null_clean	huber_fit_all	2000	199	96	0.048	0.03946691899074102	0.05826609175151162
80	null_clean	iqr_capped3	2000	199	98	0.049	0.04037353995030726	0.05935563669738288
80	null_clean	huber_capped3	2000	199	100	0.05	0.04128123361873174	0.0604441089343959
80	null_contam_p05	original_l2	2000	199	86	0.043	0.03495107254461269	0.05280110867045247
80	null_contam_p05	iqr_fit_all	2000	199	100	0.05	0.04128123361873174	0.0604441089343959
80	null_contam_p05	trim10_fit_all	2000	199	96	0.048	0.03946691899074102	0.05826609175151162
80	null_contam_p05	huber_fit_all	2000	199	89	0.0445	0.03630266512840682	0.054443764944814586
80	null_contam_p05	iqr_capped3	2000	199	107	0.0535	0.04446618753651597	0.06424573568564287
80	null_contam_p05	huber_capped3	2000	199	96	0.048	0.03946691899074102	0.05826609175151162
80	null_contam_p10	original_l2	2000	199	74	0.037	0.029575304829629133	0.04619988095281107
80	null_contam_p10	iqr_fit_all	2000	199	74	0.037	0.029575304829629133	0.04619988095281107
80	null_contam_p10	trim10_fit_all	2000	199	72	0.036	0.02868460672278366	0.04509441315421905
80	null_contam_p10	huber_fit_all	2000	199	69	0.0345	0.027351694147721588	0.04343307687112489
80	null_contam_p10	iqr_capped3	2000	199	79	0.0395	0.03180890787160705	0.0489566926744269
80	null_contam_p10	huber_capped3	2000	199	76	0.038	0.030467599928741894	0.04730375175913581
160	null_clean	original_l2	2000	199	79	0.0395	0.03180890787160705	0.0489566926744269
160	null_clean	iqr_fit_all	2000	199	85	0.0425	0.03450117971009799	0.05225291855224844
160	null_clean	trim10_fit_all	2000	199	79	0.0395	0.03180890787160705	0.0489566926744269
160	null_clean	huber_fit_all	2000	199	85	0.0425	0.03450117971009799	0.05225291855224844
160	null_clean	iqr_capped3	2000	199	85	0.0425	0.03450117971009799	0.05225291855224844
160	null_clean	huber_capped3	2000	199	77	0.0385	0.03091432761660475	0.047855107023991705
160	null_contam_p05	original_l2	2000	199	97	0.0485	0.03992009344287708	0.05881100025209431
160	null_contam_p05	iqr_fit_all	2000	199	90	0.045	0.03675381704471326	0.05499069598122689
160	null_contam_p05	trim10_fit_all	2000	199	97	0.0485	0.03992009344287708	0.05881100025209431
160	null_contam_p05	huber_fit_all	2000	199	93	0.0465	0.03810906851120825	0.056629693372888146
160	null_contam_p05	iqr_capped3	2000	199	94	0.047	0.038561402365168564	0.05717544247164658
160	null_contam_p05	huber_capped3	2000	199	93	0.0465	0.03810906851120825	0.056629693372888146
160	null_contam_p10	original_l2	2000	199	84	0.042	0.0340516147420547	0.05170440056757297
160	null_contam_p10	iqr_fit_all	2000	199	81	0.0405	0.03270494331440327	0.05005682313706816
160	null_contam_p10	trim10_fit_all	2000	199	78	0.039	0.03136143254939691	0.04840608504391829
160	null_contam_p10	huber_fit_all	2000	199	92	0.046	0.03765702335931109	0.05608365557206656
160	null_contam_p10	iqr_capped3	2000	199	99	0.0495	0.040827254610808245	0.059900004989600644
160	null_contam_p10	huber_capped3	2000	199	93	0.0465	0.03810906851120825	0.056629693372888146
