magnitude	method	outlier_score	ordinary_mean_score	outlier_to_ordinary_ratio
4.0	original_pairwise_l2	4.167333280008531	1.6803749921550026	2.4800019635284625
4.0	centroid_radius	3.951219512195122	1.0129479072568504	3.9007134363852556
4.0	median_radius	3.9749999999999996	1.0126543209876544	3.9253276440109715
4.0	iqr_fit_all_radius	3.951219512195122	1.0129479072568504	3.9007134363852556
4.0	iqr_fit_all_capped3	3.951219512195122	1.0129479072568504	3.9007134363852556
4.0	hstar_profile_l2	2.5050385840818157	0.9511369810308095	2.63373061298378
4.0	hstar_profile_l1	2.926829268292683	0.9784365705950905	2.9913326589096823
8.0	original_pairwise_l2	8.084965470963168	1.853403866017546	4.362225427065462
8.0	centroid_radius	7.902439024390244	1.0147244805781392	7.787768183032137
8.0	median_radius	7.975	1.0126543209876544	7.875342883267296
8.0	iqr_fit_all_radius	8.0	1.0123456790123457	7.902439024390244
8.0	iqr_fit_all_capped3	4.447800000000001	1.0123456790123457	4.393558536585367
8.0	hstar_profile_l2	4.859978575001441	0.8930143845346619	5.4422175713708265
8.0	hstar_profile_l1	5.853658536585366	0.9474913405043823	6.178060195747289
16.0	original_pairwise_l2	16.042651484921894	2.4169213079093597	6.637639145479175
16.0	centroid_radius	15.804878048780488	1.0218006624510692	15.467672540814519
16.0	median_radius	15.975	1.0126543209876544	15.775373361779943
16.0	iqr_fit_all_radius	16.0	1.0123456790123457	15.804878048780488
16.0	iqr_fit_all_capped3	4.447800000000001	1.0123456790123457	4.393558536585367
16.0	hstar_profile_l2	9.643447802337638	0.803402354267026	12.0032605718908
16.0	hstar_profile_l1	11.707317073170731	0.8962347429790611	13.062779773807822
64.0	original_pairwise_l2	64.01067619285602	7.30037292594715	8.768137852978418
64.0	centroid_radius	63.21951219512195	1.1629027401385126	54.36354220611082
64.0	median_radius	63.975	1.0126543209876544	63.17555623285583
64.0	iqr_fit_all_radius	64.0	1.0123456790123457	63.21951219512195
64.0	iqr_fit_all_capped3	4.447800000000001	1.0123456790123457	4.393558536585367
64.0	hstar_profile_l2	38.477655345085175	0.7163167595496881	53.71597806712511
64.0	hstar_profile_l1	46.829268292682926	0.7348412742096627	63.72705227132048
256.0	original_pairwise_l2	256.00266925691744	28.49244413333437	8.984931866810626
256.0	centroid_radius	252.8780487804878	3.1219512195121952	81.0
256.0	median_radius	255.975	1.0126543209876544	252.7762877171594
256.0	iqr_fit_all_radius	256.0	1.0123456790123457	252.8780487804878
256.0	iqr_fit_all_capped3	4.447800000000001	1.0123456790123457	4.393558536585367
256.0	hstar_profile_l2	153.88655550851325	0.7077028453109061	217.44515587034022
256.0	hstar_profile_l1	187.3170731707317	0.5893185391973906	317.85369152961664
1024.0	original_pairwise_l2	1024.0006673174908	113.78978875774223	8.999055877479323
1024.0	centroid_radius	1011.5121951219512	12.487804878048781	81.0
1024.0	median_radius	1023.975	1.0126543209876544	1011.1792136543736
1024.0	iqr_fit_all_radius	1024.0	1.0123456790123457	1011.5121951219512
1024.0	iqr_fit_all_capped3	4.447800000000001	1.0123456790123457	4.393558536585367
1024.0	hstar_profile_l2	615.5402050661436	0.707144118372036	870.4593435397867
1024.0	hstar_profile_l1	749.2682926829268	0.5256762020954675	1425.341854350966
