n	scenario	method	repetitions	n_perm	rejections	rejection_rate	wilson_low	wilson_high	mean_raw	mean_profile_correlation
40	null_clean	original_l2	250	199	7	0.028	0.013628058600839217	0.05665777612286046	0.9994251232667696	-0.007358019624267897
40	null_clean	huber_radius	250	199	7	0.028	0.013628058600839217	0.05665777612286046	0.9952751499710456	-0.008546534338525513
40	null_clean	huber_l2_floor0.5	250	199	5	0.02	0.008572324384058198	0.045955643131568594	0.9982163583903484	-0.008252575203922263
40	null_clean	huber_l2_floor1	250	199	7	0.028	0.013628058600839217	0.05665777612286046	0.9995184891599768	-0.007966055089160104
40	null_clean	huber_radius_cap6	250	199	7	0.028	0.013628058600839217	0.05665777612286046	0.9952751499710456	-0.008546534338525513
40	null_contam_p05	original_l2	250	199	15	0.06	0.036694410839108495	0.09662289271688271	1.0043550406078472	0.012178166467787256
40	null_contam_p05	huber_radius	250	199	18	0.072	0.04602556925826497	0.11092853510983557	1.074519486782242	0.012933379632338635
40	null_contam_p05	huber_l2_floor0.5	250	199	17	0.068	0.04288591857836033	0.10618925218570377	1.0574084777184718	0.012870782638602555
40	null_contam_p05	huber_l2_floor1	250	199	13	0.052	0.030637655164191247	0.08692178118372709	1.0382078530102592	0.012678366959453853
40	null_contam_p05	huber_radius_cap6	250	199	16	0.064	0.039774745277095874	0.10142149188293179	1.0217487387355104	0.01380792228469361
40	matched_p01_m8	original_l2	250	199	248	0.992	0.9713054704167919	0.9978033628796906	1.2281877245059076	0.8930572543292715
40	matched_p01_m8	huber_radius	250	199	249	0.996	0.9776942144345839	0.9992935524659348	2.3920191151700037	0.7815682100825627
40	matched_p01_m8	huber_l2_floor0.5	250	199	247	0.988	0.9653192195729803	0.9959106801194657	1.9183473576973387	0.8271681897139398
40	matched_p01_m8	huber_l2_floor1	250	199	248	0.992	0.9713054704167919	0.9978033628796906	1.4999108359647544	0.8694106519507571
40	matched_p01_m8	huber_radius_cap6	250	199	247	0.988	0.9653192195729803	0.9959106801194657	1.7720883675484211	0.6480245724732581
40	diffuse_aligned	original_l2	250	199	243	0.972	0.9433422238771394	0.9863719413991607	1.0131527246473795	0.6618851823308446
40	diffuse_aligned	huber_radius	250	199	225	0.9	0.8565482893919354	0.9313450710117088	1.0637966561095895	0.5980772022886061
40	diffuse_aligned	huber_l2_floor0.5	250	199	222	0.888	0.8428908673839414	0.9213656922075936	1.034178932697697	0.5931682083080245
40	diffuse_aligned	huber_l2_floor1	250	199	216	0.864	0.8159642285705384	0.901018729396778	1.0121243491454597	0.5865312377195985
40	diffuse_aligned	huber_radius_cap6	250	199	227	0.908	0.8657382427250239	0.9379129848866933	1.0637966561095895	0.5980772022886061
40	t2_matched	original_l2	250	199	149	0.596	0.5341653599169152	0.6549290465799593	1.0884598760338604	0.4241388796532594
40	t2_matched	huber_radius	250	199	154	0.616	0.554388269038006	0.6741008054790509	1.7655698143840866	0.41164318045910775
40	t2_matched	huber_l2_floor0.5	250	199	157	0.628	0.5665723240737058	0.6855535512554604	1.5420477708501503	0.42567862393875144
40	t2_matched	huber_l2_floor1	250	199	158	0.632	0.5706422103010869	0.6893625986321157	1.3222245832725192	0.4369512257304238
40	t2_matched	huber_radius_cap6	250	199	209	0.836	0.7850819159453526	0.8767485067937086	1.6476031445064894	0.45226194418959986
40	bimodal_aligned	original_l2	250	199	177	0.708	0.6488299033041979	0.7608746441056972	1.007305728177855	0.5070437715156605
40	bimodal_aligned	huber_radius	250	199	215	0.86	0.8115202816735541	0.8975837426897257	1.4611786695181068	0.8106364982448283
40	bimodal_aligned	huber_l2_floor0.5	250	199	215	0.86	0.8115202816735541	0.8975837426897257	1.4102966436377724	0.8124004234586554
40	bimodal_aligned	huber_l2_floor1	250	199	215	0.86	0.8115202816735541	0.8975837426897257	1.3202150596661473	0.8141390289944413
40	bimodal_aligned	huber_radius_cap6	250	199	215	0.86	0.8115202816735541	0.8975837426897257	1.4106183658257039	0.8099237410043126
40	unmatched_masking	original_l2	250	199	2	0.008	0.0021966371203094217	0.02869452958320804	1.0002415532145716	0.0012276135052052015
40	unmatched_masking	huber_radius	250	199	5	0.02	0.008572324384058198	0.045955643131568594	1.1986012104763741	0.057753980781357794
40	unmatched_masking	huber_l2_floor0.5	250	199	2	0.008	0.0021966371203094217	0.02869452958320804	1.135513676695351	0.05272343436802713
40	unmatched_masking	huber_l2_floor1	250	199	2	0.008	0.0021966371203094217	0.02869452958320804	1.0748828800923405	0.0447386734727564
40	unmatched_masking	huber_radius_cap6	250	199	111	0.444	0.383719851999915	0.5059750775435747	1.4287094894864307	0.295003664790594
80	null_clean	original_l2	250	199	12	0.048	0.02766820153069461	0.08201230121318728	0.9996025428508006	-0.005710119378273405
80	null_clean	huber_radius	250	199	10	0.04	0.021869911954542545	0.07205272358126646	0.9978790366813394	-0.004820877575562788
80	null_clean	huber_l2_floor0.5	250	199	13	0.052	0.030637655164191247	0.08692178118372709	0.9992133212470455	-0.0050867077792859094
80	null_clean	huber_l2_floor1	250	199	13	0.052	0.030637655164191247	0.08692178118372709	0.9998007630610753	-0.005165860643244863
80	null_clean	huber_radius_cap6	250	199	13	0.052	0.030637655164191247	0.08692178118372709	0.9978790366813394	-0.004820877575562788
80	null_contam_p05	original_l2	250	199	7	0.028	0.013628058600839217	0.05665777612286046	0.9968668704152147	-0.008720685830806749
80	null_contam_p05	huber_radius	250	199	11	0.044	0.02474379816749356	0.07705777097235189	0.9598936878558157	-0.006992601340454293
80	null_contam_p05	huber_l2_floor0.5	250	199	7	0.028	0.013628058600839217	0.05665777612286046	0.9669492630670723	-0.007326776638210675
80	null_contam_p05	huber_l2_floor1	250	199	10	0.04	0.021869911954542545	0.07205272358126646	0.9766605009030765	-0.007544725524842038
80	null_contam_p05	huber_radius_cap6	250	199	8	0.032	0.01630236549364963	0.06186240283408649	0.9950603365375643	-0.003350979012695019
80	matched_p01_m8	original_l2	250	199	250	1.0	0.9848667005045553	0.9999999999999998	1.1701951317096113	0.7948599336268585
80	matched_p01_m8	huber_radius	250	199	250	1.0	0.9848667005045553	0.9999999999999998	1.802683655027177	0.6338162974694808
80	matched_p01_m8	huber_l2_floor0.5	250	199	250	1.0	0.9848667005045553	0.9999999999999998	1.5080386915599073	0.7011915494573328
80	matched_p01_m8	huber_l2_floor1	250	199	250	1.0	0.9848667005045553	0.9999999999999998	1.2629010452208886	0.7678673223627109
80	matched_p01_m8	huber_radius_cap6	250	199	250	1.0	0.9848667005045553	0.9999999999999998	1.4534362417471498	0.48746791132789585
80	diffuse_aligned	original_l2	250	199	250	1.0	0.9848667005045553	0.9999999999999998	1.0138345495078636	0.7553866806051199
80	diffuse_aligned	huber_radius	250	199	249	0.996	0.9776942144345839	0.9992935524659348	1.06418089850474	0.7276770352348833
80	diffuse_aligned	huber_l2_floor0.5	250	199	249	0.996	0.9776942144345839	0.9992935524659348	1.0330501655223516	0.7268356263249844
80	diffuse_aligned	huber_l2_floor1	250	199	249	0.996	0.9776942144345839	0.9992935524659348	1.010689027789756	0.7226369640207763
