scenario	method	n	n_perm	n_boot	raw	profile_correlation	pairing_normalized	perm_p	bootstrap_lower	bootstrap_upper
null_normal	original_l2	60	499	500	1.019231	0.203835	0.94224	0.098	0.985891	1.048461
null_normal	huber_reference	60	499	500	1.10253	0.181351		0.118	0.920078	1.286382
null_normal	huber_reference_cap6	60	499	500	1.10253	0.181351		0.118	0.920078	1.286382
null_normal	iqr_reference	60	499	500	1.1001	0.17696		0.122	0.921231	1.277084
aligned_normal	original_l2	60	499	500	1.083801	0.949202	0.996358	0.002	1.062103	1.104846
aligned_normal	huber_reference	60	499	500	1.51924	0.927697		0.002	1.364582	1.690024
aligned_normal	huber_reference_cap6	60	499	500	1.51924	0.927697		0.002	1.364582	1.690024
aligned_normal	iqr_reference	60	499	500	1.519353	0.927798		0.002	1.35793	1.695794
inverted_divergence	original_l2	60	499	500	1.007133	0.145113	0.960186	0.154	0.992007	1.026642
inverted_divergence	huber_reference	60	499	500	0.993001	-0.021283		0.544	0.90912	1.117834
inverted_divergence	huber_reference_cap6	60	499	500	0.993001	-0.021283		0.544	0.90912	1.117834
inverted_divergence	iqr_reference	60	499	500	0.994358	-0.017153		0.534	0.919883	1.10174
heavy_tailed	original_l2	60	499	500	0.980564	-0.085306	0.814861	0.814	0.967327	1.009735
heavy_tailed	huber_reference	60	499	500	0.809656	-0.120717		0.878	0.60078	1.098847
heavy_tailed	huber_reference_cap6	60	499	500	0.879299	-0.106711		0.798	0.685815	1.120966
heavy_tailed	iqr_reference	60	499	500	0.804501	-0.125914		0.902	0.594185	1.0967
skewed	original_l2	60	499	500	1.077964	0.280424	0.848832	0.054	0.991721	1.231043
skewed	huber_reference	60	499	500	1.765926	0.28228		0.05	0.914015	2.917535
skewed	huber_reference_cap6	60	499	500	1.470595	0.327248		0.036	0.915045	2.139505
skewed	iqr_reference	60	499	500	1.766163	0.277294		0.05	0.918454	2.942942
contaminated_aligned	original_l2	60	499	500	1.230474	0.981713	0.996865	0.002	1.08324	1.288641
contaminated_aligned	huber_reference	60	499	500	2.750428	0.974586		0.002	1.495599	3.523399
contaminated_aligned	huber_reference_cap6	60	499	500	2.389771	0.967285		0.002	1.495599	2.728734
contaminated_aligned	iqr_reference	60	499	500	2.747222	0.974805		0.002	1.493718	3.549103
