scenario	method	n	repetitions	n_perm	rejection_rate	mean_profile_correlation	mean_raw	median_p_value
null_normal	original_l2	60	300	199	0.05	-0.000357	1.000075	0.49
null_normal	huber_reference	60	300	199	0.036667	0.000151	1.000953	0.5
null_normal	huber_reference_cap6	60	300	199	0.036667	0.000151	1.000953	0.5
null_normal	iqr_reference	60	300	199	0.04	-0.000401	1.000715	0.4975
aligned_normal	original_l2	60	300	199	1.0	0.934597	1.08204	0.005
aligned_normal	huber_reference	60	300	199	1.0	0.923275	1.522918	0.005
aligned_normal	huber_reference_cap6	60	300	199	1.0	0.923275	1.522918	0.005
aligned_normal	iqr_reference	60	300	199	1.0	0.922582	1.520726	0.005
inverted_divergence	original_l2	60	300	199	0.06	0.170303	1.00859	0.1
inverted_divergence	huber_reference	60	300	199	0.0	0.003529	1.001178	0.495
inverted_divergence	huber_reference_cap6	60	300	199	0.0	0.003529	1.001178	0.495
inverted_divergence	iqr_reference	60	300	199	0.0	0.002795	1.000927	0.5
heavy_tailed	original_l2	60	300	199	0.066667	0.009819	1.002135	0.4825
heavy_tailed	huber_reference	60	300	199	0.06	0.008023	1.013286	0.5075
heavy_tailed	huber_reference_cap6	60	300	199	0.056667	0.007964	1.009425	0.5075
heavy_tailed	iqr_reference	60	300	199	0.06	0.00856	1.013855	0.51
skewed	original_l2	60	300	199	0.063333	0.009441	1.001936	0.51
skewed	huber_reference	60	300	199	0.056667	0.006222	1.013357	0.4925
skewed	huber_reference_cap6	60	300	199	0.05	0.004881	1.005535	0.49
skewed	iqr_reference	60	300	199	0.053333	0.006069	1.013701	0.4925
contaminated_aligned	original_l2	60	300	199	1.0	0.97188	1.243646	0.005
contaminated_aligned	huber_reference	60	300	199	1.0	0.968226	3.0024	0.005
contaminated_aligned	huber_reference_cap6	60	300	199	1.0	0.968422	2.478043	0.005
contaminated_aligned	iqr_reference	60	300	199	1.0	0.968877	3.036317	0.005
