scenario	method	n	repetitions	n_perm	rejections	rejection_rate	wilson_low	wilson_high	mean_profile_correlation
null_clean	huber_c1.0	80	300	199	11	0.03666666666666667	0.02059530516285303	0.06445384817189295	0.0012623784437247136
null_clean	huber_c1.345	80	300	199	11	0.03666666666666667	0.02059530516285303	0.06445384817189295	0.0011466333963026912
null_clean	huber_c2.0	80	300	199	16	0.05333333333333334	0.03309191251909646	0.08486914177483133	0.0007398298261752808
null_clean	huber_c3.0	80	300	199	14	0.04666666666666667	0.027998933682334012	0.07679736022792105	0.0005995461340202842
null_clean	huber_cap3	80	300	199	13	0.043333333333333335	0.025496448084407246	0.07271746563401146	0.0016103466579899168
null_clean	huber_cap4	80	300	199	11	0.03666666666666667	0.02059530516285303	0.06445384817189295	0.0011999189961981417
null_clean	huber_cap6	80	300	199	15	0.05	0.03053164062934728	0.08084703347274415	0.0011466333963026912
null_clean	huber_cap8	80	300	199	15	0.05	0.03053164062934728	0.08084703347274415	0.0011466333963026912
null_clean	huber_soft3	80	300	199	15	0.05	0.03053164062934728	0.08084703347274415	0.0017271276749007407
null_clean	huber_soft4	80	300	199	15	0.05	0.03053164062934728	0.08084703347274415	0.0015262702439060864
null_clean	huber_soft6	80	300	199	12	0.04	0.023027321487942308	0.06860421203864003	0.0013402734544562503
null_clean	huber_soft8	80	300	199	11	0.03666666666666667	0.02059530516285303	0.06445384817189295	0.0012618156252613769
null_clean	trim5	80	300	199	12	0.04	0.023027321487942308	0.06860421203864003	0.0008234977085617319
null_clean	trim10	80	300	199	14	0.04666666666666667	0.027998933682334012	0.07679736022792105	0.001157019256629071
null_clean	trim20	80	300	199	13	0.043333333333333335	0.025496448084407246	0.07271746563401146	0.0014143090890339374
null_contam_p05	huber_c1.0	80	300	199	8	0.02666666666666667	0.01357306980864708	0.05172894295058982	-0.003772805965976751
null_contam_p05	huber_c1.345	80	300	199	10	0.03333333333333333	0.01820494733885481	0.06026182580405482	-0.003742657076900919
null_contam_p05	huber_c2.0	80	300	199	7	0.023333333333333334	0.011347660299125234	0.04737197226827532	-0.0036804521520979044
null_contam_p05	huber_c3.0	80	300	199	7	0.023333333333333334	0.011347660299125234	0.04737197226827532	-0.0035156228400570607
