kind	signal	alternative	n	repetitions	n_perm	mean_divergence_correlation	rejection_rate
l2	positive	greater	80	400	399	0.6171	0.9725
l2	positive	less	80	400	399	0.6171	0.0
l2	positive	two-sided	80	400	399	0.6171	0.955
l2	null	greater	80	400	399	-0.004	0.0425
l2	null	less	80	400	399	-0.004	0.04
l2	null	two-sided	80	400	399	-0.004	0.045
l2	negative	greater	80	400	399	-0.6423	0.0
l2	negative	less	80	400	399	-0.6423	0.98
l2	negative	two-sided	80	400	399	-0.6423	0.965
l1	positive	greater	80	400	399	0.3959	0.81
l1	positive	less	80	400	399	0.3959	0.0
l1	positive	two-sided	80	400	399	0.3959	0.7775
l1	null	greater	80	400	399	-0.0079	0.0325
l1	null	less	80	400	399	-0.0079	0.0475
l1	null	two-sided	80	400	399	-0.0079	0.04
l1	negative	greater	80	400	399	-0.3503	0.0
l1	negative	less	80	400	399	-0.3503	0.7425
l1	negative	two-sided	80	400	399	-0.3503	0.69
