background	kind	n	k_extremes	scenario	target_reference	target_corr	selected_magnitude	calibrated_mean_corr	calibrated_mean_norm	alpha	calibration_repetitions	evaluation_repetitions	n_perm	reject_count	rejection_rate	wilson_low	wilson_high	mean_raw	mean_norm	mean_corr	mean_p	p05	p50	p95	mean_index_overlap
normal	l2	20	1	matched	explicit target_corr=0.35	0.35	2.5	0.394	0.9526	0.05	120	300	499	105	0.35	0.2982	0.4056	20.6538	0.9508	0.3607	0.1234	0.006	0.082	0.369	1.0
normal	l2	20	1	independent_null	explicit target_corr=0.35	0.35	2.5	0.394	0.9526	0.05	120	300	499	18	0.06	0.0383	0.0928	19.9988	0.9203	-0.0022	0.5038	0.0399	0.481	0.9702	0.0633
normal	l2	20	2	matched	explicit target_corr=0.35	0.35	2.5	0.4172	0.959	0.05	120	300	499	162	0.54	0.4835	0.5955	20.7276	0.9599	0.432	0.0782	0.002	0.042	0.2785	2.0
normal	l2	20	2	independent_null	explicit target_corr=0.35	0.35	2.5	0.4172	0.959	0.05	120	300	499	12	0.04	0.023	0.0686	20.0182	0.9251	0.0105	0.4868	0.0738	0.489	0.9361	0.2067
normal	l2	20	3	matched	explicit target_corr=0.35	0.35	2.5	0.4597	0.9658	0.05	120	300	499	190	0.6333	0.5774	0.6859	20.6956	0.9651	0.4568	0.0611	0.002	0.028	0.238	3.0
normal	l2	20	3	independent_null	explicit target_corr=0.35	0.35	2.5	0.4597	0.9658	0.05	120	300	499	12	0.04	0.023	0.0686	19.9607	0.9316	-0.0268	0.5282	0.066	0.531	0.9742	0.45
normal	l2	40	1	matched	explicit target_corr=0.35	0.35	3.0	0.3613	0.9448	0.05	120	300	499	189	0.63	0.574	0.6827	41.3522	0.9424	0.3387	0.0619	0.004	0.034	0.2341	1.0
normal	l2	40	1	independent_null	explicit target_corr=0.35	0.35	3.0	0.3613	0.9448	0.05	120	300	499	17	0.0567	0.0357	0.0889	39.9733	0.9105	-0.0061	0.522	0.0479	0.55	0.9483	0.0367
normal	l2	40	2	matched	explicit target_corr=0.35	0.35	2.5	0.347	0.9477	0.05	120	300	499	200	0.6667	0.6115	0.7176	41.2607	0.9478	0.3446	0.0573	0.002	0.022	0.2343	2.0
normal	l2	40	2	independent_null	explicit target_corr=0.35	0.35	2.5	0.347	0.9477	0.05	120	300	499	12	0.04	0.023	0.0686	40.0077	0.9182	0.002	0.4965	0.0598	0.482	0.9561	0.0967
normal	l2	40	3	matched	explicit target_corr=0.35	0.35	2.5	0.3829	0.9517	0.05	120	300	499	236	0.7867	0.7368	0.8292	41.4189	0.9528	0.393	0.0324	0.002	0.012	0.1224	3.0
normal	l2	40	3	independent_null	explicit target_corr=0.35	0.35	2.5	0.3829	0.9517	0.05	120	300	499	18	0.06	0.0383	0.0928	40.0806	0.9219	0.0238	0.4611	0.04	0.461	0.9345	0.2833
