display_id	evidence_track	theorem_relation	intervention	radial_log_sd	n	design	repetitions	root_cell_seed	rejection_rate	wilson_95_low	wilson_95_high	mean_profile_effect	paired_difference	paired_difference_mcse	mean_maximum_absolute_huber_center	mean_absolute_sign_imbalance	shared_sign_coupling	mean_refitted_profile_effect	mean_fixed_zero_profile_effect	mean_huber_center_product	refitted_rejection_rate	fixed_zero_rejection_rate	source_file	source_sha256
Figure_1A	Empirical finite-sample Wald intervention; outside theorem calibration	paired refit-versus-fixed intervention; not a Theorem 1 calibration cell	reference_fit	0.1	80	fitted_reference	1000	2026192431	0.777	0.7501681060278989	0.8017118697711036	0.8261298104430771	0.723	0.01450797992421693									results/claim2_reference_mechanism_validation_20260823.tsv	d398c4ac9c7d4944611f97d07d8569f7ad6a4fb701adfed6141f838574b1cb7d
Figure_1A	Empirical finite-sample Wald intervention; outside theorem calibration	paired fixed-reference contrast; not a Theorem 1 calibration cell	reference_fit	0.1	80	fixed_symmetry_reference	1000	2026192431	0.054	0.04162131372306273	0.06979215484605245	0.0011941881374019634	0.723	0.01450797992421693									results/claim2_reference_mechanism_validation_20260823.tsv	d398c4ac9c7d4944611f97d07d8569f7ad6a4fb701adfed6141f838574b1cb7d
Figure_1A	Empirical finite-sample Wald intervention; outside theorem calibration	paired refit-versus-fixed intervention; not a Theorem 1 calibration cell	reference_fit	0.1	640	fitted_reference	1000	2026202991	0.541	0.5100164673887266	0.5716697384154579	0.6241845851083229	0.491	0.017094186474097307									results/claim2_reference_mechanism_validation_20260823.tsv	d398c4ac9c7d4944611f97d07d8569f7ad6a4fb701adfed6141f838574b1cb7d
Figure_1A	Empirical finite-sample Wald intervention; outside theorem calibration	paired fixed-reference contrast; not a Theorem 1 calibration cell	reference_fit	0.1	640	fixed_symmetry_reference	1000	2026202991	0.05	0.03813026239274882	0.06531382024425081	-0.00022151268223658172	0.491	0.017094186474097307									results/claim2_reference_mechanism_validation_20260823.tsv	d398c4ac9c7d4944611f97d07d8569f7ad6a4fb701adfed6141f838574b1cb7d
Figure_1A	Empirical finite-sample Wald intervention; outside theorem calibration	paired refit-versus-fixed intervention; not a Theorem 1 calibration cell	reference_fit	0.4	80	fitted_reference	1000	2026292431	0.06	0.04689647267593196	0.07647107479135655	0.07295253127978372	-0.018	0.007983717163060058									results/claim2_reference_mechanism_validation_20260823.tsv	d398c4ac9c7d4944611f97d07d8569f7ad6a4fb701adfed6141f838574b1cb7d
Figure_1A	Empirical finite-sample Wald intervention; outside theorem calibration	paired fixed-reference contrast; not a Theorem 1 calibration cell	reference_fit	0.4	80	fixed_symmetry_reference	1000	2026292431	0.078	0.06294716759073615	0.09628261657107237	-0.0013804954538563544	-0.018	0.007983717163060058									results/claim2_reference_mechanism_validation_20260823.tsv	d398c4ac9c7d4944611f97d07d8569f7ad6a4fb701adfed6141f838574b1cb7d
Figure_1A	Empirical finite-sample Wald intervention; outside theorem calibration	paired refit-versus-fixed intervention; not a Theorem 1 calibration cell	reference_fit	0.4	640	fitted_reference	1000	2026302991	0.049	0.037261034647360615	0.06419070150661013	0.010757959925693462	-0.006	0.005098037856861205									results/claim2_reference_mechanism_validation_20260823.tsv	d398c4ac9c7d4944611f97d07d8569f7ad6a4fb701adfed6141f838574b1cb7d
Figure_1A	Empirical finite-sample Wald intervention; outside theorem calibration	paired fixed-reference contrast; not a Theorem 1 calibration cell	reference_fit	0.4	640	fixed_symmetry_reference	1000	2026302991	0.055	0.04249742737476844	0.07090838767737563	0.001446143996900025	-0.006	0.005098037856861205									results/claim2_reference_mechanism_validation_20260823.tsv	d398c4ac9c7d4944611f97d07d8569f7ad6a4fb701adfed6141f838574b1cb7d
Figure_1B	Empirical finite-sample Wald intervention; outside theorem calibration	trigger intervention; not a proposed correction or theorem calibration	sign_balance	0.1	80	iid_signs	800	2026192531	0.76625	0.7356933632916933	0.7942618851287842	0.8329691822353079			0.4910464240366086	0.09159375							results/claim2_sign_balance_intervention_validation_20260824.tsv	f75a6099306ab9473af60c272c5f51e2669fd4b49238399f98699020f92f32e1
Figure_1B	Empirical finite-sample Wald intervention; outside theorem calibration	trigger intervention; not a proposed correction or theorem calibration	sign_balance	0.1	80	exactly_balanced_signs	800	2026202531	0.0575	0.04338329484491769	0.0758460105971056	-0.004273575507775017			0.012740370989795313	0.0							results/claim2_sign_balance_intervention_validation_20260824.tsv	f75a6099306ab9473af60c272c5f51e2669fd4b49238399f98699020f92f32e1
Figure_1B	Empirical finite-sample Wald intervention; outside theorem calibration	trigger intervention; not a proposed correction or theorem calibration	sign_balance	0.1	640	iid_signs	800	2026293091	0.535	0.50035241299737	0.5693130656682328	0.6247288268938503			0.23860972256357876	0.030828125							results/claim2_sign_balance_intervention_validation_20260824.tsv	f75a6099306ab9473af60c272c5f51e2669fd4b49238399f98699020f92f32e1
Figure_1B	Empirical finite-sample Wald intervention; outside theorem calibration	trigger intervention; not a proposed correction or theorem calibration	sign_balance	0.1	640	exactly_balanced_signs	800	2026303091	0.06	0.04555127089333948	0.07865414016765543	-0.0019234414751141174			0.00459171688187188	0.0							results/claim2_sign_balance_intervention_validation_20260824.tsv	f75a6099306ab9473af60c272c5f51e2669fd4b49238399f98699020f92f32e1
Figure_1C	Empirical finite-sample Wald intervention; outside theorem calibration	empirical mechanism dose response; not a monotone-rejection theorem	shared_sign_coupling		80		600	2026192631									0.0	-0.005725953338555351	0.007266848788175195	0.00012165895226093755	0.025	0.08333333333333333	results/claim2_sign_coupling_validation_20260825.tsv	09c3f5ed9bd719d7b256ef4fd494c36fcfbbe5fc8b369b48a6eb176ba42af3b7
Figure_1C	Empirical finite-sample Wald intervention; outside theorem calibration	empirical mechanism dose response; not a monotone-rejection theorem	shared_sign_coupling		80		600	2026202631									0.25	0.04716483635701849	-0.0035641974053376648	0.05711132595665655	0.39666666666666667	0.1	results/claim2_sign_coupling_validation_20260825.tsv	09c3f5ed9bd719d7b256ef4fd494c36fcfbbe5fc8b369b48a6eb176ba42af3b7
Figure_1C	Empirical finite-sample Wald intervention; outside theorem calibration	empirical mechanism dose response; not a monotone-rejection theorem	shared_sign_coupling		80		600	2026212631									0.5	0.13724501704064426	0.0031984470801508604	0.10285070037975756	0.6866666666666666	0.085	results/claim2_sign_coupling_validation_20260825.tsv	09c3f5ed9bd719d7b256ef4fd494c36fcfbbe5fc8b369b48a6eb176ba42af3b7
Figure_1C	Empirical finite-sample Wald intervention; outside theorem calibration	empirical mechanism dose response; not a monotone-rejection theorem	shared_sign_coupling		80		600	2026222631									0.75	0.3577683995294446	-0.005837673793328666	0.17065604347586283	0.6933333333333334	0.07833333333333334	results/claim2_sign_coupling_validation_20260825.tsv	09c3f5ed9bd719d7b256ef4fd494c36fcfbbe5fc8b369b48a6eb176ba42af3b7
Figure_1C	Empirical finite-sample Wald intervention; outside theorem calibration	empirical mechanism dose response; not a monotone-rejection theorem	shared_sign_coupling		80		600	2026232631									1.0	0.8056931243128507	0.0010460611507264266	0.24284781549500073	0.74	0.07833333333333334	results/claim2_sign_coupling_validation_20260825.tsv	09c3f5ed9bd719d7b256ef4fd494c36fcfbbe5fc8b369b48a6eb176ba42af3b7
Figure_1C	Empirical finite-sample Wald intervention; outside theorem calibration	empirical mechanism dose response; not a monotone-rejection theorem	shared_sign_coupling		640		600	2026293191									0.0	0.0008522331769426713	-0.001347653526308953	-0.0030245493764973624	0.018333333333333333	0.06333333333333334	results/claim2_sign_coupling_validation_20260825.tsv	09c3f5ed9bd719d7b256ef4fd494c36fcfbbe5fc8b369b48a6eb176ba42af3b7
Figure_1C	Empirical finite-sample Wald intervention; outside theorem calibration	empirical mechanism dose response; not a monotone-rejection theorem	shared_sign_coupling		640		600	2026303191									0.25	0.026590338182525333	-8.913580785065008e-05	0.016130821959879915	0.37833333333333335	0.041666666666666664	results/claim2_sign_coupling_validation_20260825.tsv	09c3f5ed9bd719d7b256ef4fd494c36fcfbbe5fc8b369b48a6eb176ba42af3b7
Figure_1C	Empirical finite-sample Wald intervention; outside theorem calibration	empirical mechanism dose response; not a monotone-rejection theorem	shared_sign_coupling		640		600	2026313191									0.5	0.12773624978177053	0.000658013802588587	0.0360431332176042	0.39166666666666666	0.055	results/claim2_sign_coupling_validation_20260825.tsv	09c3f5ed9bd719d7b256ef4fd494c36fcfbbe5fc8b369b48a6eb176ba42af3b7
